,id,name,symbol,tradeVolumeUSD
0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,387877943993.2650258550199180086558
1,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USD//C,USDC,57151087088.85927425234764115638086
2,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USD,USDT,46643732924.40661365246692484776756
3,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,19194080457.96787237191109652535303
4,0x05934eba98486693aaec2d00b0e9ce918e37dc3f,You don't blacklist delta.financial,SCAMMY,11029715648.72159798743878461135205
5,0x3d7e683fc9c86b4d653c9e47ca12517440fad14e,You don't blacklist delta.financial,welp,11017636252.92521755536995878068531
6,0xfae9c647ad7d89e738aba720acf09af93dc535f7,You don't blacklist delta.financial,Ian Laphan fan token,10960535614.16002391682295420606054
7,0x7296368fe9bcb25d3ecc19af13655b907818cc09,You don't blacklist delta.financial,generalize fix for rebass tokens,10931540454.240024434064419683457
8,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,Wrapped BTC,WBTC,9314477506.737783740001196378552864
9,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,SHIBA INU,SHIB,8916860115.660580792637804330472813
10,0x956f47f50a910163d8bf957cf5846d573e7f87ca,Fei USD,FEI,8155228524.62605319524589745778134
11,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,7677372251.680870163592989622193592
12,0x9ea3b5b4ec044b70375236a281986106457b20ef,DELTA.financial - deep DeFi derivatives,DELTA,6335950856.597737212161569744104345
13,0x514910771af9ca656af840dff83e8264ecf986ca,ChainLink Token,LINK,4123458999.320728105471572784880028
14,0x1453dbb8a29551ade11d89825ca812e05317eaeb,Tendies Token,TEND,4112130181.615315088427213926302294
15,0x2b591e99afe9f32eaa6214f7b7629768c40eeb39,HEX,HEX,3884382890.170063412597550858828887
16,0x8b3192f5eebd8579568a2ed41e6feb402f93f73f,Saitama Inu,SAITAMA,3483030746.509552076827451932980777
17,0x761d38e5ddf6ccf6cf7c55759d5210750b5d60f3,Dogelon,ELON,3348687902.279326912191760005736397
18,0x3845badade8e6dff049820680d1f14bd3903a5d0,SAND,SAND,2642838022.405067037029275288388635
19,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,yearn.finance,YFI,2521006815.220527527666645771257896
20,0xd46ba6d942050d489dbd938a2c909a5d5039a161,Ampleforth,AMPL,2513259521.695318027882185399765756
21,0xe53ec727dbdeb9e2d5456c3be40cff031ab40a55,SuperFarm,SUPER,1880222963.331775168710753839123155
22,0xa2b4c0af19cc16a6cfacce81f192b024d625817d,Kishu Inu,KISHU,1834185131.172977025448362011410339
23,0xf4d2888d29d722226fafa5d9b24f9164c092421e,LooksRare Token,LOOKS,1771354548.601095020245543776989457
24,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,Aave Token,AAVE,1723549316.005297997874572906303126
25,0x27c70cd1946795b66be9d954418546998b546634,DOGE KILLER,LEASH,1684005197.488879682591241869272343
26,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,SushiToken,SUSHI,1648517193.438418220162153540716796
