,ctoken_symbol,date,total_supply,total_borrow
0,DAI,2021-01-01,0.0,0.0
1,DAI,2021-01-02,1374833155.538137,1114127418.991942
2,DAI,2021-01-03,1372152333.0373194,1116544873.199818
3,DAI,2021-01-04,1348042174.9548657,1091249609.1859224
4,DAI,2021-01-05,1301817223.107527,1059171005.250024
5,DAI,2021-01-06,1306801449.4882164,1061681521.7808516
6,DAI,2021-01-07,1311152860.6126657,1066534352.7606533
7,DAI,2021-01-08,1311895879.9216204,1068773748.4530498
8,DAI,2021-01-09,1299610785.6413243,1072518911.1076385
9,DAI,2021-01-10,1301418081.7963805,1069101734.0120769
10,DAI,2021-01-11,1273728566.7938018,1050370443.957026
11,DAI,2021-01-12,1185705223.5587833,998711641.6379603
12,DAI,2021-01-13,1202819162.1939814,1003345016.2086357
13,DAI,2021-01-14,1191618403.7772727,999569802.2420825
14,DAI,2021-01-15,1178618625.120648,1010062715.9814508
15,DAI,2021-01-16,1168533927.9028208,1011963573.8801559
16,DAI,2021-01-17,1141286855.7086618,1004753939.2094276
17,DAI,2021-01-18,599390378.0555388,551231012.4782381
18,DAI,2021-01-19,795256488.5750002,701634244.2381462
19,DAI,2021-01-20,1002424739.5276124,817464827.1115085
20,DAI,2021-01-21,1020941396.1168677,845875126.2064847
21,DAI,2021-01-22,1037763032.3435526,870456114.7703305
22,DAI,2021-01-23,1058044427.3888628,887158941.8945494
23,DAI,2021-01-24,1144616583.6051111,940523330.9448376
24,DAI,2021-01-25,1162399218.832283,959427507.3714428
25,DAI,2021-01-26,1034891644.9831111,863856487.0185844
26,DAI,2021-01-27,935329527.5490135,767671531.5479733
27,DAI,2021-01-28,942329374.927639,784513138.7346568
28,DAI,2021-01-29,1059384004.3320501,923903955.4976516
29,DAI,2021-01-30,1028808968.5508007,897968919.5449206
30,DAI,2021-01-31,818474559.6428393,721192642.5286456
31,DAI,2021-02-01,802000750.7694625,700972027.7050266
32,DAI,2021-02-02,817627071.9111336,704527655.363541
33,DAI,2021-02-03,832069178.4800712,715934281.0948879
34,DAI,2021-02-04,842742343.3937839,725745172.7914382
35,DAI,2021-02-05,852675140.0996641,729339145.2792963
36,DAI,2021-02-06,858213101.9278573,726612445.1060206
37,DAI,2021-02-07,1031014890.818044,852932767.515465
38,DAI,2021-02-08,1290634900.219987,1058691469.3222634
39,DAI,2021-02-09,1290191810.7582576,1060823198.9564115
40,DAI,2021-02-10,1301090737.017752,1060588890.0589105
41,DAI,2021-02-11,1280643751.3109195,1039923893.7912827
42,DAI,2021-02-12,1259402536.1760569,1036083511.4522266
43,DAI,2021-02-13,1251842883.466115,1040402974.3903091
44,DAI,2021-02-14,1257127634.5671346,1055762706.10718
45,DAI,2021-02-15,1251325536.087701,1051470834.8335052
46,DAI,2021-02-16,1302085607.785986,1100796400.7120013
47,DAI,2021-02-17,1316244956.7417314,1126056476.7441564
48,DAI,2021-02-18,1331650688.4859867,1140058374.5318809
49,DAI,2021-02-19,1379668292.1012626,1196883808.1270046
50,DAI,2021-02-20,1392317784.3483145,1211233249.9191806
51,DAI,2021-02-21,1408469977.4785442,1239499168.2513134
52,DAI,2021-02-22,1420290167.3675556,1269194618.5419304
53,DAI,2021-02-23,1481332458.0395856,1313642687.9062178
54,DAI,2021-02-24,1711637969.395428,1522616157.8734937
55,DAI,2021-02-25,1721561669.6683075,1554132964.126761
56,DAI,2021-02-26,1765487419.2604795,1577342000.063507
57,DAI,2021-02-27,1797900848.8994472,1606702574.8062944
58,DAI,2021-02-28,1811327386.8298879,1615090145.4468396
59,DAI,2021-03-01,1827245887.1154854,1633109893.5183747
60,DAI,2021-03-02,1943537245.5310068,1722974943.691001
61,DAI,2021-03-03,2053082922.887338,1810270608.2217398
62,DAI,2021-03-04,2276912645.5207705,1971982582.1007862
63,DAI,2021-03-05,2289545511.945748,1974406191.192963
64,DAI,2021-03-06,2298741464.389416,1968141366.0246172
65,DAI,2021-03-07,2315294217.035077,1991028566.2952037
66,DAI,2021-03-08,2357262537.0497117,2027674562.7740698
67,DAI,2021-03-09,2377661202.134666,2040014494.5453863
