,ctoken_symbol,date,total_supply,total_borrow
0,ETH,2021-01-01,709381771.5110205,17513472.5667048
1,ETH,2021-01-02,716481415.3986156,16038453.145429736
2,ETH,2021-01-03,748318883.0753542,15520920.991888698
3,ETH,2021-01-04,741696652.0563017,15305184.658585029
4,ETH,2021-01-05,722533607.6135033,14958078.397836156
5,ETH,2021-01-06,695761085.8330925,16744106.13673029
6,ETH,2021-01-07,710451120.7231499,19530522.489440624
7,ETH,2021-01-08,675203778.4741205,17616844.323107347
8,ETH,2021-01-09,692829724.7312565,18664264.303741764
9,ETH,2021-01-10,708560289.974525,19037848.611681387
10,ETH,2021-01-11,731989446.3434755,20459993.79055293
11,ETH,2021-01-12,800594567.489775,19117404.33061194
12,ETH,2021-01-13,819805678.0012289,20199361.764914054
13,ETH,2021-01-14,806465116.3905444,28970611.895302787
14,ETH,2021-01-15,842763078.5937531,28593178.78204102
15,ETH,2021-01-16,807688442.3742553,28583134.985847067
16,ETH,2021-01-17,824957371.0153548,27887473.349642664
17,ETH,2021-01-18,898109182.2885494,30820886.71627326
18,ETH,2021-01-19,1134245826.5596488,36688948.01559642
19,ETH,2021-01-20,1065338968.879815,37548409.29685862
20,ETH,2021-01-21,1141632256.132275,40759070.25977954
21,ETH,2021-01-22,1221370763.865878,39262410.98423453
22,ETH,2021-01-23,1202561399.8209052,52513806.89468181
23,ETH,2021-01-24,1205907062.163154,55628582.82343717
24,ETH,2021-01-25,1234453238.6349585,59605846.60498953
25,ETH,2021-01-26,1049775824.4646463,45346190.51164718
26,ETH,2021-01-27,1069720449.3645458,62268868.29876802
27,ETH,2021-01-28,1056381401.1397768,62525167.95151754
28,ETH,2021-01-29,1173690330.5792394,96603751.2613454
29,ETH,2021-01-30,1295582133.768918,138737428.7529849
30,ETH,2021-01-31,1353167554.8088388,144425374.95573038
31,ETH,2021-02-01,1395484046.0601919,154887105.82857695
32,ETH,2021-02-02,1387354090.1437478,142262769.93008623
33,ETH,2021-02-03,1545123973.7543955,124386435.40776177
34,ETH,2021-02-04,1509654087.2386692,108009082.78030519
35,ETH,2021-02-05,1450162604.21532,87482782.84214118
36,ETH,2021-02-06,1289051759.738547,76554906.94795203
37,ETH,2021-02-07,1386561201.6067934,83837838.71664567
38,ETH,2021-02-08,1445450970.6392775,88178069.15370043
39,ETH,2021-02-09,1561393046.148282,95968637.46519522
40,ETH,2021-02-10,1495909620.1727345,97883554.77590233
41,ETH,2021-02-11,1523835100.426592,99512168.37866421
42,ETH,2021-02-12,1536022255.1341994,75427493.33818002
43,ETH,2021-02-13,1615674796.7785563,91764452.00507855
44,ETH,2021-02-14,1644700920.8138914,87027039.61203857
45,ETH,2021-02-15,1648179890.0571697,88029794.77300382
46,ETH,2021-02-16,1620939010.2604978,85033463.68134852
47,ETH,2021-02-17,1771957154.3680449,86625173.43836163
48,ETH,2021-02-18,1960014046.5890858,92635159.7325527
49,ETH,2021-02-19,2124298168.0118265,103717255.16069427
50,ETH,2021-02-20,2263783674.281915,120443799.7115864
51,ETH,2021-02-21,2314652118.634989,127262032.56654553
52,ETH,2021-02-22,2173018611.9588733,131239849.15693024
53,ETH,2021-02-23,2248721119.999545,139994980.3325732
