,ctoken_symbol,date,total_supply,total_borrow
0,UNI,2021-01-01,55629266.71814278,9003731.000248406
1,UNI,2021-01-02,60244397.51880313,9839859.627288407
2,UNI,2021-01-03,57009538.61373181,9228101.159972234
3,UNI,2021-01-04,58956948.99649865,8691201.620135576
4,UNI,2021-01-05,55550242.321400836,8296845.193206082
5,UNI,2021-01-06,51009500.57871029,7689641.377205956
6,UNI,2021-01-07,51908854.916545756,7680435.050218701
7,UNI,2021-01-08,49402991.66522982,7210387.810115901
8,UNI,2021-01-09,48967236.250479646,7732293.034278943
9,UNI,2021-01-10,50886995.515937716,8359350.460935193
10,UNI,2021-01-11,50342008.48825518,8299907.262996073
11,UNI,2021-01-12,53567291.731199116,8664547.149599899
12,UNI,2021-01-13,54159409.846342474,8956766.45955347
13,UNI,2021-01-14,51428580.5714463,8699547.749775741
14,UNI,2021-01-15,58179963.45429875,9908156.058531627
15,UNI,2021-01-16,67974895.23955938,11821038.115016783
16,UNI,2021-01-17,65657254.43127413,11544542.219534507
17,UNI,2021-01-18,64865494.51077955,11721389.892553573
18,UNI,2021-01-19,72757029.1629198,13000182.276463851
19,UNI,2021-01-20,70638535.04216926,12757869.715365242
20,UNI,2021-01-21,78168021.49650592,14763366.85579879
21,UNI,2021-01-22,82988435.87874195,15097581.22112838
22,UNI,2021-01-23,82267723.67862515,14770245.912192954
23,UNI,2021-01-24,79915655.67794642,14352800.77861336
24,UNI,2021-01-25,82234150.62770641,14961867.430627549
25,UNI,2021-01-26,74068003.6970131,13546502.063264037
26,UNI,2021-01-27,64473193.85766602,11878096.18502482
27,UNI,2021-01-28,70385629.47673222,13088773.673543239
28,UNI,2021-01-29,77858030.80130874,14609744.78556347
29,UNI,2021-01-30,83974297.43606168,16446867.883066533
30,UNI,2021-01-31,84856772.88952401,17289378.11569106
31,UNI,2021-02-01,97628157.72482093,17912020.217264224
32,UNI,2021-02-02,93686652.21060973,17389940.28485383
33,UNI,2021-02-03,97308830.23333189,15486247.497909317
34,UNI,2021-02-04,89962377.77895491,14360283.256703297
35,UNI,2021-02-05,86492612.87316191,13682604.193059837
36,UNI,2021-02-06,82508099.88342541,12867637.861646313
37,UNI,2021-02-07,93359763.84639357,8117476.399417833
38,UNI,2021-02-08,104755806.47787994,7223179.7572162915
39,UNI,2021-02-09,125443274.27617946,7842293.5270074755
40,UNI,2021-02-10,128105054.42674826,8151867.88610767
41,UNI,2021-02-11,140844269.5353469,11141370.54045219
42,UNI,2021-02-12,140768795.26319522,11424263.63907249
43,UNI,2021-02-13,140074628.58773,10227944.75819656
44,UNI,2021-02-14,145504716.5557309,10674967.370533112
45,UNI,2021-02-15,180089511.94967312,12059870.239128623
46,UNI,2021-02-16,176577280.4850921,11946824.878529547
47,UNI,2021-02-17,191401457.09691036,11394139.524960965
48,UNI,2021-02-18,191611729.57433093,14846289.878633847
49,UNI,2021-02-19,207673173.79724434,18262360.39602123
50,UNI,2021-02-20,206764352.5272176,18064682.577053
51,UNI,2021-02-21,208599527.7357549,14335941.291655121
52,UNI,2021-02-22,191357678.01705933,14932718.891974824
53,UNI,2021-02-23,184196852.393991,15589366.069571545
54,UNI,2021-02-24,193042643.08417207,17561852.359065164
55,UNI,2021-02-25,201117931.40208918,17268011.56852693
56,UNI,2021-02-26,206561211.5623331,24162741.86285966
57,UNI,2021-02-27,219880975.42290357,28265842.843601327
