,ctoken_symbol,date,total_supply,total_borrow
0,USDC,2021-01-01,0.0,0.0
1,USDC,2021-01-02,810183017.0874485,655470475.556754
2,USDC,2021-01-03,840445754.5184528,687960911.3226554
3,USDC,2021-01-04,858903216.855009,705458339.6168833
4,USDC,2021-01-05,853499995.6883999,709141026.9915177
5,USDC,2021-01-06,863855033.7343867,710386713.1220776
6,USDC,2021-01-07,892783301.2115206,734329779.2000089
7,USDC,2021-01-08,886690551.0755862,734451096.1303974
8,USDC,2021-01-09,878191290.2318233,724794526.8417603
9,USDC,2021-01-10,888880924.2585171,730209282.931398
10,USDC,2021-01-11,886909880.5128937,735041712.7763572
11,USDC,2021-01-12,900185812.6268848,747261313.9464481
12,USDC,2021-01-13,916618468.9200462,764636027.3204046
13,USDC,2021-01-14,862772008.1206977,718882162.4736962
14,USDC,2021-01-15,749497078.7264057,655755130.332505
15,USDC,2021-01-16,726150977.6008404,620036824.807324
16,USDC,2021-01-17,774747362.8481092,643739962.4529468
17,USDC,2021-01-18,1280836831.7554867,1094649693.0705833
18,USDC,2021-01-19,996144755.0157357,839726879.3485199
19,USDC,2021-01-20,784498021.1931618,660018530.242916
20,USDC,2021-01-21,804557395.259987,673245985.8611517
21,USDC,2021-01-22,815385266.9641379,684667009.8510336
22,USDC,2021-01-23,814722439.3762205,691747320.1569694
23,USDC,2021-01-24,837593342.209704,699616313.9897108
24,USDC,2021-01-25,862848973.8760703,712464927.3465623
25,USDC,2021-01-26,872949028.7742852,734386403.3307432
26,USDC,2021-01-27,860841532.453788,744197369.1829401
27,USDC,2021-01-28,882810644.1686965,751980549.2839582
28,USDC,2021-01-29,895465650.9399414,757183399.0647405
29,USDC,2021-01-30,917868753.9958916,791401586.6834341
30,USDC,2021-01-31,1255102685.9051192,1090951091.2082424
31,USDC,2021-02-01,1392990736.741776,1199411894.975867
32,USDC,2021-02-02,1400570610.8877387,1193879192.0427072
33,USDC,2021-02-03,1339808365.9977624,1154013141.6421561
34,USDC,2021-02-04,1372439616.7312467,1187321684.862155
35,USDC,2021-02-05,1461574372.7666306,1255452607.2645257
36,USDC,2021-02-06,1166172195.2001662,999636687.0258548
37,USDC,2021-02-07,984419637.2869457,833455228.2279634
38,USDC,2021-02-08,1016953881.8534145,849543246.4688764
39,USDC,2021-02-09,1036611914.8014328,873903818.4389439
40,USDC,2021-02-10,1049289572.850896,875949562.1605949
41,USDC,2021-02-11,1104165687.4469755,913177084.721802
42,USDC,2021-02-12,1113302308.595425,915708147.6866949
43,USDC,2021-02-13,1123815513.5810664,936948790.8766637
44,USDC,2021-02-14,1131060572.9087799,972109475.4462346
45,USDC,2021-02-15,1114823602.177162,959442180.4455211
46,USDC,2021-02-16,1150933768.6174438,971443475.7032733
47,USDC,2021-02-17,1214531636.6771994,1024463987.1145618
48,USDC,2021-02-18,1233977273.9258246,1069465282.1702613
49,USDC,2021-02-19,1245289214.8013923,1098829587.7067115
50,USDC,2021-02-20,1242687573.1578505,1101382847.190815
51,USDC,2021-02-21,1276110545.7009485,1119303026.4073746
52,USDC,2021-02-22,1281893264.322114,1116057801.2202075
53,USDC,2021-02-23,1299792652.7736614,1130696590.4862638
54,USDC,2021-02-24,1344604852.5014763,1185888311.3232677
55,USDC,2021-02-25,1378606585.2982984,1207989762.8048575
56,USDC,2021-02-26,1425421552.0444992,1252820597.9840174
57,USDC,2021-02-27,1443486684.8447065,1268072085.3970575
58,USDC,2021-02-28,1475166475.3921015,1296525921.1866446
59,USDC,2021-03-01,1528521784.011482,1331908349.5277286
60,USDC,2021-03-02,1553986910.6361709,1361859095.8841255
61,USDC,2021-03-03,1597366095.0371656,1378376592.121002
62,USDC,2021-03-04,1649819251.6492243,1477110131.5689216
63,USDC,2021-03-05,1699305744.674867,1518893022.8542051
64,USDC,2021-03-06,1764651832.7244976,1561259558.8231752
65,USDC,2021-03-07,1810287921.4253747,1577688250.1269016
66,USDC,2021-03-08,1861610638.1713765,1609648930.5185246
67,USDC,2021-03-09,1833981967.79308,1580117477.7530406
68,USDC,2021-03-10,1770568203.5799448,1466365259.7048352
69,USDC,2021-03-11,1773409845.1440115,1454770320.2789772
70,USDC,2021-03-12,1776331242.9411595,1479395095.8294837
71,USDC,2021-03-13,1805946568.1741576,1455214669.1984837
72,USDC,2021-03-14,1836249447.2136748,1424979692.139318
73,USDC,2021-03-15,1848900959.0322022,1429367297.43554
74,USDC,2021-03-16,1875607901.882521,1461728465.4191744
75,USDC,2021-03-17,1936121536.0951588,1547577396.5150442
76,USDC,2021-03-18,2012800498.5580468,1678185791.9048736
77,USDC,2021-03-19,2013947146.5510511,1681690787.547075
78,USDC,2021-03-20,2056531730.4945135,1699791605.2075157
79,USDC,2021-03-21,2086418692.5823839,1714091970.5898995
80,USDC,2021-03-22,2007409097.6585362,1682262200.3173032
81,USDC,2021-03-23,1954850380.9828413,1651927951.6612465
82,USDC,2021-03-24,2017334679.377634,1727299704.4542246
83,USDC,2021-03-25,2049126790.96007,1806325685.599284
84,USDC,2021-03-26,2072163829.2748473,1829361948.7359154
85,USDC,2021-03-27,2314120937.204188,1795937755.8212729
86,USDC,2021-03-28,2445004147.111747,1866971522.0624735
