,ctoken_symbol,date,total_supply,total_borrow
0,USDT,2021-01-01,0.0,0.0
1,USDT,2021-01-02,72890852.67564875,61402725.99046972
2,USDT,2021-01-03,75562162.04318804,62531878.549429394
3,USDT,2021-01-04,77620843.64655958,63754831.786421984
4,USDT,2021-01-05,81305061.810667,65895899.70162893
5,USDT,2021-01-06,79763825.82086915,62719639.071938016
6,USDT,2021-01-07,78442548.2177655,64357237.39353365
7,USDT,2021-01-08,83715666.72807455,64173685.82612485
8,USDT,2021-01-09,83972864.27968413,63771825.805339515
9,USDT,2021-01-10,105935340.22217177,68593488.82748258
10,USDT,2021-01-11,99538772.50526161,75398972.0738807
11,USDT,2021-01-12,89285541.50428753,73783974.30018756
12,USDT,2021-01-13,92676796.41437216,77779401.54773168
13,USDT,2021-01-14,89153124.8720508,77466791.17161722
14,USDT,2021-01-15,88815409.45426232,75916672.06266506
15,USDT,2021-01-16,91232552.1436643,81241358.54804705
16,USDT,2021-01-17,94464049.02640767,83786817.64326091
17,USDT,2021-01-18,97197844.129245,87596030.4448732
18,USDT,2021-01-19,104746223.64652179,98628851.52264132
19,USDT,2021-01-20,118642814.0240362,109279172.41914119
20,USDT,2021-01-21,127691190.5167716,111851954.96846297
21,USDT,2021-01-22,137900194.26853737,122272384.55741465
22,USDT,2021-01-23,145519822.07622382,129279152.77223496
23,USDT,2021-01-24,150427308.26518866,126106852.94683695
24,USDT,2021-01-25,147581440.73248094,124387330.37903544
25,USDT,2021-01-26,146966727.11722165,126062144.9815146
26,USDT,2021-01-27,138290885.9564241,122113431.90505695
27,USDT,2021-01-28,144530449.7149612,124468443.24683172
28,USDT,2021-01-29,150970512.22343954,128646346.60914314
29,USDT,2021-01-30,156492315.12602624,137632391.9903097
30,USDT,2021-01-31,161092473.64670902,141496160.11786535
31,USDT,2021-02-01,160399597.88555342,144673952.93323037
32,USDT,2021-02-02,157445321.3620601,142659183.15025824
33,USDT,2021-02-03,157065510.93186533,144245637.59158587
34,USDT,2021-02-04,154055242.4669525,133538199.92850953
35,USDT,2021-02-05,163312160.90295675,138574113.059969
36,USDT,2021-02-06,162572771.37877822,142497537.60547867
37,USDT,2021-02-07,170886728.70118502,146827282.60007292
38,USDT,2021-02-08,176222338.0014853,149808413.3704632
39,USDT,2021-02-09,178820068.78430748,153330050.49952638
40,USDT,2021-02-10,179538471.84407482,150299556.134404
41,USDT,2021-02-11,176722756.67247888,153823486.7853191
42,USDT,2021-02-12,176933680.45220903,160583312.9487681
43,USDT,2021-02-13,188888740.98844582,172898838.77198848
44,USDT,2021-02-14,201910372.76446363,178540484.38366598
45,USDT,2021-02-15,220444821.13725644,189806647.3401474
46,USDT,2021-02-16,214210545.97054735,189252699.53791064
47,USDT,2021-02-17,212680043.19171527,188887960.36278924
48,USDT,2021-02-18,211437934.13349146,183046775.84929487
49,USDT,2021-02-19,213009991.19693083,194670723.9588787
50,USDT,2021-02-20,218037311.45030525,198094310.1713878
51,USDT,2021-02-21,237388580.98757577,205984942.15467203
52,USDT,2021-02-22,250969594.94330618,218169818.65178052
53,USDT,2021-02-23,268856125.60281485,234393762.0175421
54,USDT,2021-02-24,277636179.9354665,256923102.37421125
55,USDT,2021-02-25,283684655.9378359,262259356.54063645
56,USDT,2021-02-26,296670721.52885103,265961749.1467404
57,USDT,2021-02-27,309588561.0124765,273216711.1148819
58,USDT,2021-02-28,313157425.4537835,284657239.37672955
59,USDT,2021-03-01,322044913.7431046,286639397.06782746
60,USDT,2021-03-02,323743118.68416554,287773430.19113934
61,USDT,2021-03-03,336825687.91583884,286971598.78977746
62,USDT,2021-03-04,339644108.11062694,299543235.3719807
63,USDT,2021-03-05,349495908.01019835,309913184.08174396
64,USDT,2021-03-06,359358106.58882767,319314241.4633355
65,USDT,2021-03-07,368854399.9795094,330491813.21587676
66,USDT,2021-03-08,373870484.0084246,327111576.06050736
67,USDT,2021-03-09,366034269.7235978,311342794.94738656
68,USDT,2021-03-10,346925889.2561525,280999145.327061
69,USDT,2021-03-11,328370805.4544517,278235777.4021321
70,USDT,2021-03-12,333920107.92189366,280688032.9811995
