,ctoken_symbol,date,total_supply,total_borrow
0,WBTC,2021-01-01,0.0,0.0
1,WBTC,2021-01-02,584173148.8541983,19537804.71654036
2,WBTC,2021-01-03,599787275.7072239,17319894.358171828
3,WBTC,2021-01-04,650106853.871229,16943363.86580213
4,WBTC,2021-01-05,697433941.5447927,16899116.67208245
5,WBTC,2021-01-06,682269971.083304,15710475.886215838
6,WBTC,2021-01-07,691580110.6181353,12795450.27279108
7,WBTC,2021-01-08,694465896.7923446,12471485.661870148
8,WBTC,2021-01-09,701705906.2769603,12932098.189280445
9,WBTC,2021-01-10,741011329.2530262,13370132.25335741
10,WBTC,2021-01-11,803175632.2063029,13921845.728650138
11,WBTC,2021-01-12,842760255.3420196,13754011.735839777
12,WBTC,2021-01-13,843473258.5576663,13948710.385203661
13,WBTC,2021-01-14,860794680.8651215,10112253.004674181
14,WBTC,2021-01-15,818945080.2625517,9507549.152376205
15,WBTC,2021-01-16,787496611.784769,15013185.124907777
16,WBTC,2021-01-17,800724789.7623715,16969518.67738053
17,WBTC,2021-01-18,872553106.4526993,19973978.597042892
18,WBTC,2021-01-19,900633427.4875671,22577977.91943029
19,WBTC,2021-01-20,830914539.0390453,21140522.230286196
20,WBTC,2021-01-21,893699752.8076999,23340332.08711461
21,WBTC,2021-01-22,967634358.782275,29788905.877242602
22,WBTC,2021-01-23,1004309046.6756991,33576419.671577506
23,WBTC,2021-01-24,1023505406.5049702,39534132.622598425
24,WBTC,2021-01-25,1093317251.1313872,39017955.72731086
25,WBTC,2021-01-26,997212689.584973,35288228.435056135
26,WBTC,2021-01-27,918846792.3549601,31569341.554608297
27,WBTC,2021-01-28,979622150.9998058,33016405.325815815
28,WBTC,2021-01-29,1041124338.5424056,48163359.76727985
29,WBTC,2021-01-30,1242869774.3802996,78796964.84694135
30,WBTC,2021-01-31,1266628175.834828,79374047.17922929
31,WBTC,2021-02-01,1255588346.8719769,79537905.81742968
32,WBTC,2021-02-02,1231844568.439379,77363892.87563163
33,WBTC,2021-02-03,1246036531.4325202,78591132.17911424
34,WBTC,2021-02-04,1276265386.3399239,79480215.45002936
35,WBTC,2021-02-05,1197439378.9350517,82795532.98111084
36,WBTC,2021-02-06,1075499187.667866,73590048.98624393
37,WBTC,2021-02-07,1117472485.164137,73175329.14656657
38,WBTC,2021-02-08,1103939514.3323722,70373266.5092128
39,WBTC,2021-02-09,1105347980.9233096,72442018.34130411
40,WBTC,2021-02-10,1122077109.6868415,84319850.95785895
41,WBTC,2021-02-11,1067904231.0026039,83758418.51841524
42,WBTC,2021-02-12,1032243830.1580126,92265497.98832537
43,WBTC,2021-02-13,1119319133.546391,100324084.0105763
44,WBTC,2021-02-14,1150032778.9508162,102519974.70318756
45,WBTC,2021-02-15,1121284080.7887318,98476454.71233863
46,WBTC,2021-02-16,1098135246.6923056,96720398.71265058
47,WBTC,2021-02-17,1114734533.1618745,96484921.78269157
48,WBTC,2021-02-18,1179566471.4314826,102461998.55217543
49,WBTC,2021-02-19,1222350451.8369749,112597794.97768873
50,WBTC,2021-02-20,1145622530.2559485,116806878.02067217
51,WBTC,2021-02-21,1167915214.154058,124234390.33485642
52,WBTC,2021-02-22,1250697509.270582,129801279.93903522
53,WBTC,2021-02-23,1280388793.4539561,134897080.6577999
54,WBTC,2021-02-24,1494379845.1728382,153550630.88634512
55,WBTC,2021-02-25,1549761310.5801756,175870823.76857716
56,WBTC,2021-02-26,1526082067.2984078,175389954.41461605
57,WBTC,2021-02-27,1657604192.5603292,186366787.45405462
58,WBTC,2021-02-28,1685141103.518333,182316468.05478853
59,WBTC,2021-03-01,1733622423.7074707,193199526.39787033
60,WBTC,2021-03-02,1721309058.9827204,184521338.3283738
61,WBTC,2021-03-03,1765191082.057203,189122543.47584033
62,WBTC,2021-03-04,1826206728.8637493,195372484.14079073
63,WBTC,2021-03-05,1928192243.301051,201518376.30509594
64,WBTC,2021-03-06,1979417639.3552108,199622211.75797245
65,WBTC,2021-03-07,2112653277.6725788,194262259.10171008
66,WBTC,2021-03-08,2135123980.4474165,191972287.24389878
67,WBTC,2021-03-09,2002146720.4442441,177363262.8212153
68,WBTC,2021-03-10,1869191395.714312,148635783.54768267
69,WBTC,2021-03-11,1901289930.223087,126091414.9733452
70,WBTC,2021-03-12,1982003819.6224542,128871411.40515149
71,WBTC,2021-03-13,1904769054.9565659,120400106.01629111
72,WBTC,2021-03-14,1884963477.8697383,119898947.4731648
73,WBTC,2021-03-15,1812205104.8383965,115609550.09774454
74,WBTC,2021-03-16,1937214973.8980458,124681817.57583499
75,WBTC,2021-03-17,2033538365.8576398,131781485.64515541
