,day,symbol,deposit,borrow
0,2022-07-12T00:00:00+00:00,DAI,275499269.20112026,54853798.51125252
1,2022-07-11T00:00:00+00:00,DAI,272581380.104916,55950141.73470938
2,2022-07-10T00:00:00+00:00,DAI,273623467.93760055,55664118.451589
3,2022-07-09T00:00:00+00:00,DAI,274139517.71272177,54459917.0432786
4,2022-07-08T00:00:00+00:00,DAI,271659955.6510475,54041740.211896665
5,2022-07-07T00:00:00+00:00,DAI,269567330.41502327,70260150.6425004
6,2022-07-06T00:00:00+00:00,DAI,273381787.22929734,78917435.35989536
7,2022-07-05T00:00:00+00:00,DAI,273866380.5115618,79049641.03131539
8,2022-07-04T00:00:00+00:00,DAI,276341897.9293831,79108569.96179438
9,2022-07-03T00:00:00+00:00,DAI,267248900.2431558,78706608.78182971
10,2022-07-02T00:00:00+00:00,DAI,266883576.09105673,78690034.1525959
11,2022-07-01T00:00:00+00:00,DAI,256591182.68759757,78193213.08981356
12,2022-06-30T00:00:00+00:00,DAI,261269733.69035193,103785270.48859696
13,2022-06-29T00:00:00+00:00,DAI,254808434.61316636,105419398.75258666
14,2022-06-28T00:00:00+00:00,DAI,254824070.52100363,106518857.57030816
15,2022-06-27T00:00:00+00:00,DAI,249453092.09226954,106433635.16545653
16,2022-06-26T00:00:00+00:00,DAI,247654032.68317464,120787604.2759073
17,2022-06-25T00:00:00+00:00,DAI,247175515.27853203,120915043.34242958
18,2022-06-24T00:00:00+00:00,DAI,250599228.94767714,120801130.17556354
19,2022-06-23T00:00:00+00:00,DAI,248269448.04852188,121045753.32026456
20,2022-06-22T00:00:00+00:00,DAI,252207295.55264205,121258933.95534647
21,2022-06-21T00:00:00+00:00,DAI,251411096.49402395,120956039.29702675
22,2022-06-20T00:00:00+00:00,DAI,254578379.12860203,124709775.39976786
23,2022-06-19T00:00:00+00:00,DAI,252615847.402106,113860105.32269973
24,2022-06-18T00:00:00+00:00,DAI,250802862.3169434,119389384.73643741
25,2022-06-17T00:00:00+00:00,DAI,313008098.85224473,113369966.55764034
26,2022-06-16T00:00:00+00:00,DAI,286883037.0905962,175304279.14049366
27,2022-06-15T00:00:00+00:00,DAI,279122399.25593626,149330624.93120155
28,2022-06-14T00:00:00+00:00,DAI,336584032.7315848,158886522.1077148
29,2022-06-13T00:00:00+00:00,DAI,366190276.3910901,174432186.41053107
30,2022-06-12T00:00:00+00:00,DAI,395538218.4817064,190976182.23115677
31,2022-06-11T00:00:00+00:00,DAI,398916183.335069,191752919.41144878
32,2022-06-10T00:00:00+00:00,DAI,401432411.9021971,194362724.80057457
33,2022-06-09T00:00:00+00:00,DAI,351784475.5893286,197813287.5334439
34,2022-06-08T00:00:00+00:00,DAI,348952463.9483435,194647211.37543085
35,2022-06-07T00:00:00+00:00,DAI,369665796.1420311,194458133.6975457
36,2022-06-06T00:00:00+00:00,DAI,373921946.16713053,199012908.09074134
37,2022-06-05T00:00:00+00:00,DAI,378468332.5232445,198944918.9075001
38,2022-06-04T00:00:00+00:00,DAI,378460008.7590917,199339646.06589678
39,2022-06-03T00:00:00+00:00,DAI,374255562.42370534,199447567.68661052
40,2022-06-02T00:00:00+00:00,DAI,372708396.9860371,199615368.82466835
41,2022-06-01T00:00:00+00:00,DAI,370983244.2225903,200181666.80711934
42,2022-05-31T00:00:00+00:00,DAI,392599924.94869286,199069903.4191848
43,2022-05-30T00:00:00+00:00,DAI,394447921.19026047,201257121.52962258
44,2022-05-29T00:00:00+00:00,DAI,393570407.76599395,202399861.892343
45,2022-05-28T00:00:00+00:00,DAI,434780883.49488634,202479168.389677
46,2022-05-27T00:00:00+00:00,DAI,440422050.5597595,202982965.2962828
47,2022-05-26T00:00:00+00:00,DAI,491922322.4423169,263555400.65639728
48,2022-05-25T00:00:00+00:00,DAI,491179527.56469196,264243240.33808956
49,2022-05-24T00:00:00+00:00,DAI,643874684.9185318,416328083.7480705
50,2022-05-23T00:00:00+00:00,DAI,643232403.3521792,416190454.858762
51,2022-05-22T00:00:00+00:00,DAI,520011955.873554,318514263.3659439
52,2022-05-21T00:00:00+00:00,DAI,518626394.18985593,322880865.62303865
53,2022-05-20T00:00:00+00:00,DAI,563315429.2836605,378933296.7433892
54,2022-05-19T00:00:00+00:00,DAI,567006546.6987398,379669460.3904481
55,2022-05-18T00:00:00+00:00,DAI,538613161.1565475,359649958.17768997
56,2022-05-17T00:00:00+00:00,DAI,541042437.0120207,359537134.7507798
57,2022-05-16T00:00:00+00:00,DAI,537547412.3447746,359035808.2003721
58,2022-05-15T00:00:00+00:00,DAI,565759849.3818699,378107269.60554945
59,2022-05-14T00:00:00+00:00,DAI,521075149.71901876,348105438.88836175
60,2022-05-13T00:00:00+00:00,DAI,529355779.6815503,353600384.1563739
61,2022-05-12T00:00:00+00:00,DAI,531482350.80202854,355593878.12522817
62,2022-05-11T00:00:00+00:00,DAI,551355122.8753762,368743385.73401743
63,2022-05-10T00:00:00+00:00,DAI,556352396.4097506,372901464.2598726
64,2022-05-09T00:00:00+00:00,DAI,531435521.59752107,355480321.3429612
65,2022-05-08T00:00:00+00:00,DAI,944938739.0305086,644360692.7172961
66,2022-05-07T00:00:00+00:00,DAI,1123641520.737477,766251226.5765268
67,2022-05-06T00:00:00+00:00,DAI,1126642261.6968005,768859588.1796784
