,ctoken_symbol,date,total_supply,total_borrow
0,AAVE,2022-11-01,1496748.098944752,533807.2804804521
1,AAVE,2022-11-02,1484993.6641121984,516180.50224588136
2,AAVE,2022-11-03,1475293.7999054864,471517.04921760043
3,AAVE,2022-11-04,1591082.4738764414,507692.211496441
4,AAVE,2022-11-05,1698661.7585411803,545472.4557387995
5,AAVE,2022-11-06,1781047.9832368977,539289.3883027909
6,AAVE,2022-11-07,2401356.6351017915,504573.3608403993
7,AAVE,2022-11-08,2084870.4535369787,497962.6483126709
8,AAVE,2022-11-09,1332736.0832046997,423336.4230156742
9,AAVE,2022-11-10,1170421.095807731,375415.02190273185
10,AAVE,2022-11-11,1262434.3439834546,396075.7667987839
11,AAVE,2022-11-12,1166793.6350606498,411299.583923315
12,AAVE,2022-11-13,1127568.4207899885,363188.1743664045
13,AAVE,2022-11-14,1097978.8966138607,357898.1480728578
14,AAVE,2022-11-15,1377170.5769411647,385930.9254952027
15,AAVE,2022-11-16,1742782.272490846,402439.432399096
16,AAVE,2022-11-17,1681922.1962714456,390850.23764912656
17,AAVE,2022-11-18,1702383.9339169026,398576.49282206525
18,AAVE,2022-11-19,1659041.9388552187,389536.98496160354
19,AAVE,2022-11-20,1692849.9278097653,401385.6894942696
20,AAVE,2022-11-21,1562780.2576068866,385053.00834390987
21,AAVE,2022-11-22,1089260.0313209516,404792.2761431735
22,AAVE,2022-11-23,892849.115125006,425590.6389844468
23,AAVE,2022-11-24,958718.7201364313,444355.47403193096
24,AAVE,2022-11-25,965303.1819636531,434098.6691896117
25,AAVE,2022-11-26,965950.9397897305,430327.09020246356
26,AAVE,2022-11-27,1001587.3876417814,442312.6591036421
27,AAVE,2022-11-28,982021.5814442668,432274.62419045257
28,AAVE,2022-11-29,993540.4598620055,403371.4098572122
29,AAVE,2022-11-30,1025179.8914832748,395255.409196279
