,ctoken_symbol,date,total_supply,total_borrow
0,BAT,2022-11-01,44275444.832716495,102133.55280668121
1,BAT,2022-11-02,45670389.60481873,105321.32796097668
2,BAT,2022-11-03,47413330.8437378,147518.8021461781
3,BAT,2022-11-04,48745369.00587888,204680.6578456082
4,BAT,2022-11-05,50223209.812225066,218740.21816657082
5,BAT,2022-11-06,49443068.00579586,216602.48793694
6,BAT,2022-11-07,48584198.33405997,212857.19061300292
7,BAT,2022-11-08,47122997.73813367,213478.8540439361
8,BAT,2022-11-09,47122997.73813367,213478.8540439361
9,BAT,2022-11-10,36669582.872217655,171788.12647170963
10,BAT,2022-11-11,39483979.52856071,184998.77037068518
11,BAT,2022-11-12,36814169.11665974,172540.20327533744
12,BAT,2022-11-13,34941906.43254403,163783.34372316915
13,BAT,2022-11-14,32910083.88925067,154268.6164197489
14,BAT,2022-11-15,33738887.298488,155316.4007898169
15,BAT,2022-11-16,34472583.08011127,125427.68874343186
16,BAT,2022-11-17,33409885.773779456,99724.0326669967
17,BAT,2022-11-18,33377097.238444168,99594.9507901741
18,BAT,2022-11-19,33220845.673690546,99139.64754430148
19,BAT,2022-11-20,33220845.673690546,99139.64754430148
20,BAT,2022-11-21,32598093.389785443,97309.17138453893
21,BAT,2022-11-22,32435273.72612478,96848.54302001328
22,BAT,2022-11-23,33540711.690292142,100159.96471251367
23,BAT,2022-11-24,34121150.490291454,101904.52183512335
24,BAT,2022-11-25,33825711.667379566,101029.39472292659
25,BAT,2022-11-26,34306216.48571367,102471.39939129798
26,BAT,2022-11-27,34213135.83166869,102204.26367222439
27,BAT,2022-11-28,33409463.733645972,99798.14696754879
28,BAT,2022-11-29,33519117.930266593,100131.10072697791
29,BAT,2022-11-30,34212732.903338276,102217.08894888301
