,ctoken_symbol,date,total_supply,total_borrow
0,COMP,2022-11-01,0.0,0.0
1,COMP,2022-11-02,32113754.076499034,402898.7997805754
2,COMP,2022-11-03,28639302.32663354,401647.46563998144
3,COMP,2022-11-04,28586043.634762444,414849.4545380266
4,COMP,2022-11-05,30142671.753104836,436484.4094848603
5,COMP,2022-11-06,29759753.97945432,430508.689203075
6,COMP,2022-11-07,28780316.318178732,416401.27105898305
7,COMP,2022-11-08,27911890.03860217,403893.4463903918
8,COMP,2022-11-09,25956838.670610033,346192.21041611524
9,COMP,2022-11-10,23500779.926655963,306604.3922676656
10,COMP,2022-11-11,24830336.186483297,329736.9951801086
11,COMP,2022-11-12,24478598.710881557,392420.89407715935
12,COMP,2022-11-13,24193461.946952958,458462.3379437564
13,COMP,2022-11-14,23992963.536719296,412861.62730031164
14,COMP,2022-11-15,25077396.782694265,405993.7376162216
15,COMP,2022-11-16,25708589.71908578,431522.5371446171
16,COMP,2022-11-17,24762440.77905419,417892.2847833802
17,COMP,2022-11-18,24588960.435138974,415042.6016544515
18,COMP,2022-11-19,24033439.225488007,404291.7901837775
19,COMP,2022-11-20,24487679.300258443,402761.4451168541
20,COMP,2022-11-21,23642868.405753307,387161.0045927748
21,COMP,2022-11-22,23209920.073992804,383316.66704449715
22,COMP,2022-11-23,23872448.002046447,407382.9022564073
23,COMP,2022-11-24,23951330.02929809,427041.2368586529
24,COMP,2022-11-25,23652482.036196336,424154.8355848323
25,COMP,2022-11-26,24212792.308856875,507054.76589815255
26,COMP,2022-11-27,24049368.235973287,531943.9464324096
27,COMP,2022-11-28,22988582.509078093,401452.4498912991
28,COMP,2022-11-29,23427081.820294,336187.3236607719
29,COMP,2022-11-30,23491234.943767637,272359.3499170425
