,ctoken_symbol,date,total_supply,total_borrow
0,DAI,2021-01-01,1425809780.5930133,1150587907.604497
1,DAI,2021-01-02,1377241686.5652523,1115794266.093399
2,DAI,2021-01-03,1371998557.132476,1116221395.2845678
3,DAI,2021-01-04,1349863216.169187,1092896512.8319385
4,DAI,2021-01-05,1301612839.9778032,1058923568.1272941
5,DAI,2021-01-06,1306732216.5634987,1061656259.8375722
6,DAI,2021-01-07,1311160461.5049684,1066495120.7506822
7,DAI,2021-01-08,1311866034.1269267,1068703755.4507217
8,DAI,2021-01-09,1299829050.8986862,1072429149.340851
9,DAI,2021-01-10,1301617836.3072674,1069204145.4528569
10,DAI,2021-01-11,1275805828.6884294,1051831941.5978899
11,DAI,2021-01-12,1185577313.5530186,998556228.5545157
12,DAI,2021-01-13,1202909483.199768,1003433008.6563255
13,DAI,2021-01-14,1191921085.0468385,999509302.2004149
14,DAI,2021-01-15,1178697554.352081,1009819637.8027599
15,DAI,2021-01-16,1169450525.2697604,1011859324.5642606
16,DAI,2021-01-17,1157928592.1170142,1018630849.2712715
17,DAI,2021-01-18,613533686.2878972,563228049.4868753
18,DAI,2021-01-19,788145179.5027555,697471653.2199274
19,DAI,2021-01-20,1001503288.0745901,816394737.2599285
20,DAI,2021-01-21,1020984930.0628356,845715307.1787298
21,DAI,2021-01-22,1037568295.3235997,869990932.5714444
22,DAI,2021-01-23,1056947511.5249008,886494795.6770425
23,DAI,2021-01-24,1142853419.0003004,939202033.2088497
24,DAI,2021-01-25,1162761360.4145935,959579472.1972764
25,DAI,2021-01-26,1044740284.6540432,872933551.1691463
26,DAI,2021-01-27,937262890.7045708,768527448.2969519
27,DAI,2021-01-28,940334483.444867,781704387.4695857
28,DAI,2021-01-29,1058271635.5521092,922212711.0752878
29,DAI,2021-01-30,1028825127.2790741,898957278.1732347
30,DAI,2021-01-31,823837326.6701986,725439673.9888433
31,DAI,2021-02-01,801684613.020122,700719514.0916331
32,DAI,2021-02-02,816972800.6747123,704385004.5260785
33,DAI,2021-02-03,832407989.8677572,716002512.798147
34,DAI,2021-02-04,841841455.4007996,725307715.5419382
35,DAI,2021-02-05,852423663.6940567,729439021.5909326
36,DAI,2021-02-06,856769724.3656657,725739795.6852946
37,DAI,2021-02-07,1019679593.9793925,843799250.9816527
38,DAI,2021-02-08,1288406286.1692443,1057064679.199927
39,DAI,2021-02-09,1289935553.9039586,1060546126.5807806
40,DAI,2021-02-10,1301042138.2332575,1061109772.6296197
41,DAI,2021-02-11,1281737375.0059478,1040486934.3702796
42,DAI,2021-02-12,1259871880.8336916,1036096102.5701159
43,DAI,2021-02-13,1251899978.6090815,1040019656.9947648
44,DAI,2021-02-14,1257085811.4867718,1055737031.3849013
45,DAI,2021-02-15,1251549358.5422835,1051615692.1458049
46,DAI,2021-02-16,1299750497.4878132,1098437321.6726153
47,DAI,2021-02-17,1316388114.3440685,1125843900.4437027
48,DAI,2021-02-18,1330195817.0306354,1138770997.24151
49,DAI,2021-02-19,1378937934.4955297,1195973451.1489792
50,DAI,2021-02-20,1391822090.8141782,1210179116.739465
51,DAI,2021-02-21,1408121025.755685,1239248628.498005
52,DAI,2021-02-22,1420028134.1175473,1268367694.7593265
53,DAI,2021-02-23,1474975252.649666,1308283425.1377149
54,DAI,2021-02-24,1711498415.805658,1521998213.2174776
55,DAI,2021-02-25,1720420530.2461417,1553629826.2566068
56,DAI,2021-02-26,1763526134.8413017,1575916267.2477517
57,DAI,2021-02-27,1797730460.7137287,1606620212.7500699
58,DAI,2021-02-28,1811055602.9148455,1614917639.156407
59,DAI,2021-03-01,1825748491.4977236,1631598465.0929604
60,DAI,2021-03-02,1941540678.15208,1721776905.201237
61,DAI,2021-03-03,2046484171.0277994,1804886191.1697526
62,DAI,2021-03-04,2276150950.766302,1971844422.106146
63,DAI,2021-03-05,2289290117.4999228,1974531281.7079127
64,DAI,2021-03-06,2298642011.8498654,1968176639.8107548
65,DAI,2021-03-07,2313432619.5530324,1988902355.388891
66,DAI,2021-03-08,2357053400.8104424,2027567507.7391288
67,DAI,2021-03-09,2378295513.6219516,2040875665.1222484
68,DAI,2021-03-10,2298530133.233694,1958307788.8687413
69,DAI,2021-03-11,2210303892.7779913,1878765886.0777962
70,DAI,2021-03-12,2232159613.1465816,1898862647.3038983
71,DAI,2021-03-13,2272141245.2507997,1929182712.213597
72,DAI,2021-03-14,2277996700.5778694,1937590119.63724
73,DAI,2021-03-15,2341516122.8057337,1968337939.748267
74,DAI,2021-03-16,2491342478.3739758,2068576417.090233
75,DAI,2021-03-17,2630657885.5967207,2184479827.9569454
76,DAI,2021-03-18,2655547790.690026,2226016796.6704435
77,DAI,2021-03-19,2548301138.4624295,2169120548.7213597
78,DAI,2021-03-20,2504564458.4104,2133660442.5660286
79,DAI,2021-03-21,2484929238.1029835,2102972658.5156949
80,DAI,2021-03-22,2511921546.936254,2024331053.972017
81,DAI,2021-03-23,2590558214.077192,2106653286.260291
82,DAI,2021-03-24,2561177476.9623647,2111174561.5466673
83,DAI,2021-03-25,2561427374.452261,2175448229.291866
84,DAI,2021-03-26,2603919767.5074883,2208652922.813216
85,DAI,2021-03-27,2623915885.964337,2240314294.1045957
86,DAI,2021-03-28,2655601033.1823444,2252890992.4511533
87,DAI,2021-03-29,2675059310.0545087,2259367517.140612
88,DAI,2021-03-30,2651637028.3678994,2221457187.0848017
89,DAI,2021-03-31,2720768281.5439744,2268564639.6001997
90,DAI,2021-04-01,2634557941.0868583,2203319099.0047836
91,DAI,2021-04-02,2623873022.508601,2205619137.973623
92,DAI,2021-04-03,2622345056.0488734,2210830868.510118
93,DAI,2021-04-04,2624931859.2983766,2226728597.2892957
94,DAI,2021-04-05,2621407198.6183305,2231479874.758207
95,DAI,2021-04-06,2626245305.6331067,2245314043.5878563
96,DAI,2021-04-07,2628647839.225226,2256582218.269964
97,DAI,2021-04-08,2652484445.125579,2250409949.3233094
98,DAI,2021-04-09,2630476594.40855,2202629982.11656
99,DAI,2021-04-10,2636196734.2262206,2184879031.72352
100,DAI,2021-04-11,2612443266.780448,2228576352.6542044
101,DAI,2021-04-12,2613656471.6345825,2248178243.979976
102,DAI,2021-04-13,2640354478.6977468,2243491990.4149246
103,DAI,2021-04-14,2648510249.45203,2240606822.8695035
104,DAI,2021-04-15,2644945746.8287563,2240787938.14447
105,DAI,2021-04-16,2698996243.9768867,2293451303.0001054
106,DAI,2021-04-17,2976088378.6612487,2519998112.8747063
107,DAI,2021-04-18,3013462323.393882,2553466769.3481364
108,DAI,2021-04-19,3087779662.857241,2593979797.2937984
109,DAI,2021-04-20,3328923213.7772202,2744239708.1310296
110,DAI,2021-04-21,3413746510.270889,2819225236.9757566
111,DAI,2021-04-22,3414584090.4048343,2831722543.074115
112,DAI,2021-04-23,3398652581.0235825,2872944857.528575
113,DAI,2021-04-24,3428327183.3685303,2906414615.591785
114,DAI,2021-04-25,3414488570.0573325,2903989956.9940352
115,DAI,2021-04-26,3430339007.331418,2899786161.2788577
116,DAI,2021-04-27,3430555569.2643642,2815611515.6712356
117,DAI,2021-04-28,3314194306.0014095,2681547833.2803187
118,DAI,2021-04-29,3459457506.2660236,2835528958.19988
119,DAI,2021-04-30,3524807231.1676183,2980834580.711636
120,DAI,2021-05-01,3552482858.52604,2939796872.2860417
121,DAI,2021-05-02,3638291310.148112,2978763351.221617
122,DAI,2021-05-03,3080353776.1327934,2532485841.317607
123,DAI,2021-05-04,2831599033.687296,2325162888.464573
124,DAI,2021-05-05,2901633618.9239655,2377108873.72931
125,DAI,2021-05-06,3022013065.8132625,2483588050.2973027
126,DAI,2021-05-07,3058340232.914621,2499223296.4490967
127,DAI,2021-05-08,3287899749.4854565,2710104537.343239
128,DAI,2021-05-09,3324965027.6614027,2720933907.941025
129,DAI,2021-05-10,3337189720.424452,2730735295.1919765
130,DAI,2021-05-11,3403648738.906913,2786842493.5053115
131,DAI,2021-05-12,3415390877.339397,2789424725.038802
132,DAI,2021-05-13,3418079933.290593,2799220051.7816634
133,DAI,2021-05-14,3540005217.6315136,2870171871.131018
134,DAI,2021-05-15,3580094864.7505064,2904885407.2176733
135,DAI,2021-05-16,3586871785.329898,2899406227.160629
136,DAI,2021-05-17,3628501096.241835,2928290680.1122384
137,DAI,2021-05-18,3668770704.2429733,2961808031.685966
138,DAI,2021-05-19,3802676676.8251057,3067715086.654308
139,DAI,2021-05-20,4168121651.8568544,3360262666.632759
140,DAI,2021-05-21,4442074672.313246,3568784491.920764
141,DAI,2021-05-22,4596866243.743973,3673285454.7705584
142,DAI,2021-05-23,4701067634.685936,3761500181.7302094
143,DAI,2021-05-24,4774814706.936773,3805492426.7702394
144,DAI,2021-05-25,4860167722.852317,3860463437.1635833
145,DAI,2021-05-26,4957223891.94434,3944968803.1295843
146,DAI,2021-05-27,4839564278.969085,3881645743.0672383
147,DAI,2021-05-28,4461828211.171777,3663654213.363182
148,DAI,2021-05-29,4263675494.502733,3515375802.34809
149,DAI,2021-05-30,4067193772.967461,3316826464.4135127
150,DAI,2021-05-31,4119398048.142389,3328859459.6462927
151,DAI,2021-06-01,4218617031.9598427,3405877714.6487927
152,DAI,2021-06-02,3868545643.4573445,3020955052.58919
153,DAI,2021-06-03,3190646694.0014186,2510278623.113133
154,DAI,2021-06-04,3226210799.7683134,2569125747.479928
