,ctoken_symbol,date,total_supply,total_borrow
0,ETH,2022-11-01,0.0,0.0
1,ETH,2022-11-02,589681602.7749513,18918214.388109922
2,ETH,2022-11-03,573122472.3821113,18409321.27930061
3,ETH,2022-11-04,582521471.6742309,18271894.79544748
4,ETH,2022-11-05,595133367.6917927,18976882.837084245
5,ETH,2022-11-06,575174477.7721113,18786195.74721803
6,ETH,2022-11-07,560449666.6570498,18355529.400561545
7,ETH,2022-11-08,536547109.1620903,17720713.31779701
8,ETH,2022-11-09,460039554.2886168,12929398.322961142
9,ETH,2022-11-10,443271072.55463266,10899986.733810905
10,ETH,2022-11-11,466819687.3648642,13110804.537053159
11,ETH,2022-11-12,458134049.95341605,13961217.740209745
12,ETH,2022-11-13,430283260.28019303,15032084.65985229
13,ETH,2022-11-14,419049818.9492211,13400065.445217082
14,ETH,2022-11-15,429452324.2867195,14449951.519999754
15,ETH,2022-11-16,408687940.5337666,15279262.018011369
16,ETH,2022-11-17,397370438.3984663,15475535.25384592
17,ETH,2022-11-18,399420612.08135104,14166480.50045862
18,ETH,2022-11-19,423179517.61529243,15775433.267518174
19,ETH,2022-11-20,420327992.577505,15016433.874795118
20,ETH,2022-11-21,399805306.27229464,14355380.003116291
21,ETH,2022-11-22,399160745.6130765,15147872.7369079
22,ETH,2022-11-23,430980533.18970513,15867534.62539275
23,ETH,2022-11-24,433899358.6034912,17089477.89314274
24,ETH,2022-11-25,420771829.3929862,17770908.756487127
25,ETH,2022-11-26,428574602.930224,16992555.512391392
26,ETH,2022-11-27,428553719.53827226,16951301.399827
27,ETH,2022-11-28,416316547.1711069,13390862.695588246
28,ETH,2022-11-29,425847079.5974031,13782866.700644676
29,ETH,2022-11-30,440406379.83622396,14757023.221366566
