,ctoken_symbol,date,total_supply,total_borrow
0,LINK,2022-11-03,6340115.417996602,225453.54445515873
1,LINK,2022-11-04,6615565.686112582,243677.64913426994
2,LINK,2022-11-05,7104675.121569829,263837.2846059783
3,LINK,2022-11-06,7200718.458452492,279391.4121038119
4,LINK,2022-11-07,6838273.2579776235,261258.38356935044
5,LINK,2022-11-08,7173877.95543315,259704.04164526734
6,LINK,2022-11-09,6122544.750773581,212779.8661482754
7,LINK,2022-11-10,5318896.338675714,180390.52791099064
8,LINK,2022-11-11,5801662.85366885,195492.7335279217
9,LINK,2022-11-12,5443301.669405269,182506.57099132534
10,LINK,2022-11-13,5180222.019587069,164910.62583186274
11,LINK,2022-11-14,5051003.737071463,154069.5873153345
12,LINK,2022-11-15,4940687.154141264,146683.69583946542
13,LINK,2022-11-16,4533769.5435421085,144656.7668280153
14,LINK,2022-11-17,4377525.884053279,145405.89543304642
15,LINK,2022-11-18,4426278.47363682,147764.75033807236
16,LINK,2022-11-19,4306704.091456609,144099.05144370088
17,LINK,2022-11-20,4316933.972658331,144554.50755089964
18,LINK,2022-11-21,4077121.0243498953,143778.87337298412
19,LINK,2022-11-22,4161716.742521117,147540.6023245394
20,LINK,2022-11-23,4502850.583802017,159693.70127704105
21,LINK,2022-11-24,4688421.460786945,166257.82551578514
22,LINK,2022-11-25,4766777.23243619,169049.76837507312
23,LINK,2022-11-26,4829642.855181147,171958.4916681331
24,LINK,2022-11-27,4901813.047426862,194369.36475036212
25,LINK,2022-11-28,4532099.139266436,189284.57523259742
26,LINK,2022-11-29,4785272.440927963,208391.78927557386
27,LINK,2022-11-30,4787275.138756893,212200.0182358733
