,ctoken_symbol,date,total_supply,total_borrow
0,SAI,2022-11-08,1374981.6072356196,2000.3738909078147
1,SAI,2022-11-09,1452543.6926504571,2065.764229227956
2,SAI,2022-11-10,1452543.6926504571,2065.764229227956
3,SAI,2022-11-11,1452543.6926504571,2065.764229227956
4,SAI,2022-11-12,1452543.6926504571,2065.764229227956
5,SAI,2022-11-13,1452543.6926504571,2065.764229227956
6,SAI,2022-11-14,1452543.6926504571,2065.764229227956
7,SAI,2022-11-15,1452543.6926504571,2065.764229227956
8,SAI,2022-11-16,1452543.6926504571,2065.764229227956
9,SAI,2022-11-17,1452543.6926504571,2065.764229227956
10,SAI,2022-11-18,1452543.6926504571,2065.764229227956
11,SAI,2022-11-19,1452543.6926504571,2065.764229227956
12,SAI,2022-11-20,1452543.6926504571,2065.764229227956
13,SAI,2022-11-21,1452543.6926504571,2065.764229227956
14,SAI,2022-11-22,1452543.6926504571,2065.764229227956
15,SAI,2022-11-23,1452543.6926504571,2065.764229227956
16,SAI,2022-11-24,1452543.6926504571,2065.764229227956
17,SAI,2022-11-25,1112595.0508749553,1572.2700211675574
