,ctoken_symbol,date,total_supply,total_borrow
0,SUSHI,2022-11-01,0.0,0.0
1,SUSHI,2022-11-02,0.0,0.0
2,SUSHI,2022-11-03,8541634.119847007,817475.1532522592
3,SUSHI,2022-11-04,8541634.119847007,817475.1532522592
4,SUSHI,2022-11-05,10056316.367180385,959926.2010405164
5,SUSHI,2022-11-06,8317549.078344739,913736.6844427797
6,SUSHI,2022-11-07,4769828.448606983,895628.8838916546
7,SUSHI,2022-11-08,4488133.523692775,842640.3622700643
8,SUSHI,2022-11-09,3540882.8722500615,642641.1484998015
9,SUSHI,2022-11-10,3053914.525890941,538010.0763735076
10,SUSHI,2022-11-11,3365827.8874127753,590728.3563613575
11,SUSHI,2022-11-12,3252654.75660074,570987.379962342
12,SUSHI,2022-11-13,3310742.948753303,623756.4034858868
13,SUSHI,2022-11-14,3375819.1516873897,722833.6798349859
14,SUSHI,2022-11-15,3375819.1516873897,722833.6798349859
15,SUSHI,2022-11-16,3588851.2763139773,768902.6656710234
16,SUSHI,2022-11-17,3503025.5660963636,778266.0502844418
17,SUSHI,2022-11-18,3376002.9195859623,760432.6501074866
18,SUSHI,2022-11-19,3305914.7767989025,743510.5022241666
19,SUSHI,2022-11-20,3333628.985927605,749905.347228936
20,SUSHI,2022-11-21,3232522.7814049465,721489.4207880002
21,SUSHI,2022-11-22,3235009.47689295,741935.5250416168
22,SUSHI,2022-11-23,3406152.5508447555,785746.4436217053
23,SUSHI,2022-11-24,3457103.3757861066,797649.3762705834
24,SUSHI,2022-11-25,3343870.4709078325,762979.8926698416
25,SUSHI,2022-11-26,3408092.8228262374,773721.0393292038
26,SUSHI,2022-11-27,3601411.0687803356,814372.002613607
27,SUSHI,2022-11-28,3788253.916241556,846501.8825512046
28,SUSHI,2022-11-29,3904538.742597472,859983.5531861496
29,SUSHI,2022-11-30,4083625.2384658814,897193.8536278913
