,ctoken_symbol,date,total_supply,total_borrow
0,TUSD,2022-11-01,0.0,0.0
1,TUSD,2022-11-02,8744271.711300518,5527300.0088172145
2,TUSD,2022-11-03,8728234.01558479,5517375.022317472
3,TUSD,2022-11-04,8711667.906640034,5511309.66274259
4,TUSD,2022-11-05,8645257.970326131,5505254.634226128
5,TUSD,2022-11-06,8645716.068863997,5505817.876576357
6,TUSD,2022-11-07,10713654.043238502,5506284.945416407
7,TUSD,2022-11-08,11046869.856176201,5506810.13139206
8,TUSD,2022-11-09,10958281.642555073,5507529.923281833
9,TUSD,2022-11-10,10497031.29361926,5507425.264301728
10,TUSD,2022-11-11,10070950.702262785,5501073.73218472
11,TUSD,2022-11-12,9599764.825622149,5499278.641928437
12,TUSD,2022-11-13,8718221.552824033,5499661.824465067
13,TUSD,2022-11-14,8705680.485545324,5499913.853236992
14,TUSD,2022-11-15,8700925.87333842,5499300.498462171
15,TUSD,2022-11-16,8681872.163601588,5499867.535227411
16,TUSD,2022-11-17,8650680.933930624,5493074.79471438
17,TUSD,2022-11-18,8631899.556755057,5489819.676949582
18,TUSD,2022-11-19,8622553.507940087,5486194.6422059545
19,TUSD,2022-11-20,8575210.430027895,5486863.295648926
20,TUSD,2022-11-21,8507649.526767539,5487395.014802973
21,TUSD,2022-11-22,8346735.933031059,5487421.3882120205
22,TUSD,2022-11-23,8346735.933031059,5487421.3882120205
23,TUSD,2022-11-24,8066348.838647624,5488159.046754335
24,TUSD,2022-11-25,8041209.078983064,5488936.990365334
25,TUSD,2022-11-26,8039790.531601017,5452774.411776672
26,TUSD,2022-11-27,7992562.4450746225,5402288.157402096
27,TUSD,2022-11-28,7971135.010826812,5403182.908627509
28,TUSD,2022-11-29,7919489.494351918,5403532.978976323
29,TUSD,2022-11-30,7467025.64870131,5404317.928251853
