,ctoken_symbol,date,total_supply,total_borrow
0,UNI,2021-01-01,0.0,0.0
1,UNI,2021-01-02,59575429.342137575,9714775.046721684
2,UNI,2021-01-03,57520372.77393918,9680592.652387768
3,UNI,2021-01-04,58898477.27019892,8704353.819660777
4,UNI,2021-01-05,56400295.13118495,8419816.498022124
5,UNI,2021-01-06,52217402.47297043,7844575.851989051
6,UNI,2021-01-07,50637156.470740914,7554785.908465018
7,UNI,2021-01-08,50435140.58428973,7378906.536928215
8,UNI,2021-01-09,48137261.427128114,7389291.631032326
9,UNI,2021-01-10,50769533.190192685,8342363.431963005
10,UNI,2021-01-11,50420814.39394174,8292794.254033904
11,UNI,2021-01-12,52218684.39322327,8529110.585122328
12,UNI,2021-01-13,54983047.60487484,9017008.335432345
13,UNI,2021-01-14,51463066.124493465,8643585.824934294
14,UNI,2021-01-15,55675852.27039265,9457096.654981991
15,UNI,2021-01-16,65101643.158678375,11299382.53887287
16,UNI,2021-01-17,67975464.46339259,11828179.68006262
17,UNI,2021-01-18,64531005.76223823,11628352.205280667
18,UNI,2021-01-19,68773119.05148117,12311202.936378647
19,UNI,2021-01-20,72736793.93954441,13091378.95901619
20,UNI,2021-01-21,74629530.80323954,14080584.419215148
21,UNI,2021-01-22,81492942.08241689,15016991.04658037
22,UNI,2021-01-23,84156950.4622509,15129641.148844717
23,UNI,2021-01-24,78951118.56838325,14209638.67313091
24,UNI,2021-01-25,80953262.51522103,14645834.369293908
25,UNI,2021-01-26,79923903.53267375,14554789.97164978
26,UNI,2021-01-27,65595029.62365246,12072341.716218721
27,UNI,2021-01-28,69721646.39700402,12928604.20604356
28,UNI,2021-01-29,75166936.82440226,14033757.703511272
29,UNI,2021-01-30,82763312.8545649,15891567.977133399
30,UNI,2021-01-31,84281899.84982383,17090279.490122788
31,UNI,2021-02-01,94740755.37498376,17897767.880784564
32,UNI,2021-02-02,96218460.45145923,17941146.24238389
33,UNI,2021-02-03,96026503.13606559,15985655.894058514
34,UNI,2021-02-04,93476270.24568383,14919117.410301544
35,UNI,2021-02-05,86898154.71793647,13769591.976810077
36,UNI,2021-02-06,82649813.00277385,12943828.87040608
37,UNI,2021-02-07,90264183.38550974,9544749.71503291
38,UNI,2021-02-08,101454713.35031876,7699684.878293793
39,UNI,2021-02-09,122495980.401741,7573819.3051825175
40,UNI,2021-02-10,127467600.84646939,8040405.654042093
41,UNI,2021-02-11,137523562.7968424,10262642.15211326
42,UNI,2021-02-12,142385515.3917252,11727174.480465306
43,UNI,2021-02-13,137190178.13412145,10074846.761701753
44,UNI,2021-02-14,144581730.30176988,10536378.832814064
45,UNI,2021-02-15,169619252.33845046,11700219.384241385
46,UNI,2021-02-16,178550594.08216855,12126875.58982439
47,UNI,2021-02-17,188643503.6872111,10872180.39369623
48,UNI,2021-02-18,188720112.20677388,14082041.361267371
49,UNI,2021-02-19,204301952.33357376,17357522.75990023
50,UNI,2021-02-20,206586941.31399995,18991114.82696673
51,UNI,2021-02-21,207746667.4384701,13997765.11378303
52,UNI,2021-02-22,197487290.37078017,14928894.592301141
53,UNI,2021-02-23,179055480.548934,14615660.015028954
54,UNI,2021-02-24,194066823.2267806,18467926.84668334
55,UNI,2021-02-25,195898668.81795818,16981723.605353963
56,UNI,2021-02-26,205049176.29131037,20798304.872103237
57,UNI,2021-02-27,214871248.7381283,28386788.968661353
58,UNI,2021-02-28,229633710.64779383,27028847.039192084
59,UNI,2021-03-01,209839937.1475262,40671006.419639185
60,UNI,2021-03-02,185175982.15680036,36713120.90156008
61,UNI,2021-03-03,192798904.91736296,38771290.58739275
62,UNI,2021-03-04,187085830.01855358,34416440.145816684
63,UNI,2021-03-05,193515119.91782865,33548193.021006018
64,UNI,2021-03-06,196598263.9123766,36223727.74532183
65,UNI,2021-03-07,197586557.0392972,35944316.59642625
66,UNI,2021-03-08,271592895.8780454,49869289.5084612
67,UNI,2021-03-09,258434607.9658185,47951279.559257716
68,UNI,2021-03-10,205336852.00258255,38281343.16710446
69,UNI,2021-03-11,217972327.0530607,40587779.15606644
70,UNI,2021-03-12,232453747.59730133,43427411.66229717
71,UNI,2021-03-13,214797819.1231636,40056713.96851633
72,UNI,2021-03-14,222767945.7696344,40873088.226000145
73,UNI,2021-03-15,206450990.7319414,38423483.92479413
74,UNI,2021-03-16,203996361.80488428,37730147.54129896
75,UNI,2021-03-17,230466322.21920738,42843018.40241322
76,UNI,2021-03-18,244933525.55382735,44761610.84792557
77,UNI,2021-03-19,252443870.79682288,43039206.100800484
78,UNI,2021-03-20,280262733.78855157,44930132.920825034
79,UNI,2021-03-21,272596007.88668454,39928915.59912037
80,UNI,2021-03-22,259874191.18013045,104257085.30618629
81,UNI,2021-03-23,249126646.56434223,154483159.39371458
82,UNI,2021-03-24,266302013.0110134,130463356.61866906
83,UNI,2021-03-25,314599161.64820534,111480749.49203137
84,UNI,2021-03-26,297862377.9909394,64165131.446997166
85,UNI,2021-03-27,300601529.41249263,43352618.52679074
86,UNI,2021-03-28,349223472.9773948,20958473.63283985
87,UNI,2021-03-29,376861045.5128444,23806036.83677125
88,UNI,2021-03-30,369864878.3680609,29315640.704420205
89,UNI,2021-03-31,347789347.30850244,28103779.178377964
90,UNI,2021-04-01,350278867.2674796,28348289.580294553
91,UNI,2021-04-02,374314503.7053415,29690997.471885502
92,UNI,2021-04-03,406504688.62757635,29994414.30904909
93,UNI,2021-04-04,452754168.9290517,32462273.751824234
94,UNI,2021-04-05,434985021.5677976,33549174.363701247
95,UNI,2021-04-06,454699489.39588,35361426.194511704
96,UNI,2021-04-07,444634566.0190449,30921950.866415523
97,UNI,2021-04-08,394504219.82544184,20109006.88456904
98,UNI,2021-04-09,349837373.3693174,21227899.78022116
99,UNI,2021-04-10,354629727.9761338,19302430.539440002
100,UNI,2021-04-11,363783972.01005185,21077090.807963375
101,UNI,2021-04-12,359933527.02460295,20895001.24620912
102,UNI,2021-04-13,362942814.3123885,21141551.851128
103,UNI,2021-04-14,298968752.66654813,21782636.25177107
104,UNI,2021-04-15,320979757.11859864,23500598.379745036
105,UNI,2021-04-16,325105268.75130236,24554693.94098004
106,UNI,2021-04-17,329984063.9932769,24910139.922143873
107,UNI,2021-04-18,346182131.4094559,25616888.54144945
108,UNI,2021-04-19,342397362.2082335,24563773.250967257
109,UNI,2021-04-20,354360850.1847443,27641697.326042533
110,UNI,2021-04-21,354751276.16540897,27678871.93210618
111,UNI,2021-04-22,343014997.6979476,26436107.55303398
112,UNI,2021-04-23,342003966.5864264,24452441.997885257
113,UNI,2021-04-24,345330862.3189361,24760425.474492706
114,UNI,2021-04-25,339830323.1779189,24426586.66352042
115,UNI,2021-04-26,338961160.2726115,25084994.48074195
116,UNI,2021-04-27,395375264.01510084,30570232.960155938
117,UNI,2021-04-28,386306016.8175295,24633424.339790635
118,UNI,2021-04-29,384862588.9404877,24924799.896537285
119,UNI,2021-04-30,420164420.6737675,29652025.19813398
120,UNI,2021-05-01,407119910.0824192,28589873.387851935
121,UNI,2021-05-02,357153965.3099717,24889316.78788871
122,UNI,2021-05-03,335724338.0237563,23415560.787998654
123,UNI,2021-05-04,354933216.7325121,24291129.01981777
124,UNI,2021-05-05,352425353.5731329,23558651.688075192
125,UNI,2021-05-06,396312372.576989,26670512.793109234
126,UNI,2021-05-07,390946581.9900696,24874825.820449527
127,UNI,2021-05-08,371204482.62668,18412139.571939457
128,UNI,2021-05-09,357795083.493021,21459107.23507536
129,UNI,2021-05-10,380959358.55081123,22120853.27785236
130,UNI,2021-05-11,422211120.7969746,24217571.415915985
131,UNI,2021-05-12,441875421.5807986,25926489.434621956
132,UNI,2021-05-13,469985691.7450525,35951948.42113896
133,UNI,2021-05-14,469946223.9582306,37975489.47831288
134,UNI,2021-05-15,444105930.03616774,25106810.525387768
135,UNI,2021-05-16,445929855.4131474,25163977.617552303
136,UNI,2021-05-17,476262392.34976125,27348978.974523786
137,UNI,2021-05-18,475284897.53536296,26830393.375307288
