,ctoken_symbol,date,total_supply,total_borrow
0,USDC,2021/1/1,831703801,635012369.2
1,USDC,2021/1/2,808739741.6,656641625.3
2,USDC,2021/1/3,844284230.5,690085427.7
3,USDC,2021/1/4,858430780.4,705584806.8
4,USDC,2021/1/5,853487356.7,709479148.4
5,USDC,2021/1/6,866264820.4,711830767.5
6,USDC,2021/1/7,892801371.4,735023693.3
7,USDC,2021/1/8,886642754.6,732983834.9
8,USDC,2021/1/9,877829843.7,725456744
9,USDC,2021/1/10,888958937.7,730521623.1
10,USDC,2021/1/11,886673890.1,735402882.2
11,USDC,2021/1/12,901557957.6,748622759.6
12,USDC,2021/1/13,919791251.4,766509339.2
13,USDC,2021/1/14,856417767.3,715251093.2
14,USDC,2021/1/15,742356658.9,651340698.6
15,USDC,2021/1/16,723769825.3,615519001.9
16,USDC,2021/1/17,786016256.7,654339429.7
17,USDC,2021/1/18,1303537321,1117589334
18,USDC,2021/1/19,999708475.8,837480755.8
19,USDC,2021/1/20,784438577.3,659236496.4
20,USDC,2021/1/21,806420112.4,675198202.9
21,USDC,2021/1/22,815867830.4,685512901
22,USDC,2021/1/23,815395355.6,691216220.1
23,USDC,2021/1/24,840784231.8,702115847.1
24,USDC,2021/1/25,864965064.3,714105853.6
25,USDC,2021/1/26,870679046.1,735131619.4
26,USDC,2021/1/27,864208121.1,746799963.8
27,USDC,2021/1/28,882846415.9,750330866.3
28,USDC,2021/1/29,897674830.2,760442571.6
29,USDC,2021/1/30,919938171.3,795292384.2
30,USDC,2021/1/31,1294751447,1124935443
31,USDC,2021/2/1,1394879307,1198898164
32,USDC,2021/2/2,1398350771,1191890532
33,USDC,2021/2/3,1317817165,1135844834
34,USDC,2021/2/4,1401766116,1213225823
35,USDC,2021/2/5,1466676109,1258908904
36,USDC,2021/2/6,1103663519,946061553.7
37,USDC,2021/2/7,987566294.3,833968291.9
38,USDC,2021/2/8,1018617387,850994630.5
39,USDC,2021/2/9,1037304469,874738603.2
40,USDC,2021/2/10,1050499091,875854006.9
41,USDC,2021/2/11,1110287785,917176128.7
42,USDC,2021/2/12,1111913604,915550202.5
43,USDC,2021/2/13,1125312083,941598668.3
44,USDC,2021/2/14,1131499645,973174754.4
45,USDC,2021/2/15,1113492170,956651268.6
46,USDC,2021/2/16,1157083659,975504177.8
47,USDC,2021/2/17,1220801195,1034306246
48,USDC,2021/2/18,1233799080,1070573273
49,USDC,2021/2/19,1244248333,1100238118
50,USDC,2021/2/20,1244692061,1101393203
51,USDC,2021/2/21,1277482695,1119774120
52,USDC,2021/2/22,1282752948,1116108517
53,USDC,2021/2/23,1303726519,1134474160
54,USDC,2021/2/24,1346914107,1188511321
55,USDC,2021/2/25,1383171627,1212001034
56,USDC,2021/2/26,1429403978,1256588852
57,USDC,2021/2/27,1443658068,1268751828
58,USDC,2021/2/28,1481080024,1299946836
59,USDC,2021/3/1,1533157104,1336226868
60,USDC,2021/3/2,1553914678,1362070691
61,USDC,2021/3/3,1608404752,1384274376
62,USDC,2021/3/4,1651726159,1487176500
63,USDC,2021/3/5,1706151151,1521612610
