,ctoken_symbol,date,total_supply,total_borrow
0,USDP,2022-11-02,29661.141852780653,8994.596006534628
1,USDP,2022-11-03,29661.141852780653,8994.596006534628
2,USDP,2022-11-04,29661.141852780653,8994.596006534628
3,USDP,2022-11-05,29661.141852780653,8994.596006534628
4,USDP,2022-11-06,29661.141852780653,8994.596006534628
5,USDP,2022-11-07,29661.141852780653,8994.596006534628
6,USDP,2022-11-08,29661.141852780653,8994.596006534628
7,USDP,2022-11-09,29661.141852780653,8994.596006534628
8,USDP,2022-11-10,29661.141852780653,8994.596006534628
9,USDP,2022-11-11,29661.141852780653,8994.596006534628
10,USDP,2022-11-12,29664.797643566253,16473.088295030513
11,USDP,2022-11-13,29666.3179312746,21844.83636906391
12,USDP,2022-11-14,29666.3179312746,21844.83636906391
13,USDP,2022-11-15,29666.3179312746,21844.83636906391
14,USDP,2022-11-16,29666.3179312746,21844.83636906391
15,USDP,2022-11-17,29674.821152149936,19724.83724326413
16,USDP,2022-11-18,29696.25305770141,19726.687177457585
17,USDP,2022-11-19,29718.326707037195,19728.07344107027
18,USDP,2022-11-20,29732.567928278495,19730.70045952817
19,USDP,2022-11-21,29735.681029080584,19732.761215060316
20,USDP,2022-11-22,29746.583528598814,19734.883367420658
21,USDP,2022-11-23,29750.43168846211,19737.399703284475
22,USDP,2022-11-24,29753.292892690457,19742.714796920573
23,USDP,2022-11-25,29753.292892690457,19742.714796920573
24,USDP,2022-11-26,29776.306602294684,19744.21153334389
25,USDP,2022-11-27,29765.18669871219,19746.97669153971
26,USDP,2022-11-28,29763.7131935715,19750.497108114803
27,USDP,2022-11-29,29767.59835850528,19751.45509975973
28,USDP,2022-11-30,29796.782131636945,19754.53609721339
