,ctoken_symbol,date,total_supply,total_borrow
0,USDT,2021/1/1,72133120.62,57659086.2
1,USDT,2021/1/2,73201209.97,61681476.66
2,USDT,2021/1/3,75574054.55,62609933.81
3,USDT,2021/1/4,77960765.45,63818047.65
4,USDT,2021/1/5,81276224.17,65912503.21
5,USDT,2021/1/6,79634587.35,62770007.64
6,USDT,2021/1/7,78515406.11,64382943.78
7,USDT,2021/1/8,83660107.04,64147965.72
8,USDT,2021/1/9,85652184.11,63777449.11
9,USDT,2021/1/10,105920414.2,69107249.91
10,USDT,2021/1/11,98561769.94,75424819.9
11,USDT,2021/1/12,89561437.08,74103400.81
12,USDT,2021/1/13,92748675.31,77879124.21
13,USDT,2021/1/14,88940497.53,77240514.44
14,USDT,2021/1/15,88945271.62,76050109.42
15,USDT,2021/1/16,91513977.4,81800487.4
16,USDT,2021/1/17,94606404.11,83569902.1
17,USDT,2021/1/18,97249772.93,88183428.4
18,USDT,2021/1/19,105928822,99204358.04
19,USDT,2021/1/20,118670397.7,109400228.4
20,USDT,2021/1/21,128368030.5,112029283.2
21,USDT,2021/1/22,138292151.3,122816638.2
22,USDT,2021/1/23,145835529.3,129758692.7
23,USDT,2021/1/24,150388844.4,124872984.3
24,USDT,2021/1/25,147603898.8,125310209.3
25,USDT,2021/1/26,146283904.1,125504084.8
26,USDT,2021/1/27,138517504.9,122250388
27,USDT,2021/1/28,144807673.3,124686587.8
28,USDT,2021/1/29,151596253.9,129051322
29,USDT,2021/1/30,156519102.6,137690217.6
30,USDT,2021/1/31,161474349.3,142011256.9
31,USDT,2021/2/1,160107662.1,144724204.7
32,USDT,2021/2/2,157524928.1,142557357.1
33,USDT,2021/2/3,156661874.4,143792148
34,USDT,2021/2/4,154476380.7,133455321.4
35,USDT,2021/2/5,163544268.9,138713324.5
36,USDT,2021/2/6,162455089.9,143121730.8
37,USDT,2021/2/7,171584921.8,146775140
38,USDT,2021/2/8,176382918.8,150031791.7
39,USDT,2021/2/9,178723290.1,153261105.5
40,USDT,2021/2/10,179670312,150218498.6
41,USDT,2021/2/11,176613282.6,153996346.9
42,USDT,2021/2/12,177402752.9,161359805.7
43,USDT,2021/2/13,189816497.9,173649957.9
44,USDT,2021/2/14,202923905.3,178582995.5
45,USDT,2021/2/15,220941712.1,190428523.5
46,USDT,2021/2/16,214017229.9,189251380.6
47,USDT,2021/2/17,212446830.3,188094508.5
48,USDT,2021/2/18,211714603,183814498
49,USDT,2021/2/19,212832216.8,194633332.6
50,USDT,2021/2/20,218995910.1,198716561.9
51,USDT,2021/2/21,238360436.6,206726511.9
52,USDT,2021/2/22,251540986.3,218554324.4
53,USDT,2021/2/23,269408397.7,235653587.8
54,USDT,2021/2/24,278105600.4,257094925.9
55,USDT,2021/2/25,283840639.2,262507016.5
56,USDT,2021/2/26,297591691.2,266213295.6
57,USDT,2021/2/27,309799101.9,273818595.1
58,USDT,2021/2/28,313487577.3,284740645.1
59,USDT,2021/3/1,322905684,287083965.5
60,USDT,2021/3/2,323505768.3,287469701.1
61,USDT,2021/3/3,337136535.4,287045729.1
62,USDT,2021/3/4,339690969.5,300359317.4
63,USDT,2021/3/5,350958299.6,310925543.5
64,USDT,2021/3/6,359879008.9,320179655.5
65,USDT,2021/3/7,369238527.3,329965906.1
66,USDT,2021/3/8,373565306,327251790.3
67,USDT,2021/3/9,365417670.5,310139036.3
68,USDT,2021/3/10,345329322.5,279440067.4
69,USDT,2021/3/11,328545911.6,279195817.2
70,USDT,2021/3/12,333843289.3,280109561.7
71,USDT,2021/3/13,329325538.1,267653631.3
72,USDT,2021/3/14,319793285.1,265198014.3
73,USDT,2021/3/15,312005097.6,250274775.2
74,USDT,2021/3/16,311173775.8,257862294.7
75,USDT,2021/3/17,316715605.8,258154349.4
76,USDT,2021/3/18,318699898.8,258829035
77,USDT,2021/3/19,322717143.5,263839281.5
78,USDT,2021/3/20,327078958,269191691.6
79,USDT,2021/3/21,328097658.6,272693025
80,USDT,2021/3/22,324021690.6,258358661.7
81,USDT,2021/3/23,315473916.5,264801519.3
82,USDT,2021/3/24,314026519.7,268894917.3
83,USDT,2021/3/25,311109929.8,270845512.6
84,USDT,2021/3/26,323857484.5,283942455.7
85,USDT,2021/3/27,685662214.9,321355587.7
86,USDT,2021/3/28,714755893.1,370004926.7
87,USDT,2021/3/29,594176673.2,398002387.1
88,USDT,2021/3/30,539741374.6,400116235.4
89,USDT,2021/3/31,502277808.2,401721309.1
90,USDT,2021/4/1,485618580.5,407731764.3
91,USDT,2021/4/2,467526225.3,411569652.1
92,USDT,2021/4/3,493957412.5,412333064.7
93,USDT,2021/4/4,562596772.3,428582496.2
94,USDT,2021/4/5,571745597.4,444980941
95,USDT,2021/4/6,647022482.4,476228094.9
96,USDT,2021/4/7,679877745.3,498630476.6
97,USDT,2021/4/8,647920468.1,512498613.3
98,USDT,2021/4/9,647557793.2,504496276.3
99,USDT,2021/4/10,582217876.8,499507865
100,USDT,2021/4/11,524442133.6,494494949.3
101,USDT,2021/4/12,482604469.7,443810728.7
102,USDT,2021/4/13,455634638.3,411426286.8
103,USDT,2021/4/14,440889790.1,398090065.7
104,USDT,2021/4/15,443660233.6,396384547.9
105,USDT,2021/4/16,472261615.2,408560506.8
106,USDT,2021/4/17,494921206.9,428507280.1
107,USDT,2021/4/18,506900756,451925929.7
108,USDT,2021/4/19,528504670.9,460437727
109,USDT,2021/4/20,548258910.3,466214710.5
110,USDT,2021/4/21,576397288.3,486225424.4
111,USDT,2021/4/22,604936829.1,485868024.7
112,USDT,2021/4/23,614804849.9,509402396.7
113,USDT,2021/4/24,605573829.2,515479288.5
114,USDT,2021/4/25,606114733.4,522090433.9
115,USDT,2021/4/26,611193888.3,529696498.2
116,USDT,2021/4/27,673080621.9,518992668.8
117,USDT,2021/4/28,667920381.3,548295285.3
118,USDT,2021/4/29,652874062.8,577048997.5
119,USDT,2021/4/30,613954865.7,545214127.9
120,USDT,2021/5/1,615781853.8,537288997.2
121,USDT,2021/5/2,617283975.5,489373530.6
122,USDT,2021/5/3,596943763.2,427419814.7
123,USDT,2021/5/4,576148324.3,432146655.6
124,USDT,2021/5/5,539947423.3,438164670.3
125,USDT,2021/5/6,541934675.3,449526497.4
126,USDT,2021/5/7,545698355.9,438408489.2
127,USDT,2021/5/8,544472158.5,423252764.7
