,ctoken_symbol,date,total_supply,total_borrow
0,WBTC,2021-01-01,0.0,0.0
1,WBTC,2021-01-02,569765664.5894347,20983470.54935606
2,WBTC,2021-01-03,593835701.2373929,17332720.425884932
3,WBTC,2021-01-04,620462668.4001185,17106871.41131885
4,WBTC,2021-01-05,696132808.2241018,17005387.11662877
5,WBTC,2021-01-06,688257292.6298027,16040220.87621563
6,WBTC,2021-01-07,682746611.2327495,13713039.543507215
7,WBTC,2021-01-08,699912773.0638492,12599242.539209427
8,WBTC,2021-01-09,691266337.669027,12626009.008136366
9,WBTC,2021-01-10,728471893.1272871,13279366.493364217
10,WBTC,2021-01-11,774384980.5174372,13718330.325861413
11,WBTC,2021-01-12,840402580.9929366,13838512.438180856
12,WBTC,2021-01-13,842489179.6651235,14560850.203439837
13,WBTC,2021-01-14,848478111.6256363,11051321.483256305
14,WBTC,2021-01-15,845647881.1415278,9385202.526917115
15,WBTC,2021-01-16,788275088.2123722,12701898.634489503
16,WBTC,2021-01-17,796515911.9252062,16832355.208317112
17,WBTC,2021-01-18,846190756.7228737,18772263.101871006
18,WBTC,2021-01-19,908678330.4864115,22178612.22897529
19,WBTC,2021-01-20,843555681.0746443,21445785.682146065
20,WBTC,2021-01-21,865354105.013718,21976401.363900427
21,WBTC,2021-01-22,944483669.8031963,27347992.735670537
22,WBTC,2021-01-23,1018876006.9397326,33193843.277469523
23,WBTC,2021-01-24,1004803806.6985903,38081443.876891434
24,WBTC,2021-01-25,1058293204.8632953,38477181.452704825
25,WBTC,2021-01-26,1060083569.6229521,37818530.61267285
26,WBTC,2021-01-27,919266331.7132347,31926119.123364944
27,WBTC,2021-01-28,990336648.8843939,33279443.90510658
28,WBTC,2021-01-29,1009255691.630394,40557370.70765317
29,WBTC,2021-01-30,1163790996.134352,71610352.28155379
30,WBTC,2021-01-31,1261834680.9316053,79742177.12422214
31,WBTC,2021-02-01,1276417007.3106284,80564397.80723298
32,WBTC,2021-02-02,1231137484.5434585,77422025.20218848
33,WBTC,2021-02-03,1232028829.7554173,78775349.9500344
34,WBTC,2021-02-04,1286580407.3669467,77444744.65856455
35,WBTC,2021-02-05,1223515910.8446481,83144903.50871938
36,WBTC,2021-02-06,1093634522.001967,75617736.95866545
37,WBTC,2021-02-07,1105725370.3660622,73098399.50473136
