,ctoken_symbol,date,total_supply,total_borrow
0,YFI,2022-11-02,1177408.3022469098,90305.67447724515
1,YFI,2022-11-03,1177408.3022469098,90305.67447724515
2,YFI,2022-11-04,1177408.3022469098,90305.67447724515
3,YFI,2022-11-05,1177408.3022469098,90305.67447724515
4,YFI,2022-11-06,1177408.3022469098,90305.67447724515
5,YFI,2022-11-07,1205611.5948424651,92565.92744744883
6,YFI,2022-11-08,1205611.5948424651,92565.92744744883
7,YFI,2022-11-09,1205611.5948424651,92565.92744744883
8,YFI,2022-11-10,1023655.6483675144,60873.83000316906
9,YFI,2022-11-11,1023655.6483675144,60873.83000316906
10,YFI,2022-11-12,1023655.6483675144,60873.83000316906
11,YFI,2022-11-13,1023655.6483675144,60873.83000316906
12,YFI,2022-11-14,848512.8751607897,20702.00161985837
13,YFI,2022-11-15,848512.8751607897,20702.00161985837
14,YFI,2022-11-16,848512.8751607897,20702.00161985837
15,YFI,2022-11-17,848512.8751607897,20702.00161985837
16,YFI,2022-11-18,848512.8751607897,20702.00161985837
17,YFI,2022-11-19,848512.8751607897,20702.00161985837
18,YFI,2022-11-20,877144.8971814258,4530.947746649295
19,YFI,2022-11-21,914257.2284265764,202.4167543128578
20,YFI,2022-11-22,914257.2284265764,202.4167543128578
21,YFI,2022-11-23,914257.2284265764,202.4167543128578
22,YFI,2022-11-24,914257.2284265764,202.4167543128578
23,YFI,2022-11-25,889139.1168913305,197.0697246941335
24,YFI,2022-11-26,889139.1168913305,197.0697246941335
25,YFI,2022-11-27,886064.5774042702,198.26898490673716
26,YFI,2022-11-28,877683.1894299315,202.36257151839166
27,YFI,2022-11-29,877683.1894299315,202.36257151839166
28,YFI,2022-11-30,639305.8214469523,15829.684799712686
