,ctoken_symbol,date,total_supply,total_borrow
0,ZRX,2022-11-01,0.0,0.0
1,ZRX,2022-11-02,2838179.2146869907,107338.30857150447
2,ZRX,2022-11-03,2830839.234007032,107068.78566037508
3,ZRX,2022-11-04,2943994.7308237357,111363.73832781696
4,ZRX,2022-11-05,3086870.0948715685,116850.2523638931
5,ZRX,2022-11-06,3078667.526736059,116635.43904176279
6,ZRX,2022-11-07,2950749.9340944397,111802.24294230295
7,ZRX,2022-11-08,2825618.33105628,107093.18424284903
8,ZRX,2022-11-09,2470522.400183291,94170.18947647462
9,ZRX,2022-11-10,1996227.6645480953,77456.09233901235
10,ZRX,2022-11-11,2027891.6147886764,83814.8355980735
11,ZRX,2022-11-12,1984432.2709834762,77743.89986676833
12,ZRX,2022-11-13,1916219.3504485812,75246.69490475344
13,ZRX,2022-11-14,1786857.3331755027,71699.36546019613
14,ZRX,2022-11-15,1804382.8281185091,74316.85523544332
15,ZRX,2022-11-16,1906427.4544826676,84690.32290640999
16,ZRX,2022-11-17,1836676.0363542358,89168.2658872074
17,ZRX,2022-11-18,1825889.7525589245,89005.95570744996
18,ZRX,2022-11-19,1838638.0443478436,89855.19587289252
19,ZRX,2022-11-20,1923493.414768666,94011.07646925775
20,ZRX,2022-11-21,1860737.2129576788,90800.58185785536
21,ZRX,2022-11-22,1840362.1114142253,89688.3788305351
22,ZRX,2022-11-23,1907900.5310145083,92991.66168007295
23,ZRX,2022-11-24,2017468.7467586086,98392.2737542935
24,ZRX,2022-11-25,2023295.9218566953,98714.13145396218
25,ZRX,2022-11-26,1962944.7202540832,96749.44126580335
26,ZRX,2022-11-27,1969722.2004093102,98860.00160393148
27,ZRX,2022-11-28,1921075.4202213269,96442.16200655678
28,ZRX,2022-11-29,1875741.788465396,94219.62690129552
29,ZRX,2022-11-30,1942779.2442727347,97827.14154748603
