,token,total_tvl,eigenvector_centrality,weighted_degree,weighted_in_degree,weighted_out_degree
0,USDC,1843964971.9715655,0.6587459456281061,879050700.9941316,430597713.1699022,448452987.82422936
1,WBTC,659455341.4180751,0.21137746891030487,275174623.2768517,131477749.03844641,143696874.2384053
2,WETH,1788191767.7937033,0.7083240146427672,1272652681.4383345,649212236.6924361,623440444.7458982
3,DAI,679061364.4734275,0.018905208743177776,33449681.205826566,19221281.761925843,14228399.443900723
4,APE,46714010.55807772,0.07686486511635233,93075230.06232916,44585778.15527142,48489451.90705774
5,FRAX,434300643.9459575,0.006736470906700361,10596696.920681147,5646741.257538483,4949955.663142664
6,HEX,53778554.36838324,0.01584309544321765,16353374.752137197,9592120.264394492,6761254.487742705
7,LINK,19325368.601416823,0.004309144700620162,5238809.540978001,2490028.07957894,2748781.461399061
8,agEUR,34578602.2586557,0.0013473339397423669,1822459.4713937896,811449.4321166367,1011010.039277153
9,MKR,13198378.280980377,0.0010986110951738772,1120715.2098632576,634829.5695724259,485885.6402908318
10,RAI,20880853.871927265,5.1120134145132e-06,7720351.185239014,110676.55706036049,7609674.628178653
11,FEI,6458595.325781621,0.006456781515548088,7790197.443858948,4011836.89950846,3778360.544350488
12,PAX,72566666.34915431,0.001201778182007128,3309061.373933224,1792731.9817081606,1516329.3922250632
13,1INCH,4095429.7731121234,0.0001392041077899407,133352.5135980416,86492.65502477923,46859.85857326237
14,BUSD,23924832.64714085,0.0031023938688521753,1944540.164808,1927631.927749,16908.237059
15,NEXO,7834427.035155448,0.0023372942430379888,3072447.7398293456,1350599.4111929487,1721848.328636397
16,MATIC,18926435.16123328,0.0008075800075535298,1186548.5193088665,466658.011049272,719890.5082595944
17,TUSD,10008075.217224896,0.00010268802355933313,119078.06646783945,63803.86281630949,55274.20365152996
18,ETH2x-FLI,23020805.5969618,0.0025207926356811136,2350496.2415213124,1456633.4810568034,893862.760464509
19,MIM,948373.6636834572,0.0001848040603029533,389666.541113,114825.590198,274840.950915
20,sILV2,2143138.496156821,0.009440119585920077,7782394.591109553,5454948.59806894,2327445.9930406124
21,LUSD,2064736.4511280395,0.0007131386374751386,720570.5666840001,443099.3821610001,277471.184523
22,UNI,20384693.736549053,0.0010011769865948073,1331540.3973526189,578527.5228493728,753012.874503246
23,wstETH,2741917.622357631,0.00032511935326370113,242457.0921694566,187869.3743388776,54587.717830579015
24,USDT,505415600.7624833,0.09744467264527228,119395143.01937976,58942137.08135627,60453005.93802349
25,LOOKS,29267065.90827216,0.05730905623290716,65483624.52798025,33115889.381382428,32367735.14659783
26,renBTC,11217765.48190571,0.004577742931868461,15378587.820436325,8864165.179458953,6514422.640977372
27,ENS,9187887.632509785,0.010393411826496035,11613098.287196144,6005806.044730514,5607292.242465629
28,LUNA,8328687.243912914,0.0005304141163104999,563258.1647749052,306498.4202615154,256759.7445133898
29,EURS,8794211.460231114,0.00039244345396709316,744088.830438,243839.616658,500249.21378
30,CRV,8215489.374340461,0.0006648449523810869,747479.6376378124,384178.9299294029,363300.7077084095
31,oSQTH,11116488.048910348,0.001082780851626011,1055963.2709822576,625682.1044304158,430281.16655184166
