,Source,Target,Volume
0,USDC,WETH,287046059.8696588
1,WETH,USDC,300406593.6352482
2,WBTC,WETH,88089612.99099535
3,WETH,WBTC,113120627.71049993
4,USDC,WETH,27625485.200756516
5,WETH,USDC,35045565.74590491
6,USDC,USDT,29930727.691000395
7,USDT,USDC,34673589.97283699
8,WETH,USDT,15850001.91791234
9,USDT,WETH,15429898.886150466
10,WETH,USDT,8873418.213376235
11,USDT,WETH,7129577.257798574
12,DAI,USDC,27706424.829188637
13,USDC,DAI,7598898.124086736
14,APE,WETH,5427779.50916561
15,WETH,APE,4293235.477879788
16,WBTC,WETH,4887129.6904232
17,WETH,WBTC,13289195.50222462
18,WBTC,USDC,10255603.705499206
19,USDC,WBTC,10180576.429012438
20,WETH,LOOKS,3393226.687844776
21,LOOKS,WETH,4176010.678752315
22,DAI,WETH,984222.5753112416
23,WETH,DAI,1307192.9832988083
24,DAI,WETH,1917023.5889887025
25,WETH,DAI,2025734.2991300188
26,USDC,USDT,862284.347574804
27,USDT,USDC,1130763.757895464
28,FRAX,USDC,243944.558452
29,USDC,FRAX,894728.1236270001
30,WBTC,renBTC,0.0
31,renBTC,WBTC,97098.04226846193
32,FRAX,USDC,2096719.2799380005
33,USDC,FRAX,1881350.915516
34,FEI,USDC,2686782.6720891483
35,USDC,FEI,1386989.2448956291
36,HEX,USDC,3309773.688164001
37,USDC,HEX,3196167.332514
38,LINK,WETH,2872490.092940694
39,WETH,LINK,3343619.370395441
40,HEX,WETH,335329.02771283383
41,WETH,HEX,335982.65558054496
42,HEX,USDC,223048.498637
43,USDC,HEX,144220.525269
44,agEUR,USDC,1306402.6097890004
45,USDC,agEUR,1214661.1670060002
46,MKR,WETH,1053377.001814023
47,WETH,MKR,869652.469114123
48,WETH,ENS,600740.9040664658
49,ENS,WETH,673120.6524335752
50,DAI,FRAX,70308.90129007415
51,FRAX,DAI,43180.59243649912
52,WBTC,USDT,537909.2418612791
53,USDT,WBTC,550949.3461601314
54,RAI,DAI,120762.01747649055
55,DAI,RAI,187598.49325773463
56,FRAX,USDT,1727605.7002493874
57,USDT,FRAX,605991.5794809643
58,DAI,USDC,2842137.0587884053
59,USDC,DAI,195690.229829876
60,WBTC,PAX,686427.2975207786
61,PAX,WBTC,697488.6436764278
62,WETH,LUNA,343623.283923329
63,LUNA,WETH,356233.4218588557
64,FEI,USDC,316403.453195138
65,USDC,FEI,57251.523507793725
66,PAX,WETH,534702.5253508514
67,WETH,PAX,738192.8441269685
68,APE,USDC,30369.931224000004
69,USDC,APE,21831.517468
70,agEUR,WETH,385925.0570542302
71,WETH,agEUR,499622.0300859936
72,1INCH,USDC,44352.47102952898
73,USDC,1INCH,24008.04408990532
74,BUSD,USDC,160769.834601
75,USDC,BUSD,86814.68147000003
76,NEXO,WETH,295250.91052243527
77,WETH,NEXO,361309.25276553
78,1INCH,USDT,5991369.352922113
79,USDT,1INCH,118460.0312140003
80,MATIC,WETH,475142.86608676566
81,WETH,MATIC,594303.2344787633
82,USDC,EURS,178908.571475
83,EURS,USDC,2312124.504448
84,TUSD,USDC,32259.004566613054
85,USDC,TUSD,130138.79682792592
86,ETH2x-FLI,WETH,766910.3423744098
87,WETH,ETH2x-FLI,675266.5056969577
88,MIM,USDC,129169.453188
89,USDC,MIM,20181.148674000004
90,sILV2,WETH,1557612.1515733942
91,WETH,sILV2,1661753.218019518
92,WETH,CRV,399129.60244520765
93,CRV,WETH,313470.1818344628
94,DAI,PAX,114507.6843525643
95,PAX,DAI,0.0
96,LUSD,USDC,62914.293814
97,USDC,LUSD,99188.085133
98,FUN,WETH,324087.87123866763
99,WETH,FUN,448750.9345005456
