,Source,Target,Volume
0,{'symbol': 'USDC'},{'symbol': 'WETH'},5977343.031283042
1,{'symbol': 'WETH'},{'symbol': 'USDC'},7397363.01820461
2,{'symbol': 'WETH'},{'symbol': 'CULT'},1361107.2091949082
3,{'symbol': 'CULT'},{'symbol': 'WETH'},1777529.547316839
4,{'symbol': 'WETH'},{'symbol': 'USDT'},3798962.403162168
5,{'symbol': 'USDT'},{'symbol': 'WETH'},3109243.805417537
6,{'symbol': 'APE'},{'symbol': 'WETH'},863090.5222486143
7,{'symbol': 'WETH'},{'symbol': 'APE'},786512.1713023613
8,{'symbol': 'ELON'},{'symbol': 'WETH'},708636.5861103398
9,{'symbol': 'WETH'},{'symbol': 'ELON'},520177.8426008489
10,{'symbol': 'QOM'},{'symbol': 'WETH'},571702.4003340645
11,{'symbol': 'WETH'},{'symbol': 'QOM'},437592.8355288084
12,{'symbol': 'SAITAMA'},{'symbol': 'WETH'},351477.0183026159
13,{'symbol': 'WETH'},{'symbol': 'SAITAMA'},309151.2167192345
14,{'symbol': 'XMON'},{'symbol': 'WETH'},460698.7315306571
15,{'symbol': 'WETH'},{'symbol': 'XMON'},390423.883607564
16,{'symbol': 'DAI'},{'symbol': 'WETH'},303942.6909425133
17,{'symbol': 'WETH'},{'symbol': 'DAI'},412447.2269036205
18,{'symbol': 'WETH'},{'symbol': 'FOX'},99510.88439321016
19,{'symbol': 'FOX'},{'symbol': 'WETH'},136001.1643189452
20,{'symbol': 'WETH'},{'symbol': 'LOOKS'},3891075.178610552
21,{'symbol': 'LOOKS'},{'symbol': 'WETH'},3897892.579767169
22,{'symbol': 'STRONG'},{'symbol': 'WETH'},137043.01335440602
23,{'symbol': 'WETH'},{'symbol': 'STRONG'},142568.3215678106
24,{'symbol': 'SHIB'},{'symbol': 'WETH'},625542.5758009097
25,{'symbol': 'WETH'},{'symbol': 'SHIB'},613923.5610018553
26,{'symbol': 'USDC'},{'symbol': 'USDT'},259284.64922897564
27,{'symbol': 'USDT'},{'symbol': 'USDC'},255706.43009804623
28,{'symbol': 'X2Y2'},{'symbol': 'WETH'},2315792.616278396
29,{'symbol': 'WETH'},{'symbol': 'X2Y2'},2621859.359719481
30,{'symbol': 'WETH'},{'symbol': 'VEMP'},23540.110467168462
31,{'symbol': 'VEMP'},{'symbol': 'WETH'},25230.33021787
32,{'symbol': 'UNI'},{'symbol': 'WETH'},1191388.4084600152
33,{'symbol': 'WETH'},{'symbol': 'UNI'},941242.5454961216
34,{'symbol': 'STARL'},{'symbol': 'WETH'},488361.2569860013
35,{'symbol': 'WETH'},{'symbol': 'STARL'},367782.26214108366
36,{'symbol': 'PAXG'},{'symbol': 'WETH'},240913.71686483192
37,{'symbol': 'WETH'},{'symbol': 'PAXG'},393965.3031409859
38,{'symbol': 'HEX'},{'symbol': 'WETH'},516733.90409035655
39,{'symbol': 'WETH'},{'symbol': 'HEX'},527844.9431621765
40,{'symbol': 'WETH'},{'symbol': 'SUPER'},238826.78829467815
41,{'symbol': 'SUPER'},{'symbol': 'WETH'},417542.8666730785
42,{'symbol': 'MOOV'},{'symbol': 'WETH'},105665.75749205632
43,{'symbol': 'WETH'},{'symbol': 'MOOV'},114188.69426835644
44,{'symbol': 'ALI'},{'symbol': 'USDC'},34137.00391011268
45,{'symbol': 'USDC'},{'symbol': 'ALI'},30391.992609487883
46,{'symbol': 'AUDIO'},{'symbol': 'WETH'},192813.40972056796
47,{'symbol': 'WETH'},{'symbol': 'AUDIO'},152816.6270997021
48,{'symbol': 'MC'},{'symbol': 'WETH'},221675.95115208672
49,{'symbol': 'WETH'},{'symbol': 'MC'},301533.9873509306
50,{'symbol': 'BOND'},{'symbol': 'USDC'},665132.0154932339
51,{'symbol': 'USDC'},{'symbol': 'BOND'},620989.6775643724
52,{'symbol': 'KUMA'},{'symbol': 'WETH'},49570.22364887084
53,{'symbol': 'WETH'},{'symbol': 'KUMA'},53386.12528845299
54,{'symbol': 'WETH'},{'symbol': 'WRLD'},2091272.3340951
55,{'symbol': 'WRLD'},{'symbol': 'WETH'},1078199.0478610585
56,{'symbol': 'SAND'},{'symbol': 'WETH'},121941.36830266504
57,{'symbol': 'WETH'},{'symbol': 'SAND'},75845.38473588761
58,{'symbol': 'MPL'},{'symbol': 'USDC'},174994.68531925918
59,{'symbol': 'USDC'},{'symbol': 'MPL'},124044.54470617395
60,{'symbol': 'TOKE'},{'symbol': 'WETH'},68887.46517453941
61,{'symbol': 'WETH'},{'symbol': 'TOKE'},85160.80035113421
62,{'symbol': 'WOO'},{'symbol': 'WETH'},112806.58882075505
63,{'symbol': 'WETH'},{'symbol': 'WOO'},74703.1779531619
64,{'symbol': 'KIBA'},{'symbol': 'WETH'},34868.64428560188
65,{'symbol': 'WETH'},{'symbol': 'KIBA'},42630.90993792474
66,{'symbol': 'UFO'},{'symbol': 'WETH'},191974.80376991795
67,{'symbol': 'WETH'},{'symbol': 'UFO'},100614.94070370072
68,{'symbol': 'VADER'},{'symbol': 'WETH'},55844.21660332816
69,{'symbol': 'WETH'},{'symbol': 'VADER'},52908.67432704832
70,{'symbol': 'WETH'},{'symbol': 'FLOKI'},63431.21913212092
71,{'symbol': 'FLOKI'},{'symbol': 'WETH'},85205.10722056082
72,{'symbol': 'HIGH'},{'symbol': 'WETH'},80126.28069700564
73,{'symbol': 'WETH'},{'symbol': 'HIGH'},58463.930481375166
74,{'symbol': '10SET'},{'symbol': 'WETH'},302534.611737552
75,{'symbol': 'WETH'},{'symbol': '10SET'},149636.2599083559
76,{'symbol': 'RAD'},{'symbol': 'USDC'},86882.40188266973
77,{'symbol': 'USDC'},{'symbol': 'RAD'},28930.18136011428
78,{'symbol': 'MRI'},{'symbol': 'WETH'},133850.14680062718
79,{'symbol': 'WETH'},{'symbol': 'MRI'},184414.0818667587
80,{'symbol': 'WILD'},{'symbol': 'WETH'},109456.33153932176
81,{'symbol': 'WETH'},{'symbol': 'WILD'},109001.430554464
82,{'symbol': 'DEFIT'},{'symbol': 'WETH'},16910.939739761496
83,{'symbol': 'WETH'},{'symbol': 'DEFIT'},20402.981411969493
84,{'symbol': 'FXS'},{'symbol': 'WETH'},111624.22164540796
85,{'symbol': 'WETH'},{'symbol': 'FXS'},97440.58300183168
86,{'symbol': 'RBN'},{'symbol': 'WETH'},448857.7170846712
87,{'symbol': 'WETH'},{'symbol': 'RBN'},395587.3201654239
88,{'symbol': 'KYL'},{'symbol': 'WETH'},1233.663820990926
89,{'symbol': 'WETH'},{'symbol': 'KYL'},1268.9820706555506
90,{'symbol': 'F9'},{'symbol': 'WETH'},68939.86308123155
91,{'symbol': 'WETH'},{'symbol': 'F9'},38607.61483999779
92,{'symbol': 'WBTC'},{'symbol': 'WETH'},207436.98640672883
93,{'symbol': 'WETH'},{'symbol': 'WBTC'},241979.2689371676
94,{'symbol': '$AKC'},{'symbol': 'WETH'},55654.84557957357
95,{'symbol': 'WETH'},{'symbol': '$AKC'},29503.39464720307
96,{'symbol': 'WETH'},{'symbol': 'ARC'},47217.26211985924
97,{'symbol': 'ARC'},{'symbol': 'WETH'},38583.32469283576
98,{'symbol': 'DOP'},{'symbol': 'WETH'},136525.3995165264
99,{'symbol': 'WETH'},{'symbol': 'DOP'},128722.29433306077
