,token,total_tvl
0,{'symbol': 'USDC'},251257738.39494354
1,{'symbol': 'WETH'},568953181.1380302
2,{'symbol': 'APE'},1032819.5755099052
3,{'symbol': 'ELON'},17928138.67170056
4,{'symbol': 'QOM'},3377337.558214199
5,{'symbol': 'SAITAMA'},7496698.909055818
6,{'symbol': 'XMON'},7263945.272802301
7,{'symbol': 'DAI'},18822112.78392033
8,{'symbol': 'STRONG'},1018627.0394050336
9,{'symbol': 'SHIB'},2112288.393241829
10,{'symbol': 'X2Y2'},6404259.5741472775
11,{'symbol': 'UNI'},22536148.641566884
12,{'symbol': 'STARL'},4877663.370476961
13,{'symbol': 'PAXG'},23519133.3958586
14,{'symbol': 'HEX'},2030656.5597404228
15,{'symbol': 'MOOV'},385132.2903286521
16,{'symbol': 'ALI'},2384752.267585651
17,{'symbol': 'AUDIO'},3567304.7556779063
18,{'symbol': 'MC'},32166749.84925686
19,{'symbol': 'BOND'},7977258.688088537
20,{'symbol': 'KUMA'},2002877.03896372
21,{'symbol': 'SAND'},4444536.210600293
22,{'symbol': 'MPL'},1947814.822790831
23,{'symbol': 'TOKE'},10648561.917777069
24,{'symbol': 'WOO'},4455374.216421866
25,{'symbol': 'KIBA'},1099248.872722798
26,{'symbol': 'UFO'},6190079.331765759
27,{'symbol': 'VADER'},2663242.58648946
28,{'symbol': 'HIGH'},5656168.259190223
29,{'symbol': '10SET'},6420108.04101817
30,{'symbol': 'RAD'},3809827.4760933206
31,{'symbol': 'MRI'},842977.7508567561
32,{'symbol': 'WILD'},3885576.1193155143
33,{'symbol': 'DEFIT'},614497.6697892735
34,{'symbol': 'FXS'},754441.6674099056
35,{'symbol': 'RBN'},1956254.3149681725
36,{'symbol': 'KYL'},2461.009009656388
37,{'symbol': 'F9'},816077.256712159
38,{'symbol': 'WBTC'},21686361.146249294
39,{'symbol': '$AKC'},1009307.9874643415
40,{'symbol': 'DOP'},898877.2870858276
41,{'symbol': 'CULT'},6003763.253828293
42,{'symbol': 'USDT'},127009561.0010997
43,{'symbol': 'FOX'},15907087.974435093
44,{'symbol': 'LOOKS'},474715.68595188175
45,{'symbol': 'VEMP'},3126452.730883378
46,{'symbol': 'SUPER'},8876360.667201376
47,{'symbol': 'WRLD'},50958.60185142431
48,{'symbol': 'FLOKI'},2673209.377638417
49,{'symbol': 'ARC'},1079710.1315206187
