token,eigenvector_centrality,stable
WETH,0.727032954,0
USDC,0.604302547,1
APE,0.569770072,0
ELON,0.549449139,0
USDT,0.477843566,1
CULT,0.361528818,0
FNK,0.307509547,0
SAND,0.253014144,0
FEI,0.205029715,1
VADER,0.198580322,0
KUMA,0.198179084,0
X2Y2,0.182497524,0
SAITAMA,0.180664701,0
MC,0.171471833,0
STARL,0.168112707,0
FUSE,0.15740213,0
TORN,0.140163896,0
MANA,0.13876457,0
CAW,0.137417027,0
HEX,0.124624443,0
FLOKI,0.122886286,0
WOO,0.121363216,0
STRONG,0.117293064,0
DAI,0.114009501,1
SUPER,0.108650278,0
UFO,0.107314395,0
AMPL,0.103681677,0
WILD,0.102628986,0
HIGH,0.094777772,0
FLX,0.093245633,0
CRV,0.090519109,0
TOKE,0.090010383,0
TEND,0.080986938,0
ZCX,0.080430124,0
LEASH,0.079326643,0
DPX,0.076473752,0
KOKO,0.074220594,0
XMON,0.073442473,0
SHIB,0.071993236,0
BOND,0.070310896,0
WRLD,0.066556718,0
QOM,0.065725416,0
AUDIO,0.062914517,0
GALA,0.062428007,0
UNI,0.058739977,0
SHINJA,0.056429136,0
LINK,0.055215824,0
WBTC,0.050647786,0
LOOKS,0.047618976,0
REEF,0.04638381,0
KISHU,0.044658556,0
Mononoke-Inu,0.042153175,0
eRSDL,0.042056228,0
xFUND,0.041881461,0
PAID,0.039978644,0
AMP,0.038097594,0
MRI,0.033899387,0
PAXG,0.03260747,0
ShibDoge,0.032480188,0
ICE,0.032405223,0
MCC,0.030272931,0
AKITA,0.030206321,0
BEAN,0.029100322,0
SMI,0.029062787,0
NTVRK,0.029042457,0
RAD,0.028862208,0
OCT,0.028629364,0
CELL,0.027609804,0
DEPO,0.027430736,0
MATIC,0.027335664,0
RBN,0.025963741,0
PERP,0.024970005,0
GTC,0.023019401,0
SAITO,0.022938228,0
GM,0.022323123,0
Metis,0.022319717,0
DG,0.021985365,0
MPL,0.021450359,0
PUSH,0.021212578,0
FRAX,0.020907136,1
eMax,0.020621221,0
RGT,0.020283057,0
LUNA,0.020136884,0
FARM,0.019955172,0
AAVE,0.01992148,0
___,0.019903948,0
ERN,0.019335244,0
ETH2x-FLI,0.018190803,0
CGG,0.017474578,0
REFI,0.01723013,0
VOLT,0.017181778,0
CARDS,0.016561897,0
ALBT,0.015650447,0
DAO,0.015391048,0
KEEP,0.015352305,0
RAI,0.015216078,0
MOOV,0.015196449,0
DOP,0.01514954,0
WOOL,0.014706241,0
POLC,0.01430394,0
TERA,0.014053431,0
LGCY,0.014050364,0
SIDUS,0.014044661,0
GERO,0.013552735,0
WDOGE,0.01223946,0
REQ,0.011887586,0
DEFIT,0.011187715,0
JEJUDOGE,0.011183471,0
COTI,0.011080328,0
TVK,0.011065334,0
DERC,0.011047233,0
GLCH,0.010998409,0
stETH,0.01096754,0
C3,0.010675255,0
10SET,0.010365752,0
FEG,0.010141803,0
RLY,0.010039051,0
STAKE,0.009903432,0
AVG,0.009895803,0
FTM,0.00977801,0
COMP,0.009485831,0
DEXT,0.009275068,0
FOX,0.00926412,0
PYR,0.00921303,0
WAXE,0.009197022,0
MKR,0.009196989,0
KLEE,0.008541525,0
FEAR,0.007909495,0
RACA,0.007424906,0
CVP,0.007122208,0
DPI,0.006910979,0
IMPACTXP,0.006231226,0
KIBA,0.00614488,0
BOBA,0.006114148,0
ACYC,0.005506786,0
STRNGR,0.005351077,0
eXRD,0.005323362,0
CHEDDA,0.005221774,0
TRU,0.005139201,0
DBUY,0.004937949,0
VEMP,0.00488892,0
POLS,0.004593192,0
VPAD,0.00435045,0
$AKC,0.003938279,0
DXO,0.003889986,0
ARC,0.003884253,0
UFT,0.003851115,0
VISR,0.003759162,0
MUTE,0.003576813,0
TKING,0.003489835,0
MCHC,0.002946136,0
EJS,0.002795158,0
STAK,0.002757933,0
FXS,0.002385577,0
PDT,0.002357774,0
BOOST,0.002292531,0
F9,0.002256352,0
BEND,0.001945949,0
UPI,0.00191012,0
BFC,0.001796255,0
XCAD,0.00158056,0
FOXX,0.001555836,0
ASTO,0.001533857,0
POCHI,0.001474492,0
SHINTAMA,0.001341353,0
ALI,0.001169041,0
CUMINU,0.000979081,0
GRO,0.000946358,0
wPE,0.000941941,0
YFI,0.000807848,0
SUSHI,0.000744859,0
WISE,0.000479979,0
LDO,0.000381612,0
sUSD,0.0001,1
DSD,0.0001,1
ESD,0.0001,1
LUSD,0.0001,1
