,token,total_tvl,stable,eigenvector_centrality,weighted_degree,weighted_in_degree,weighted_out_degree
0,USDC,478430486.0748896,1.0,0.42528139526809783,119849633.59140417,59576163.094657,60273470.49674718
1,FRAX,136091686.20149845,1.0,0.019860870298671746,6854427.530100343,3378031.131686352,3476396.3984139906
2,USDT,298784406.1992298,1.0,0.3576389165834892,105156976.5472726,52366840.16725575,52790136.38001685
3,DAI,162001962.15538877,1.0,0.12956951868652536,33653396.10322493,16643729.909752982,17009666.19347195
4,YFI,15814821.488015832,0.0,0.007036286866807864,1762706.1997365248,903839.5709566714,858866.6287798535
5,TVK,3013824.5408877004,0.0,0.009256351167796537,2303953.007329094,1189015.8298678177,1114937.1774612763
6,REEF,1962740.55142267,0.0,0.007563501602700811,1897689.988444894,971562.4409464344,926127.5474984596
7,AMPL,37769824.26114583,0.0,0.007478115072138073,1853116.980933743,960594.1949652605,892522.7859684825
8,CRV,6844466.796730044,0.0,0.00874717522859555,2242951.3294599643,1123610.116436801,1119341.2130231636
9,SUSHI,4906997.618619208,0.0,0.013720735302060484,3601528.556523082,1762484.0691366734,1839044.4873864087
10,WBTC,429019811.7543436,0.0,0.19539182743852046,48713748.480490774,25415065.48359581,23298682.99689496
11,MATIC,2355662.911537461,0.0,0.022719043709088286,5778450.725989204,2918353.2603587746,2860097.465630429
12,STAKE,13118177.756203003,0.0,0.02816972917027134,7292159.510629327,3618515.903228751,3673643.607400576
13,FARM,14448200.428476816,0.0,0.0166496290233215,4718953.79940873,2138712.340455472,2580241.458953258
14,MKR,36975881.968210906,0.0,0.010884735996492855,2860147.1470398693,1398188.4620787175,1461958.6849611518
15,DPI,70946201.96961683,0.0,0.021151875222803682,5714672.74661639,2717044.115482637,2997628.631133752
16,PAID,7957787.009639259,0.0,0.026120154409234327,6704787.085826625,3355239.716835889,3349547.368990736
17,POLS,26461802.843117293,0.0,0.04844664801166847,12250660.657697663,6223168.324719072,6027492.332978591
18,AAVE,35985466.85396588,0.0,0.020340442639752116,5446674.399143191,2612812.310894723,2833862.0882484685
19,LINK,103590968.79876776,0.0,0.03493432514304124,9178592.663552051,4487455.677495989,4691136.986056062
20,WETH,2089840339.799679,0.0,0.6998256307252013,539967077.5414225,265486913.94720483,274480163.59421766
21,TEND,62503.433846527376,0.0,0.1436164550082884,27692213.2237878,18448115.822187785,9244097.401600013
22,UNI,313018647.3380021,0.0,0.3348570437606108,86800498.78703234,43013744.67720036,43786754.10983197
23,RGT,2512952.591483066,0.0,0.005142990429044104,1318026.0673492171,660637.9686919114,657388.0986573057
24,BAO,9582126.196520329,,0.0059194252792475754,1616721.5723621498,760374.1726255751,856347.3997365747
25,1INCH,5071872.245892658,,0.01488003393986733,3866839.9971339833,1911400.67859853,1955439.3185354536
26,APY,8947028.454216339,,0.00883834327799564,2111087.8638192844,1135321.021949111,975766.8418701736
27,SNX,18605690.93876121,,0.009531143037233002,2537506.148871701,1224313.959417568,1313192.189454133
28,LON,42922150.21070336,,0.013181668488576964,3328803.3331845496,1693238.7517357676,1635564.5814487822
29,UST,30022141.71207429,,0.011321462313241687,5625964.633518736,2845741.274742555,2780223.358776181
30,BMI,4113243.568387152,,0.006493344646385343,1581305.6848816916,834096.4418247674,747209.2430569242
31,SFI,7690896.509097028,,0.011994618233223609,3149258.0040762946,1540757.3345036458,1608500.6695726488
32,RBC,6006620.212069306,,0.006554127470278753,1390873.7425872255,841904.2419485145,548969.5006387111
33,REN,9462722.897875693,,0.012535628861826381,3285001.300200117,1610252.3428362545,1674748.9573638623
34,UNISTAKE,7918861.517802171,,0.006826673059342869,1696199.1701137158,876913.8276787087,819285.3424350072
35,POOLZ,2027201.3429289928,,0.009490626782920897,2524290.3035964733,1219109.4823109054,1305180.8212855677
36,MIR,3041966.4370154585,,0.02341523712793099,5971240.852801943,3007782.127160375,2963458.725641568
37,SPI,4132571.567315155,,0.007543242309496732,1958927.840996548,968960.0526095128,989967.7883870353
38,CEL,17872466.626644406,,0.007553555605614132,2034047.5717801582,970284.8373026868,1063762.7344774716
39,NDX,1452182.058554147,,0.00607487968858475,1595338.9867481887,780342.9216686881,814996.0650795007
40,ROOK,16273008.92343356,,0.03141834901089782,8092198.9153975975,4035814.2906501377,4056384.6247474593
41,BONDLY,6481564.331662551,,0.020426123797446516,5132557.5362794865,2623818.402925293,2508739.133354193
42,GRT,14546996.947463756,,0.01521850381324466,4680024.568598539,2330124.1051256084,2349900.46347293
43,SWAP,12810327.418171369,,0.0438385717599698,10850800.283712484,5631242.250482651,5219558.0332298335
44,ZERO,1185510.1449227033,,0.01640921591989597,4171432.369522946,2107830.302760629,2063602.0667623167
45,ZKS,1865412.8666556887,,0.010301010285539175,5155696.028485492,2589242.3902538107,2566453.6382316807
46,RARI,2759811.0612057704,,0.010972562879236675,2667188.4777031643,1409470.1811899822,1257718.296513182
