,token,total_tvl,stable,eigenvector_centrality,weighted_degree,weighted_in_degree,weighted_out_degree
0,USDC,454291015.10824347,1.0,0.30061746514466714,106915676.04539447,55128529.62297003,51787146.422424436
1,USDT,266206147.7675459,1.0,0.29402266797337995,89790087.9746072,46008138.80628939,43781949.16831781
2,FRAX,132422158.62901536,1.0,0.011483097679468634,4205592.726029844,2300729.4185983688,1904863.3074314753
3,DAI,369647628.0812556,1.0,0.3139895665433334,151164108.2015103,75582256.0062893,75581852.195221
4,DPI,40892333.39680405,0.0,0.007215667408398406,2802779.033103606,1055290.7919823548,1747488.2411212514
5,CRV,2872518.526401557,0.0,0.0039527855257418835,1193734.9340495123,578094.5728099165,615640.3612395957
6,BOND,13174123.749853084,0.0,0.0005794396790588602,460936.38657552365,199169.1412299857,261767.245345538
7,PERP,5480360.354073904,0.0,0.0038546725371284463,1266913.363384613,563745.5559279781,703167.8074566349
8,STAKE,6494225.061597037,0.0,0.009196780522562571,2920160.4772725594,1345028.4293933564,1575132.047879203
9,WBTC,287885381.9217967,0.0,0.15551991827000258,41517844.1942868,23082436.81917867,18435407.37510813
10,HEX,8867800.332915988,0.0,0.013663734555113405,3886860.3854603004,1998320.1059571456,1888540.2795031548
11,ALBT,1971142.9167052123,0.0,0.002581999434707668,790739.1141886783,377617.2146154161,413121.8995732622
12,POLS,7769987.128661495,0.0,0.005904246263177392,1823121.7554715667,863495.5524523378,959626.2030192288
13,MKR,34043081.657168806,0.0,0.04934242562450203,17217760.650013383,7216325.873751533,10001434.776261851
14,AAVE,24141140.39609499,0.0,0.01417614314617217,4230171.814668069,2073259.822170735,2156911.9924973333
15,YFI,39611191.1795963,0.0,0.05733468746048553,16478310.73879474,8385193.53979844,8093117.1989963
16,WISE,249216111.6571586,0.0,0.4055447667401579,126999946.73207578,59310890.29677323,67689056.43530254
17,LINK,78803725.99761592,0.0,0.036040876460780386,12329907.29907675,5270975.352850566,7058931.946226186
18,TEND,42589.93889946959,0.0,0.13412219138926576,58766332.05603962,19615359.96086091,39150972.09517871
19,WETH,1766380892.1997943,0.0,0.7065328938367716,601007948.1868899,310944683.7523992,290063264.4344906
20,UNI,117340889.03946152,0.0,0.04461130641176435,13355248.092249867,6524400.060324798,6830848.031925067
21,AMPL,31657831.025766265,0.0,0.009048175802629533,1892878.6507543111,1323295.000769982,569583.6499843291
22,BAC,81441485.22412035,,0.0654261444376905,40533011.0914869,21530996.89823078,19002014.193256125
23,LRC,48919957.1780606,,0.04513633895032965,13823977.661714042,6601186.027870114,7222791.633843928
24,SNX,14396389.950724453,,0.014627191249448715,4500381.260462126,2139225.571863525,2361155.6885986
25,ESD,13069740.740521032,,0.009107839166427566,6121837.030290414,3130611.469660806,2991225.560629608
26,CEL,15810740.09469704,,0.01905081244926392,5287047.389401369,2786179.82504176,2500867.564359609
27,BAO,1346587.6412688764,,0.012478697578030775,3932117.455721899,1825008.5410950545,2107108.914626844
28,API3,2884136.2564398344,,0.006219052947506132,1843489.6328720925,909536.0053202112,933953.6275518812
29,LON,17210515.840831812,,0.001302181480755664,304821.23516573495,190443.93932735705,114377.29583837792
30,MPH,2468487.481000756,,0.0049743999032908735,1410151.074100075,727505.5953203888,682645.4787796863
31,PRQ,1865551.9856771368,,0.004897120788150589,1493058.2834417282,716203.5307982352,776854.752643493
32,REN,10285366.893501809,,0.009985149281315388,3210112.8952291515,1460327.2984667958,1749785.5967623554
33,RSR,5724375.705951293,,0.011364599799414442,3402916.5173446224,1662071.8284392962,1740844.6889053262
34,UST,12363306.871572427,,0.0014454983512530997,997346.7559372878,508001.2888853582,489345.4670519296
35,RAMP,2675560.411835262,,0.009988064376195817,3131111.7251524776,1460753.630864202,1670358.0942882758
36,RBC,504967.5538692287,,5.843796623641874e-05,16944.366418903053,8546.547974170096,8397.818444732959
37,SPI,848624.5075294455,,0.002457162042702313,754706.4388347416,359359.7558355103,395346.68299923127
38,1INCH,968829.8282202964,,0.0028422312162250667,832955.4399555526,415676.0922317527,417279.3477237998
39,BAS,14674192.075956216,,0.03172750819880996,20728563.881611966,10441160.58631198,10287403.295299985
40,DSD,16265487.016450545,,0.009328886233120478,6659926.746597892,3206591.3447638405,3453335.4018340507
41,ROOK,4426381.534266863,,0.012308560890947048,3530567.206097955,1800126.0639663546,1730441.1421316003
42,renBTC,24078229.047186,,0.0103038094772535,2649255.5021653953,1506931.3271050008,1142324.1750603945
43,GRT,5552533.380751951,,0.004404865555983292,1862119.2153676515,898441.7981441988,963677.4172234526
44,ZERO,1487369.3211465515,,0.000582374767318622,191108.2405506727,85172.2639985936,105935.97655207908
