,Source,Target,Volume
0,USDC,WETH,188320499.0264823
1,WETH,USDC,182119466.7704869
2,USDC,WETH,62790597.99917748
3,WETH,USDC,58913321.16159078
4,WETH,USDT,28894761.073579803
5,USDT,WETH,31575454.610114623
6,WETH,USDT,37139836.82019875
7,USDT,WETH,38190476.84078711
8,DAI,WETH,26203919.909108367
9,WETH,DAI,25375600.375965424
10,WBTC,WETH,9557232.092961246
11,WETH,WBTC,9240914.137623074
12,USDC,USDT,17481040.218819886
13,USDT,USDC,7347545.694110111
14,WBTC,WETH,11592208.746383732
15,WETH,WBTC,9786474.424214223
16,WBTC,USDC,6108063.255803254
17,USDC,WBTC,6510581.579077874
18,AXS,WETH,6713273.326640403
19,WETH,AXS,7345514.268533625
20,MM,USDC,3410262.0908139995
21,USDC,MM,2811967.1954739983
22,DAI,USDC,3938167.36411377
23,USDC,DAI,4003564.993947833
24,HEX,USDC,3996630.8473820006
25,USDC,HEX,3423374.0652649985
26,UNI,WETH,1594471.8402285748
27,WETH,UNI,4715491.557911719
28,WETH,SLP,6276382.339661264
29,SLP,WETH,6856872.013695077
30,DAI,WETH,4885809.421071924
31,WETH,DAI,4287616.5189919565
32,LINK,WETH,892882.0874298273
33,WETH,LINK,2107733.334872912
34,MM,WETH,3282155.857373126
35,WETH,MM,3066261.417762952
36,FEI,USDC,3005378.1167965243
37,USDC,FEI,2386215.640489746
38,ETH2x-FLI,WETH,3329523.4268012424
39,WETH,ETH2x-FLI,3544034.1817634176
40,DAI,USDT,2633381.8042592
41,USDT,DAI,1404784.2077178103
42,COMP,WETH,2293782.530286304
43,WETH,COMP,3230064.8391602268
44,CEL,WETH,803885.3568520877
45,WETH,CEL,613711.9246240299
46,SHIB,WETH,741086.0264472143
47,WETH,SHIB,464848.5987855125
48,HEX,WETH,845016.4238066656
49,WETH,HEX,708784.0157529659
50,UST,USDT,482095.4872422781
51,USDT,UST,1724060.3127488631
52,MATIC,WETH,1717807.431493216
53,WETH,MATIC,1572626.179603711
54,PERP,WETH,549249.2612548626
55,WETH,PERP,633808.5082334885
56,USDC,UST,590665.7081919999
57,UST,USDC,279638.29098700004
58,QNT,WETH,780761.4389612849
59,WETH,QNT,762053.7451142417
60,FRAX,USDC,1136951.462582
61,USDC,FRAX,1173306.5562570002
62,USDC,EURS,506254.156831
63,EURS,USDC,316594.519981
64,AAVE,WETH,647455.7592541509
65,WETH,AAVE,1469767.391672337
66,WBTC,USDC,81800.75077216269
67,USDC,WBTC,86919.15105313057
68,MKR,WETH,425121.8223799328
69,WETH,MKR,184984.46247298675
70,WBTC,PAX,526950.62147834
71,PAX,WBTC,569889.6403372122
72,RAI,DAI,1123158.2190031328
73,DAI,RAI,591770.4901376679
74,MM,WETH,158122.13092625875
75,WETH,MM,110153.9628421841
76,INST,WETH,427104.33087135135
77,WETH,INST,743524.5448848986
78,sUSD,USDC,393848.79038397095
79,USDC,sUSD,241594.79883765045
80,RUNE,WETH,1228664.8435963923
81,WETH,RUNE,1064498.520212675
82,NEXO,WETH,353930.5866072374
83,WETH,NEXO,457297.4269882292
84,WETH,TRIBE,49383.25734845648
85,TRIBE,WETH,60968.01839026396
86,UBT,WETH,141383.00273380935
87,WETH,UBT,125729.43617554278
88,LUSD,DAI,602748.3077518827
89,DAI,LUSD,778576.865768806
90,WETH,TRU,337333.5164231332
91,TRU,WETH,203462.42296223468
92,GALA,WETH,142869.5375831385
93,WETH,GALA,129952.97966507738
94,YFI,WETH,352798.286247614
95,WETH,YFI,299046.8805610935
96,WETH,ENJ,137562.5338744211
97,ENJ,WETH,126159.21540074237
98,WETH,WTON,315213.03868933965
99,WTON,WETH,283024.60720477457
