,token,total_tvl
0,USDC,2055337805.498002
1,WETH,1752956717.7042835
2,WBTC,535799322.41577977
3,DAI,664364284.6031152
4,FEI,70456719.15184759
5,Metis,11846987.987603756
6,FRAX,360497952.8443701
7,STRONG,4025116.5048019327
8,MATIC,31682395.021244623
9,EURT,22924321.382565785
10,HEX,58784401.97156978
11,LINK,19051741.24927876
12,GALA,8920877.73197497
13,agEUR,46503622.20767245
14,UST,31481186.81926577
15,ETH2x-FLI,25573915.49865672
16,PAX,80342502.64207363
17,Nvir,9684932.209732257
18,FTM,28288079.881919727
19,RAI,27086617.3343976
20,SAND,15894302.678833244
21,FXS,7722120.767239136
22,SHIB,7794842.917555659
23,MKR,15462191.650592448
24,oneUNI,4024628.3896110416
25,USDT,554315415.2204498
26,LOOKS,24458641.343671445
27,WRLD,5159947.421485948
28,BTRFLY,6150542.616703128
29,NCR,2666516.9542124947
30,EURS,13095015.211137395
