,pairAddress,token0,token1,dailyVolumeUSD,pastValidDays,pastTotalVolumeUSD,avgDailyVolumeUSD
0,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,{'symbol': 'USDC'},{'symbol': 'WETH'},35912939.16008159832406201749766104,31,1122705385.207331,36216302.74862358
1,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,{'symbol': 'WETH'},{'symbol': 'USDT'},23715809.31311868202292712942962556,31,1021833284.3010625,32962364.009711694
2,0xccb63225a7b19dcf66717e4d40c9a72b39331d61,{'symbol': 'MC'},{'symbol': 'WETH'},3560489.659376248159999579453023384,31,465958377.93877244,15030915.417379756
3,0x94b0a3d511b6ecdb17ebf877278ab030acb0a878,{'symbol': 'FEI'},{'symbol': 'WETH'},11298102.09108816631952432087833855,31,416537468.64212865,13436692.53684286
4,0x9cbfb60a09a9a33a10312da0f39977cbdb7fde23,{'symbol': 'SAITAMA'},{'symbol': 'WETH'},9651660.612970581982378776687869223,31,383023526.9782784,12355597.644460594
5,0x452c60e1e3ae0965cd27db1c7b3a525d197ca0aa,{'symbol': 'VADER'},{'symbol': 'WETH'},29132693.58505891721399957898630383,31,259289682.5684874,8364183.308660884
6,0x63b61e73d3fa1fb96d51ce457cabe89fffa7a1f1,{'symbol': 'SHINJA'},{'symbol': 'WETH'},2521990.9460763907266957114020884,31,248489034.3483603,8015775.30156001
7,0xf6dcdce0ac3001b2f67f750bc64ea5beb37b5824,{'symbol': 'HEX'},{'symbol': 'USDC'},14343990.47415809418774193967214262,31,235731702.4775955,7604248.46701921
8,0x3dd49f67e9d5bc4c5e6634b3f70bfd9dc1b6bd74,{'symbol': 'SAND'},{'symbol': 'WETH'},4527211.925926503617671526224466069,31,233759644.4510452,7540633.691969199
9,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,{'symbol': 'DAI'},{'symbol': 'WETH'},5834112.850320428809090436172233644,31,217399930.4001012,7012900.980648426
10,0x7b73644935b8e68019ac6356c40661e1bc315860,{'symbol': 'ELON'},{'symbol': 'WETH'},4694725.702542272971781141153853531,31,200351017.88902858,6462936.060936405
11,0x97e1fcb93ae7267dbafad23f7b9afaa08264cfd8,{'symbol': 'UFO'},{'symbol': 'WETH'},2788378.066101837972523709555453193,31,162267312.37679893,5234429.431509643
12,0xc0bf97bffa94a50502265c579a3b7086d081664b,{'symbol': 'STRONG'},{'symbol': 'WETH'},11174526.47471977200507443355733826,31,143989023.75003695,4644807.217743128
13,0x55d5c232d921b9eaa6b37b5845e439acd04b4dba,{'symbol': 'HEX'},{'symbol': 'WETH'},7247300.193976697513670334500263112,31,130298714.2668952,4203184.331190168
14,0x25647e01bd0967c1b9599fa3521939871d1d0888,{'symbol': 'WETH'},{'symbol': 'SUPER'},3192557.701472281005786338530454761,31,127684030.48958698,4118839.693212483
15,0x811beed0119b4afce20d2583eb608c6f7af1954f,{'symbol': 'SHIB'},{'symbol': 'WETH'},8192796.211125638089441066675030687,31,127260735.14109397,4105185.0045514186
16,0xa5e9c917b4b821e4e0a5bbefce078ab6540d6b5e,{'symbol': 'STARL'},{'symbol': 'WETH'},3451086.828232750597442337697626964,31,125096708.37245494,4035377.6894340306
17,0x10e4a463f2ace6e3836fe547e885993844299be6,{'symbol': 'FLOKI'},{'symbol': 'WETH'},4966995.245154907833669880606365194,31,123690371.70199484,3990011.9903869303
18,0xd3d2e2692501a5c9ca623199d38826e513033a17,{'symbol': 'UNI'},{'symbol': 'WETH'},5278764.217843449990218389218853065,31,118907133.71122219,3835713.9906845866
19,0x60a39010e4892b862d1bb6bdde908215ac5af6f3,{'symbol': 'WETH'},{'symbol': 'LUNA'},2315238.561989899320710573505780857,31,95959845.00227857,3095478.871041244
20,0x5fa464cefe8901d66c09b85d5fcdc55b3738c688,{'symbol': 'TOKE'},{'symbol': 'WETH'},5495786.267916591506851442513035928,31,83870898.86260742,2705512.866535723
21,0xd6f3768e62ef92a9798e5a8cedd2b78907cecef9,{'symbol': 'FLX'},{'symbol': 'WETH'},3950713.843813047026361355572497109,31,78191444.53151804,2522304.662307034
22,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,{'symbol': 'USDC'},{'symbol': 'USDT'},1488950.289146750347245340493699185,31,77165175.36881243,2489199.205445562
23,0xbb2b8038a1640196fbe3e38816f3e67cba72d940,{'symbol': 'WBTC'},{'symbol': 'WETH'},1476313.284644023958108435677543006,31,75778580.22458793,2444470.329825417
24,0x0efea698136d636e2babad10821e9064fe08f418,{'symbol': 'WETH'},{'symbol': 'ICE'},1254142.827395815836587938012159831,31,75174941.95207901,2424998.12748642
25,0xa2107fa5b38d9bbd2c461d6edf11b11a50f6b974,{'symbol': 'LINK'},{'symbol': 'WETH'},2245782.573536499735885556925788375,31,74055889.62253982,2388899.66524322
26,0x98d677887af8a699be38ef6276f4cd84aca29d74,{'symbol': 'GM'},{'symbol': 'WETH'},720078.8692598364546208947400370586,31,72956761.55237864,2353443.921044472
27,0x6591c4bcd6d7a1eb4e537da8b78676c1576ba244,{'symbol': 'BOND'},{'symbol': 'USDC'},970459.4285302047536866170393280575,31,72163125.01954478,2327842.7425659606
