,id,token0,token1,dailyTxns,dailySwapVolumeToken0,dailySwapVolumeToken1,tvlUSD,mintsCount,burnsCount,swapsCount,token0To1Txs,token0To1VolumeUSD,token1To0Txs,token1To0VolumeUSD,GrossVolumeUSD
0,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,USDC,WETH,11708,536408397.37626,420355.124124383224503329,302907546.688992472986912910149767,356.0,385.0,10957.0,5620.0,279006550.32680744,5337.0,257049215.22426173,536055765.55106914
1,0x3416cf6c708da44db2624d63ea0aaef7113527c6,USDC,USDT,1856,232836701.79505,232838644.969825,111171449.894235,26.0,32.0,1798.0,700.0,128045603.7013133,1098.0,104795238.93934584,232840842.64065915
2,0x4585fe77225b41b697c938b018e2ac67ac5a20c0,WBTC,WETH,1153,3431.19064973,45543.366899294479497631,111267718.3413788310441832653736111,24.0,32.0,1097.0,524.0,30796983.687039614,573.0,27302081.029288158,58099064.71632777
3,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,USDC,WETH,894,50055272.176062,39416.78895119821227583,331266373.8595602367455516884026065,122.0,167.0,605.0,275.0,32944723.490108296,328.0,17063683.32895312,50008406.81906141
4,0x11b815efb8f581194ae79006d24e0d814b7697f6,WETH,USDT,4167,28364.19480082942014811,36133306.973943,34493888.19621662467636436101342832,9.0,17.0,4141.0,2116.0,17054960.295647472,2025.0,19076824.211680777,36131784.50732825
5,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed,WBTC,WETH,315,1193.12292997,15848.003385382854252312,179747189.0087176731198903578230155,44.0,54.0,217.0,160.0,14240945.604937846,57.0,5869088.300436961,20110033.905374806
6,0x5777d92f208679db4b9778590fa3cab3ac9e2168,DAI,USDC,492,16842754.972049316527092228,16843165.098489,204164959.617689049824799106,7.0,7.0,478.0,260.0,7171734.321823448,217.0,9673577.395766463,16845311.71758991
7,0x60594a405d53811d3bc4766596efd80fd545a270,DAI,WETH,1416,23692910.625310866086211424,18821.782003318627565975,14759431.88929051654640116314645304,6.0,8.0,1402.0,683.0,12277322.159420311,719.0,11584565.446608406,23861887.606028717
8,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,WETH,USDT,497,15553.325536889331722968,19831136.632375,126624219.0648857473141295729169483,25.0,27.0,445.0,265.0,8089086.686497782,180.0,11703123.248817021,19792209.935314804
9,0xa6cc3c2531fdaa6ae1a3ca84c2855806728693e8,LINK,WETH,703,2143337.984065561261206872,12660.986693574138648346,31034812.88751820617442904069776257,68.0,55.0,580.0,334.0,8125071.651533202,246.0,8029420.296193347,16154491.94772655
