,id,token0,token1,pastValidDays,pastTotalVolumeUSD,avgDailyVolumeUSD
0,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,USDC,WETH,31,18780271115.32653,605815197.2685977
1,0x3416cf6c708da44db2624d63ea0aaef7113527c6,USDC,USDT,31,4911837782.560123,158446380.08258462
2,0x4585fe77225b41b697c938b018e2ac67ac5a20c0,WBTC,WETH,31,2572532568.763795,82984921.57302564
3,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,USDC,WETH,31,2267004688.3500047,73129183.49516144
4,0x11b815efb8f581194ae79006d24e0d814b7697f6,WETH,USDT,31,1993346410.534996,64301497.11403213
5,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed,WBTC,WETH,31,1068989622.6935978,34483536.21592251
6,0x5777d92f208679db4b9778590fa3cab3ac9e2168,DAI,USDC,31,860037247.4667284,27743137.015055757
7,0x60594a405d53811d3bc4766596efd80fd545a270,DAI,WETH,31,787076782.9975182,25389573.645081233
8,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,WETH,USDT,31,775189017.1098068,25006097.326122798
9,0xa6cc3c2531fdaa6ae1a3ca84c2855806728693e8,LINK,WETH,31,433914034.8157924,13997226.92954169
10,0xc2e9f25be6257c210d7adf0d4cd6e3e881ba25f8,DAI,WETH,31,368316004.56529653,11881161.43759021
11,0x99ac8ca7087fa4a2a1fb6357269965a2014abc35,WBTC,USDC,31,362126545.4787017,11681501.467054894
12,0x9a772018fbd77fcd2d25657e5c547baff3fd7d16,WBTC,USDC,31,359984541.09306115,11612404.55138907
13,0x5e35c4eba72470ee1177dcb14dddf4d9e6d915f4,BUSD,USDC,31,310867548.64339,10027985.440109355
14,0x7858e59e0c01ea06df3af3d20ac7b0003275d4bf,USDC,USDT,31,284556050.5757854,9179227.437928561
15,0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801,UNI,WETH,31,238853789.22687042,7704960.942802272
16,0x290a6a7460b308ee3f19023d2d00de604bcf5b42,MATIC,WETH,31,224083760.2769639,7228508.396031093
17,0xac4b3dacb91461209ae9d41ec517c2b9cb1b7daf,APE,WETH,31,204501131.41391838,6596810.69077156
18,0xa3f558aebaecaf0e11ca4b2199cc5ed341edfd74,LDO,WETH,31,150892478.40252343,4867499.303307207
19,0xe0554a476a092703abdb3ef35c80e0d76d32939f,USDC,WETH,31,145151960.25557593,4682321.298566965
20,0x6c6bc977e13df9b0de53b251522280bb72383700,DAI,USDC,31,137993774.56199032,4451412.082644849
21,0x69d91b94f0aaf8e8a2586909fa77a5c2c89818d5,HEX,USDC,31,127060349.30761601,4098720.9454069682
22,0x735a26a57a0a0069dfabd41595a970faf5e1ee8b,agEUR,USDC,31,118672757.28813198,3828153.4609074835
23,0xc63b0708e2f7e69cb8a1df0e1389a98c35a76d52,FRAX,USDC,31,117697627.95014603,3796697.675811162
24,0x840deeef2f115cf50da625f7368c24af6fe74410,cbETH,WETH,31,91356067.60838564,2946969.9228511495
25,0x4e0924d3a751be199c426d52fb1f2337fa96f736,LUSD,USDC,31,88218323.60299899,2845752.37429029
26,0x00cef0386ed94d738c8f8a74e8bfd0376926d24c,BUSD,USDC,31,87942894.05491598,2836867.55015858
27,0x9a834b70c07c81a9fcd6f22e842bf002fbffbe4d,FRAX,USDC,31,75607885.57808898,2438964.050906096
28,0x39529e96c28807655b5856b3d342c6225111770e,TUSD,USDC,31,72476896.72441404,2337964.410464969
29,0x537a0a5654045c52ec45c4c86ed0c1ffe893809d,,USDC,31,68784643.969635,2218859.4828914516
30,0x2f62f2b4c5fcd7570a709dec05d68ea19c82a9ec,SHIB,WETH,31,65164090.50131581,2102067.4355263165
31,0xd83d78108dd0d1dffff11ea3f99871671a52488b,PAX,WETH,31,59704855.15857236,1925963.0696313665
32,0x9e0905249ceefffb9605e034b534544684a58be6,HEX,WETH,31,55759006.172394775,1798677.6184643477
33,0x5aa1356999821b533ec5d9f79c23b8cb7c295c61,GUSD,USDC,31,53773519.42061901,1734629.6587296454
34,0x92560c178ce069cc014138ed3c2f5221ba71f58a,WETH,ENS,31,53260473.698325045,1718079.7967201627
35,0x1c5c60bef00c820274d4938a5e6d04b124d4910b,USDD,USDC,31,52154968.294628,1682418.3320847743
36,0x7bea39867e4169dbe237d55c8242a8f2fcdcc387,USDC,WETH,31,50764109.23940787,1637551.910948641
37,0x4b5ab61593a2401b1075b90c04cbcdd3f87ce011,WETH,LOOKS,31,49704878.21977108,1603383.1683797122
38,0x24ee2c6b9597f035088cda8575e9d5e15a84b9df,QNT,WETH,31,47491223.31555671,1531974.9456631197
39,0xa4e0faa58465a2d369aa21b3e42d43374c6f9613,rETH,WETH,31,43940253.46211945,1417427.5310361113
40,0xfad57d2039c21811c8f2b5d5b65308aa99d31559,LINK,USDC,31,41292582.7283329,1332018.797688158
41,0xe8c6c9227491c0a8156a0106a0204d881bb7e531,MKR,WETH,31,40509065.567455545,1306744.050563082
42,0x95dbb3c7546f22bce375900abfdd64a4e5bd73d6,EUROC,USDC,31,40314143.67536699,1300456.2475924836
43,0x8db1b906d47dfc1d84a87fc49bd0522e285b98b9,agEUR,WETH,31,39261414.33563266,1266497.2366333115
44,0x82c427adfdf2d245ec51d8046b41c4ee87f0d29c,WETH,oSQTH,31,38770228.0918908,1250652.5190932516
45,0xb0f4a77bde7fee134265307c5cc19abff0ba409b,CHZ,USDT,31,38013131.967934676,1226230.0634817637
46,0x9febc984504356225405e26833608b17719c82ae,1INCH,USDC,31,36401778.105012774,1174250.9066133152
47,0x6279653c28f138c8b31b8a0f6f8cd2c58e8c1705,XSGD,USDC,31,35536426.50542201,1146336.338884581
48,0x29f0096512b4af1d689c1a11a867a6e707a8dcde,FUN,WETH,31,35487219.68133497,1144749.0219785476
49,0xc5af84701f98fa483ece78af83f11b6c38aca71d,WETH,USDT,31,32292918.431573957,1041707.0461798051
