,id,token0,token1,dailyTxns,dailySwapVolumeToken0,dailySwapVolumeToken1,tvlUSD,mintsCount,burnsCount,swapsCount,token0To1Txs,token0To1VolumeUSD,token1To0Txs,token1To0VolumeUSD,GrossVolumeUSD
0,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,USDC,WETH,5064,712118700.936032,251865.459745981015407306,306939386.7542527492210345328032167,61.0,60.0,4942.0,2469.0,361013917.4530638,2473.0,350923931.64210653,711937849.0951703
1,0x4585fe77225b41b697c938b018e2ac67ac5a20c0,WBTC,WETH,733,5144.63670003,70273.698735685876967755,110129667.4332098525510319404269084,17.0,11.0,705.0,475.0,101116490.39933783,230.0,97705612.49777472,198822102.89711255
2,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,USDC,WETH,348,48851507.607523,17279.298923776585115294,399679290.3840825084988960556330263,28.0,26.0,294.0,148.0,26468170.800490335,146.0,22376037.4964305,48844208.296920836
3,0x3416cf6c708da44db2624d63ea0aaef7113527c6,USDC,USDT,465,41460342.541202,41462560.783548,218590610.41718,2.0,1.0,462.0,225.0,20910843.978112835,237.0,20550486.07126396,41461330.0493768
4,0x11b815efb8f581194ae79006d24e0d814b7697f6,WETH,USDT,1774,19836.55613054159161451,55490086.808556,50637111.57330447430277344736931095,5.0,1.0,1768.0,846.0,27663913.144335043,922.0,28138591.517096154,55802504.66143119
5,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,WETH,USDT,219,5805.337458930167185314,16408474.586649,192784203.5388559389691713108938515,8.0,6.0,205.0,100.0,7581853.965397352,105.0,8823477.976051366,16405331.941448718
6,0x5777d92f208679db4b9778590fa3cab3ac9e2168,DAI,USDC,179,11266744.376881933248102097,11266457.991644,321908083.198218795677615056,2.0,0.0,177.0,79.0,5806113.296385092,98.0,5460578.899603295,11266692.195988387
7,0xac4b3dacb91461209ae9d41ec517c2b9cb1b7daf,APE,WETH,2851,5656776.195843135365214361,31113.485879185857436722,42720556.31889437707016567526965233,130.0,119.0,2602.0,1616.0,45983730.44722574,986.0,42162475.98313742,88146206.43036316
8,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed,WBTC,WETH,163,804.66870476,10980.300723190492380287,354382740.1357025107456843080526805,18.0,23.0,122.0,87.0,19114798.434896663,35.0,12023329.011092424,31138127.445989087
9,0x99ac8ca7087fa4a2a1fb6357269965a2014abc35,WBTC,USDC,192,665.62923478,25738491.085989,128971437.5946199225269588565360191,2.0,2.0,188.0,115.0,12625899.707632843,73.0,13117449.342423555,25743349.050056398
10,0x4b5ab61593a2401b1075b90c04cbcdd3f87ce011,WETH,LOOKS,2162,23185.880492634700888164,38939545.164759533183970492,29267065.90827215974339748895428149,16.0,18.0,2127.0,1023.0,33115889.381382428,1104.0,32367735.14659783,65483624.52798025
11,0xc2e9f25be6257c210d7adf0d4cd6e3e881ba25f8,DAI,WETH,83,2204083.010562800285868817,779.615249633230009213,84981343.02668952268022355582440989,1.0,2.0,80.0,37.0,1177057.2191912804,43.0,1026866.5744579652,2203923.7936492455
12,0x60594a405d53811d3bc4766596efd80fd545a270,DAI,WETH,488,9714663.798811035210317669,3414.095546799084384246,25010369.60273409999045561014897955,0.0,0.0,488.0,250.0,4914164.206803396,238.0,4783843.986844668,9698008.193648065
13,0x7858e59e0c01ea06df3af3d20ac7b0003275d4bf,USDC,USDT,62,2410869.070402,2411247.435754,19483497.748827,2.0,0.0,60.0,33.0,1349547.7473099998,27.0,1061510.4294434472,2411058.176753447
14,0xc63b0708e2f7e69cb8a1df0e1389a98c35a76d52,FRAX,USDC,59,2437665.823698845276972652,2436414.35946,266295107.6777993545257796738215027,1.0,16.0,42.0,29.0,1544645.4030810003,13.0,891768.956379,2436414.3594600004
15,0x3730ecd0aa7eb9b35a4e89b032bef80a1a41aa7f,WBTC,renBTC,45,398.11438376,398.43071834,11217765.48190571042172663583836694,1.0,1.0,43.0,19.0,8864165.179458953,24.0,6514422.6409773715,15378587.820436325
16,0x9a834b70c07c81a9fcd6f22e842bf002fbffbe4d,FRAX,USDC,96,6143706.276160381872559764,6141186.309181,374082.0823881296757864160195136784,6.0,6.0,84.0,45.0,2967591.241722999,39.0,3173595.067458,6141186.309180999
17,0x69d91b94f0aaf8e8a2586909fa77a5c2c89818d5,HEX,USDC,372,26176905.54573421,4563544.087287,16996556.62365886852117659510233314,1.0,1.0,370.0,154.0,2023270.5721740003,216.0,2540273.5151130003,4563544.087287
18,0xa6cc3c2531fdaa6ae1a3ca84c2855806728693e8,LINK,WETH,121,459597.558275858992781559,1838.534638321528421661,19325368.60141682564181912370733087,2.0,6.0,113.0,63.0,2748781.461399061,50.0,2490028.0795789394,5238809.5409780005
19,0x9e0905249ceefffb9605e034b534544684a58be6,HEX,WETH,779,35027575.74608194,2167.384245381917240953,12270515.66936378617540251102827231,0.0,2.0,777.0,184.0,2785627.7647527047,593.0,3345415.1027254905,6131042.867478196
20,0xe05e653453f733786f2dabae0ffa1e96cfcc4b25,HEX,USDC,190,32697514.6173909,5658787.797372,24511482.07536059018450813255561059,2.0,8.0,180.0,46.0,1952356.1508159998,134.0,3706431.646556001,5658787.797372001
21,0x735a26a57a0a0069dfabd41595a970faf5e1ee8b,agEUR,USDC,31,1029787.394718232614586164,1081902.213811,22980652.42731018110874596490756665,0.0,0.0,31.0,19.0,611915.4623339999,12.0,469986.751477,1081902.2138109999
22,0xe8c6c9227491c0a8156a0106a0204d881bb7e531,MKR,WETH,64,768.9767024152374042,396.179028321980652369,13198378.28098037620203986084244221,1.0,0.0,63.0,25.0,485885.6402908318,38.0,634829.5695724259,1120715.2098632576
23,0x92560c178ce069cc014138ed3c2f5221ba71f58a,WETH,ENS,610,4096.261609976234926686,472470.051546518202229509,9187887.632509782269004162960750766,15.0,17.0,578.0,261.0,6005806.044730514,317.0,5607292.242465629,11613098.287196144
24,0x97e7d56a0408570ba1a7852de36350f7713906ec,DAI,FRAX,38,1154202.131557786904678826,1154215.261085060839637849,159299915.2374616436526763988746584,2.0,11.0,25.0,10.0,953403.5296114155,15.0,200797.63104466506,1154201.1606560806
25,0x9db9e0e53058c89e5b94e29621a205198648425b,WBTC,USDT,62,63.37177571,2449281.853828,15588638.53600748375339989359410337,0.0,0.0,62.0,34.0,1199056.8589070446,28.0,1250966.2400784951,2450023.0989855397
26,0xcb0c5d9d92f4f2f80cce7aa271a1e148c226e19d,RAI,DAI,19,2559240.783960610468702676,7719793.452045253304292759,20880853.87192726473942855425361656,1.0,1.0,17.0,11.0,7609674.628178653,6.0,110676.55706036049,7720351.185239014
27,0xc2a856c3aff2110c1171b8f942256d40e980c726,FRAX,USDT,28,865015.181078227366931792,864866.311266,8331538.948308436528505928761863797,0.0,0.0,28.0,12.0,236921.387294,16.0,627973.7040900671,864895.0913840671
28,0x6c6bc977e13df9b0de53b251522280bb72383700,DAI,USDC,24,733981.747525654186655147,733741.703894,56947076.210382577175814863,0.0,0.0,24.0,15.0,698270.0438275588,9.0,35591.559993074654,733861.6038206334
29,0x8f8ef111b67c04eb1641f5ff19ee54cda062f163,WBTC,PAX,33,42.47608025,1642208.168802080710597709,39165092.23662958566098519220694876,0.0,0.0,33.0,17.0,776463.6581719378,16.0,865969.3060998417,1642432.9642717796
30,0x16b70f44719b227278a2dc1122e8106cc929ecd1,WETH,LUNA,30,200.682421410674849882,6809.949061236605234406,8328687.243912914348570876080690035,0.0,0.0,30.0,17.0,306498.4202615154,13.0,256759.7445133898,563258.1647749052
31,0x8c54aa2a32a779e6f6fbea568ad85a19e0109c26,FEI,USDC,61,7838668.102009085106191133,7738715.599592,6458595.325781621157781019000000001,1.0,0.0,60.0,35.0,3778360.544350488,25.0,4011836.89950846,7790197.443858948
32,0xd83d78108dd0d1dffff11ea3f99871671a52488b,PAX,WETH,31,993945.376841244172053257,352.046582936778586978,23367850.78651100871221393038008618,0.0,0.0,31.0,14.0,546431.6043216984,17.0,447553.7325146036,993985.336836302
33,0xb07fe2f407f971125d4eb1977f8acee8846c7324,APE,USDC,412,320723.742962444451034857,4929023.631966,3993454.239183340598882827648430147,17.0,20.0,375.0,213.0,2505721.4598320015,162.0,2423302.172134,4929023.631966001
34,0x8db1b906d47dfc1d84a87fc49bd0522e285b98b9,agEUR,WETH,36,704705.494918990159037038,261.888286733017676967,11597949.83134551831017264290664353,0.0,0.0,36.0,17.0,399094.57694315305,19.0,341462.68063963664,740557.2575827898
35,0x9febc984504356225405e26833608b17719c82ae,1INCH,USDC,17,114392.505828921736756008,133710.173646,4095429.773112123306446743927692446,0.0,0.0,17.0,7.0,46859.85857326237,10.0,86492.65502477923,133352.5135980416
36,0x00cef0386ed94d738c8f8a74e8bfd0376926d24c,BUSD,USDC,17,1943804.311631426658315532,1944540.164808,23924832.64714085158496673445483915,0.0,0.0,17.0,5.0,16908.237059,12.0,1927631.9277489998,1944540.1648079997
