Date(UTC),UnixTimeStamp,Value (Wei),Value (GWei),Value (ETH),ETH Price (USD),Gas Fee USD
7/30/2015,1438214400,0,0.0,0.0,0.0,0.0
7/31/2015,1438300800,0,0.0,0.0,0.0,0.0
8/1/2015,1438387200,0,0.0,0.0,0.0,0.0
8/2/2015,1438473600,0,0.0,0.0,0.0,0.0
8/3/2015,1438560000,0,0.0,0.0,0.0,0.0
8/4/2015,1438646400,0,0.0,0.0,0.0,0.0
8/5/2015,1438732800,0,0.0,0.0,0.0,0.0
8/6/2015,1438819200,0,0.0,0.0,0.0,0.0
8/7/2015,1438905600,604684154870,604.68415487,6.046841548700001e-07,2.77,1.6749751089899e-06
8/8/2015,1438992000,322713574989,322.713574989,3.22713574989e-07,0.81,2.6139799574109e-07
8/9/2015,1439078400,475467129048,475.467129048,4.7546712904800006e-07,0.74,3.5184567549552004e-07
8/10/2015,1439164800,421654904254,421.65490425400003,4.2165490425400006e-07,0.68,2.8672533489272004e-07
8/11/2015,1439251200,77838819162,77.83881916200001,7.7838819162e-08,1.06,8.250914831172e-08
8/12/2015,1439337600,444902379011,444.90237901100005,4.44902379011e-07,1.25,5.5612797376375e-07
8/13/2015,1439424000,268683475202,268.683475202,2.68683475202e-07,1.78,4.7825658585956e-07
8/14/2015,1439510400,193455494453,193.455494453,1.9345549445300002e-07,1.8,3.4821989001540007e-07
8/15/2015,1439596800,144368937208,144.368937208,1.44368937208e-07,1.79,2.5842039760232e-07
8/16/2015,1439683200,120940093311,120.94009331100001,1.2094009331100002e-07,1.37,1.6568792783607003e-07
8/17/2015,1439769600,132149993345,132.149993345,1.3214999334500002e-07,1.2,1.58579992014e-07
8/18/2015,1439856000,146513014268,146.513014268,1.4651301426800001e-07,1.27,1.8607152812036003e-07
8/19/2015,1439942400,194583349948,194.583349948,1.9458334994800003e-07,1.26,2.4517502093448e-07
8/20/2015,1440028800,99011782801,99.01178280100001,9.9011782801e-08,1.48,1.4653743854548002e-07
8/21/2015,1440115200,79543407701,79.543407701,7.9543407701e-08,1.44,1.1454250708944e-07
8/22/2015,1440201600,552841333007,552.841333007,5.52841333007e-07,1.39,7.6844945287973e-07
8/23/2015,1440288000,73439482806,73.439482806,7.3439482806e-08,1.35,9.91433017881e-08
