,ctoken_symbol,date,total_supply,total_borrow
0,ETH,2021/1/1,711654865.8,17556741.29
1,ETH,2021/1/2,716355597.4,15819199.77
2,ETH,2021/1/3,748778204.5,15515663.18
3,ETH,2021/1/4,741202947.2,15304215.81
4,ETH,2021/1/5,721918320.3,14954386.05
5,ETH,2021/1/6,696526292.6,17033624.09
6,ETH,2021/1/7,709751666.6,19308026.65
7,ETH,2021/1/8,673223031.6,17589479.58
8,ETH,2021/1/9,693954582.1,18706925.05
9,ETH,2021/1/10,708681284,19064766.64
10,ETH,2021/1/11,738456498.4,20645989.17
11,ETH,2021/1/12,803463149.9,18836641.43
12,ETH,2021/1/13,817476498.3,20743605.56
13,ETH,2021/1/14,808366846.3,28989075.06
14,ETH,2021/1/15,844388992.5,28557810.28
15,ETH,2021/1/16,807240425.1,28589915.41
16,ETH,2021/1/17,829993018.3,28049704.93
17,ETH,2021/1/18,919873691,31640492.54
18,ETH,2021/1/19,1134231793,36696877.04
19,ETH,2021/1/20,1068685990,37654661.49
20,ETH,2021/1/21,1147036354,40990099.3
21,ETH,2021/1/22,1223374856,38509489.8
22,ETH,2021/1/23,1199895529,53893059.73
23,ETH,2021/1/24,1201796213,55778850.5
24,ETH,2021/1/25,1237346064,58594958.22
25,ETH,2021/1/26,1042824301,46115761.1
26,ETH,2021/1/27,1078084597,62795366.32
27,ETH,2021/1/28,1055843487,62577538.44
28,ETH,2021/1/29,1184140484,98598725.69
29,ETH,2021/1/30,1293773905,141388860.4
30,ETH,2021/1/31,1361178812,145649420.7
31,ETH,2021/2/1,1394224567,153768265.2
32,ETH,2021/2/2,1386819265,142526142.8
33,ETH,2021/2/3,1545385090,123017658.9
34,ETH,2021/2/4,1509569962,107147373.6
35,ETH,2021/2/5,1442773535,86071270.35
36,ETH,2021/2/6,1286335593,76578147.03
37,ETH,2021/2/7,1385948528,83856442.02
38,ETH,2021/2/8,1450494978,88506856.28
39,ETH,2021/2/9,1563062388,96247269.82
40,ETH,2021/2/10,1501744627,98275958.89
41,ETH,2021/2/11,1520366832,99163983.14
42,ETH,2021/2/12,1538134194,74697469.22
43,ETH,2021/2/13,1618445890,90992237.41
44,ETH,2021/2/14,1644576567,87677160.17
45,ETH,2021/2/15,1646537303,87757533
46,ETH,2021/2/16,1624437406,84802097.63
47,ETH,2021/2/17,1778921645,86729384.34
48,ETH,2021/2/18,1974262360,93312608.6
49,ETH,2021/2/19,2125190790,104393032.5
50,ETH,2021/2/20,2284800502,121893793.9
51,ETH,2021/2/21,2302211940,127207140.1
52,ETH,2021/2/22,2157144995,130396696.8
53,ETH,2021/2/23,2267625852,141692435.1
54,ETH,2021/2/24,2342443029,174610050.9
55,ETH,2021/2/25,2380192294,193627405.4
56,ETH,2021/2/26,2409048548,207724070.9
57,ETH,2021/2/27,2345681242,196550997.7
58,ETH,2021/2/28,2378111008,195947454.8
59,ETH,2021/3/1,2326963533,182379989.9
60,ETH,2021/3/2,2325489519,171658726.3
61,ETH,2021/3/3,2347694579,174746589.9
62,ETH,2021/3/4,2462603766,180854510.6
63,ETH,2021/3/5,2622858009,204613242.8
64,ETH,2021/3/6,2619493732,208979781.4
65,ETH,2021/3/7,2594640927,211420857.1
66,ETH,2021/3/8,2534741698,211417350.7
67,ETH,2021/3/9,2194578858,187085949.6
68,ETH,2021/3/10,1902286583,167529083.7
69,ETH,2021/3/11,2034672783,188088362.3
70,ETH,2021/3/12,1883112934,180092572.3
71,ETH,2021/3/13,1752417521,183197952.6
72,ETH,2021/3/14,1635544707,182560336.5
73,ETH,2021/3/15,1604123138,180146524.2
74,ETH,2021/3/16,1821188892,199728469.6
75,ETH,2021/3/17,1889857215,201046619.3
76,ETH,2021/3/18,1997103496,207757743
77,ETH,2021/3/19,1928698568,199075259.6
78,ETH,2021/3/20,1903185650,191265008.2
79,ETH,2021/3/21,2058614679,200766021.3
80,ETH,2021/3/22,2349819379,198094724.9
81,ETH,2021/3/23,2499765667,211075014.5
82,ETH,2021/3/24,2547177421,210601915.6
83,ETH,2021/3/25,2497542884,205789415.1
84,ETH,2021/3/26,2508664264,204051997.2
85,ETH,2021/3/27,2342035135,200270402.7
86,ETH,2021/3/28,2567538340,216546649.8
87,ETH,2021/3/29,2544904975,215884351.6
88,ETH,2021/3/30,2424927130,206215748.6
89,ETH,2021/3/31,2576262216,213529341.3
