,ctoken_symbol,date,total_supply,total_borrow
0,UNI,2021/1/1,57780259.8,9369734.466
1,UNI,2021/1/2,60561624.92,9857527.409
2,UNI,2021/1/3,57015605.47,8929086.96
3,UNI,2021/1/4,57919833.75,8603910.28
4,UNI,2021/1/5,53922777.83,8063781.922
5,UNI,2021/1/6,49836636.18,7502398.847
6,UNI,2021/1/7,52297093.22,7711581.867
7,UNI,2021/1/8,48222501.93,7051114.25
8,UNI,2021/1/9,50154481.72,8136365.814
9,UNI,2021/1/10,50830166.6,8345749.491
10,UNI,2021/1/11,50192723.74,8282964.312
11,UNI,2021/1/12,55108625.83,8867787.532
12,UNI,2021/1/13,52974672.83,8839392.028
13,UNI,2021/1/14,51600136.92,8747548.465
14,UNI,2021/1/15,60796385.8,10409991.44
15,UNI,2021/1/16,69251095.86,12052313.39
16,UNI,2021/1/17,64225950.45,11368976.62
17,UNI,2021/1/18,66548009.27,12014260.55
18,UNI,2021/1/19,73027282.37,13063521.72
19,UNI,2021/1/20,72078854.18,13169548.26
20,UNI,2021/1/21,79746593.4,15001166.83
21,UNI,2021/1/22,83949465.92,15182888.6
22,UNI,2021/1/23,81511350.51,14661191.73
23,UNI,2021/1/24,79386101.17,14297822.77
24,UNI,2021/1/25,82017241.27,14930286.03
25,UNI,2021/1/26,68423891.16,12533591.63
26,UNI,2021/1/27,66621373.11,12321057.04
27,UNI,2021/1/28,72651599.66,13547531.04
28,UNI,2021/1/29,81095452.93,15283449.19
29,UNI,2021/1/30,83776907.62,16651492.66
30,UNI,2021/1/31,87880973.38,17384376.93
31,UNI,2021/2/1,97581493.72,17743204.02
32,UNI,2021/2/2,94218971.32,16811701.92
33,UNI,2021/2/3,96034267.83,15287606.47
34,UNI,2021/2/4,86721315.7,13811470.74
35,UNI,2021/2/5,86927522.24,13698742.66
36,UNI,2021/2/6,83520655.96,11422351.47
37,UNI,2021/2/7,96132525.37,8012591.965
38,UNI,2021/2/8,111230640,7078912.398
39,UNI,2021/2/9,128592225,8186752.643
40,UNI,2021/2/10,130396596.9,9043148.322
41,UNI,2021/2/11,145086392.5,11620461.89
42,UNI,2021/2/12,139539309.5,10998376.49
43,UNI,2021/2/13,141694269.8,10308808.44
44,UNI,2021/2/14,154969731,11069069.46
45,UNI,2021/2/15,183166599.7,12147273.88
46,UNI,2021/2/16,180580711,11239260.83
