,ctoken_symbol,date,total_supply,total_borrow
0,WBTC,2021/1/1,533985028.2,20371280.97
1,WBTC,2021/1/2,589685004.7,18940029.62
2,WBTC,2021/1/3,599360564.5,17309892.22
3,WBTC,2021/1/4,665347915.5,16982448.84
4,WBTC,2021/1/5,699777954.5,16761507
5,WBTC,2021/1/6,677703709.8,14998349.69
6,WBTC,2021/1/7,697442274.1,12754616.96
7,WBTC,2021/1/8,692630539.6,12522534.48
8,WBTC,2021/1/9,708945782.8,12998543.45
9,WBTC,2021/1/10,746753004,13439190.98
10,WBTC,2021/1/11,816410066.1,13888123.38
11,WBTC,2021/1/12,841100837.6,13848218.59
12,WBTC,2021/1/13,844779946.3,13353957.04
13,WBTC,2021/1/14,863100629.5,9993490.695
14,WBTC,2021/1/15,808484374.7,10066577.97
15,WBTC,2021/1/16,787545507.8,15742510.37
16,WBTC,2021/1/17,804355679.1,17114027.39
17,WBTC,2021/1/18,889811543.2,20668922.67
18,WBTC,2021/1/19,875726457.1,22089791.32
19,WBTC,2021/1/20,839223191.9,21256288.98
20,WBTC,2021/1/21,909792556.1,24025761.4
21,WBTC,2021/1/22,978988273.2,30613344.11
22,WBTC,2021/1/23,1006283546,34679345.84
23,WBTC,2021/1/24,1025453486,39423194.41
24,WBTC,2021/1/25,1095118143,38961940.86
25,WBTC,2021/1/26,983189870.6,34694029.74
26,WBTC,2021/1/27,923461949,31597475.21
27,WBTC,2021/1/28,978411814.9,33092969.59
28,WBTC,2021/1/29,1059729228,50952436.75
29,WBTC,2021/1/30,1253465675,79845467.15
30,WBTC,2021/1/31,1269995281,79776576.97
31,WBTC,2021/2/1,1243960025,78480616.89
32,WBTC,2021/2/2,1238196898,77844228.59
33,WBTC,2021/2/3,1257571460,77747788.19
34,WBTC,2021/2/4,1256898853,80123145.22
35,WBTC,2021/2/5,1173397542,81455676.04
36,WBTC,2021/2/6,1072520423,72935222.6
37,WBTC,2021/2/7,1116012698,72558021.06
38,WBTC,2021/2/8,1105864524,70515762.15
39,WBTC,2021/2/9,1114555076,74606131.93
40,WBTC,2021/2/10,1100376267,82700110.57
41,WBTC,2021/2/11,1055470874,84536435.59
42,WBTC,2021/2/12,1040101405,96226921.74
43,WBTC,2021/2/13,1146822356,101525184.1
44,WBTC,2021/2/14,1133812789,100630916.7
45,WBTC,2021/2/15,1114256357,97807914.36
46,WBTC,2021/2/16,1098787445,96772907.36
47,WBTC,2021/2/17,1123430983,96800743.72
48,WBTC,2021/2/18,1193200038,103905971.1
49,WBTC,2021/2/19,1211493514,112788898.7
50,WBTC,2021/2/20,1152093756,118655468.8
51,WBTC,2021/2/21,1189786640,126266881
52,WBTC,2021/2/22,1242991079,129307448.3
53,WBTC,2021/2/23,1295798864,136050887.5
54,WBTC,2021/2/24,1513718935,154923314.4
55,WBTC,2021/2/25,1546308718,177758492.7
56,WBTC,2021/2/26,1543804607,177285831.2
57,WBTC,2021/2/27,1665339039,186639083.2
58,WBTC,2021/2/28,1678974350,181734473.2
59,WBTC,2021/3/1,1740648443,192728739.6
60,WBTC,2021/3/2,1722564098,184391319.1
61,WBTC,2021/3/3,1766812981,189529971.3
62,WBTC,2021/3/4,1836675468,196286909.1
63,WBTC,2021/3/5,1935212016,201432917.3
64,WBTC,2021/3/6,2015866875,202376698.5
65,WBTC,2021/3/7,2112326812,191478609.6
66,WBTC,2021/3/8,2150096718,193165070.8
67,WBTC,2021/3/9,2004183417,177354003
68,WBTC,2021/3/10,1860777084,142217790.3
69,WBTC,2021/3/11,1931647215,127415427.6
70,WBTC,2021/3/12,1974419748,127892594.7
71,WBTC,2021/3/13,1892722509,119253094.3
72,WBTC,2021/3/14,1876365367,119814520.6
73,WBTC,2021/3/15,1808282731,115284874.1
74,WBTC,2021/3/16,1999030507,128938362.6
75,WBTC,2021/3/17,2017442936,131093441.8
76,WBTC,2021/3/18,2145333124,141127555.1
77,WBTC,2021/3/19,2105729123,137190707.2
78,WBTC,2021/3/20,2069314608,134786864.9
79,WBTC,2021/3/21,2059580263,130109868
80,WBTC,2021/3/22,1922610401,144518818.3
81,WBTC,2021/3/23,1897082095,147293598.5
82,WBTC,2021/3/24,2092437485,155371872.5
83,WBTC,2021/3/25,2156616849,155699022.7
84,WBTC,2021/3/26,2216075378,158105147.5
85,WBTC,2021/3/27,2352976830,157045951.3
86,WBTC,2021/3/28,2600464305,161486142
87,WBTC,2021/3/29,2646952525,158614719.4
88,WBTC,2021/3/30,2508353114,147090604.1
89,WBTC,2021/3/31,2552186183,146403805.1
