,Date,USDC,WETH,DAI,WBTC,USDT,FRAX,PAX,agEUR,APE,1INCH,BUSD,FEI,HEX,RAI,LOOKS,renBTC,MKR,LINK,ETH2x-FLI,MATIC,TUSD,EURS,CRV,NEXO,FUN,ENS,LUNA,MIM,LUSD
1577836800,2020-01-01,522027683.379936,339841692.9497658,41778474.810325526,0.0,4285941694.738991,,224290632.87170964,,,,0.0,,0.0,,,,322805962.3383096,642831294.1851845,,35068663.17398264,154493229.38448516,13650959.304754356,,52994359.77866863,19205392.919859346,,,,
1577923200,2020-01-02,520207772.344799,345248324.1251451,41083185.19094878,0.0,4286266485.3207355,,224386802.08228377,,,,0.0,,0.0,,,,324480260.4274398,655669181.6774739,,38011240.15404401,154082937.39887038,13665708.371336324,,54752703.470901616,19895980.65049288,,,,
1578009600,2020-01-03,519915525.6515283,337337967.535921,41278022.173959784,0.0,4288898575.229704,,220958572.2167728,,,,0.0,,0.0,,,,315145005.69186324,629751037.8156166,,37320199.772793815,153297372.68971577,13496549.073849738,,58517673.38242344,19612845.591708887,,,,
1578096000,2020-01-04,518840356.23984027,354741643.11194354,42581602.14223324,0.0,4283023028.1804905,,253008963.8360545,,,,0.0,,0.0,,,,326456203.29555905,656372180.7269595,,38504502.59961709,153093392.92470843,13724186.426960416,,60036725.33782067,19949847.598268468,,,,
1578182400,2020-01-05,518952465.89391094,357249009.3759268,41388590.59059867,0.0,4287220840.862627,,252869984.79884532,,,,0.0,,0.0,,,,327300232.1783969,664597338.4569734,,37828678.669587284,152920212.57280698,13676819.019215325,,63394724.86063584,19195156.49117529,,,,
1578268800,2020-01-06,517973272.0167182,361415432.6520301,41935818.1392408,0.0,4281391701.4349484,,252136012.08988726,,,,0.0,,0.0,,,,329966258.621729,653162854.2100824,,37675740.26234727,153049438.20571852,13613383.572712922,,64451158.91663533,19273847.73437897,,,,
1578355200,2020-01-07,513964830.89622414,397646388.6493585,44894739.590651274,0.0,4285344128.9621105,,258232148.3920092,,,,0.0,,0.0,,,,407648459.7250252,703925442.590378,,39538911.01233434,151923773.4777406,13768643.85513044,,64188626.104550764,18408326.834890194,,,,
1578441600,2020-01-08,490317289.1346477,389380522.39749724,47168618.15644877,0.0,4279309316.940058,,263820198.5119411,,,,0.0,,0.0,,,,410397782.69950545,768060265.9578564,,38397277.41098742,152512802.5773244,13699806.835536726,,64916275.2778,18046792.04089244,,,,
1578528000,2020-01-09,469784290.45929223,381873973.44820744,46123776.55402997,0.0,4273984481.0242386,,264548823.85612738,,,,0.0,,0.0,,,,424670112.0437115,798009538.3826036,,38115516.091299884,147372490.5776224,13644389.880314598,,66742668.23118788,17184693.478883374,,,,
1578614400,2020-01-10,461732414.6320353,373661062.4839939,46010555.08001339,0.0,4286942072.2085485,,258832836.44444355,,,,0.0,,0.0,,,,412767823.8208375,787237818.2197368,,37035918.66985768,147600129.3062421,13496493.759520764,,60760761.12713272,16577020.081922827,,,,
1578700800,2020-01-11,458520665.0113552,396269658.7285604,83329194.30009556,0.0,4288341143.272189,,243814970.37252587,,,,0.0,,0.0,,,,424203860.46018326,805447289.5153706,,37892097.781866245,148826142.44763348,13590936.66358833,,66373058.58715087,17030391.267146215,,,,
1578787200,2020-01-12,448892629.9786288,406828720.9082121,83101741.42074405,0.0,4273319340.088697,,242458147.1620482,,,,0.0,,0.0,,,,420953813.0182962,830844190.3032361,,37682542.76100747,148721445.21583477,13494039.197682993,,65932573.97732432,16815039.567115776,,,,
1578873600,2020-01-13,449197501.3252703,394299002.7050917,84458742.08336683,0.0,4281347849.5961967,,243231020.29468504,,,,0.0,,0.0,,,,432365098.12668896,814937707.1344396,,38163919.757122084,149546791.41345462,13688203.248125969,,66118176.610128514,17124683.648866113,,,,
1578960000,2020-01-14,447171709.5100277,405540686.0624494,85495814.02138372,0.0,4282360329.8870263,,231533378.71021575,,,,0.0,,0.0,,,,426659154.569744,797724515.1996096,,39440577.58129959,146951507.61644447,13623954.240695372,,61938211.1380717,16979880.23230322,,,,
1579046400,2020-01-15,432020884.2093037,456121000.06008446,87284468.50076805,0.0,4278526948.1391935,,230837508.9683265,,,,0.0,,0.0,,,,465468269.9565415,870385515.5415603,,39982532.44294859,148746625.18303737,13823422.32450322,,63100003.325842656,16886745.992955226,,,,
1579132800,2020-01-16,452134110.28727376,455292305.10652256,87663675.27361801,0.0,4286133433.3041477,,224189843.23543146,,,,0.0,,0.0,,,,460518812.59096575,878926256.9747216,,41523507.35281311,147923326.37166846,13719780.93722474,,58326619.08151515,17570093.646851815,,,,
1579219200,2020-01-17,448456801.4371989,452682124.92941827,89222338.63485347,0.0,4277820757.819113,,231968609.65229988,,,,0.0,,0.0,,,,458912349.3695215,901491013.3579563,,40941909.40919569,147769567.71846753,13614306.415285328,,58728823.56317987,17704602.42483621,,,,
1579305600,2020-01-18,444757303.0433652,469526066.4709739,94452683.0623559,0.0,4279860809.687358,,223299826.83971184,,,,0.0,,0.0,,,,449279749.8261233,993157401.7783618,,47628917.29238809,145380071.15695277,13462261.314807173,,60025832.02832004,18134549.536063544,,,,
1579392000,2020-01-19,444284972.3799664,482758163.18963516,95750977.341536,0.0,4277817641.5174227,,222758660.05878526,,,,0.0,,0.0,,,,450011554.2811253,1007699933.7445284,,44610905.40869991,143902110.7770515,13564850.79503423,,61090502.824945495,17846648.872977387,,,,
1579478400,2020-01-20,444638589.319839,461926406.77175176,96638682.17044407,0.0,4282607058.0138593,,222423548.7856429,,,,0.0,,0.0,,,,440095407.46140355,949708138.0089742,,41810647.11725848,143248334.66361985,13628313.14891538,,61567529.135778815,17338856.127132293,,,,
1579564800,2020-01-21,444694131.16606486,464686108.9409212,97204215.87515491,0.0,4281327773.24018,,218832018.67569417,,,,0.0,,0.0,,,,421001671.7865249,984546189.3804537,,42870541.86605427,141967604.51531297,13537106.531147508,,60617980.690797426,17341167.776719134,,,,
1579651200,2020-01-22,447471889.2737792,472487012.06349313,98675239.9516217,0.0,4283473427.904655,,214670948.24850547,,,,0.0,,0.0,,,,422521358.37322253,973758357.7209194,,43743073.2884867,139185109.33074367,13621294.87730121,,59422845.70748637,17443990.725314192,,,,
1579737600,2020-01-23,458243977.46829826,470882997.6510509,99973323.17849432,0.0,4282886404.333369,,210676947.49584222,,,,0.0,,0.0,,,,413888750.1543549,961746875.4150294,,43316561.90108072,138995849.6855618,13519150.696425654,,59372253.494091734,17489833.298731957,,,,
1579824000,2020-01-24,449166379.97517234,452113495.50401306,100642563.13049892,0.0,4279582980.171292,,210884601.24127558,,,,0.0,,0.0,,,,408040999.4949712,892966198.3583041,,40575187.77166181,138758580.89302963,13529639.365905916,,55797415.89224072,17273208.447939225,,,,
1579910400,2020-01-25,449600265.5833716,460493045.25652075,101217363.23020501,0.0,4289750200.54091,,210160811.85621506,,,,0.0,,0.0,,,,404566332.6140724,909159164.7127994,,41302367.598349854,139386643.65409422,13502883.77818802,,56476571.29366841,17020933.47509856,,,,
1579996800,2020-01-26,449476884.2306004,455814059.2973744,101589117.75428417,0.0,4283647990.5767603,,209888404.4489298,,,,0.0,,0.0,,,,397852766.3045136,894193175.1944978,,40978710.86870121,139368863.5316796,13436117.87505166,,57290529.61039948,17977498.03297157,,,,
1580083200,2020-01-27,449139167.0478376,470677207.49490577,102572368.28320919,0.0,4285728293.985232,,209618595.3326157,,,,0.0,,0.0,,,,415252833.07654715,934829742.3887025,,42113887.1059709,138978462.78582704,13651695.609204523,,61086796.028372705,17807082.430320553,,,,
1580169600,2020-01-28,445977554.67270446,477316435.44877267,103533895.38618834,0.0,4277424753.5497913,,207784201.84581083,,,,0.0,,0.0,,,,420372154.5911736,946362287.0340769,,43018843.83478418,140430820.36411223,13522575.011100931,,66530575.63976764,17682009.675095543,,,,
1580256000,2020-01-29,446882008.2728506,501592620.7164033,105889812.14565243,0.0,4295159219.365079,,214911442.74209487,,,,0.0,,0.0,,,,460929247.77521515,961947524.2330085,,43794885.866147675,141176783.40878746,13670599.661084004,,72351353.30699828,17764932.943678714,,,,
1580342400,2020-01-30,447850721.2904782,493909750.35096484,105739484.00904961,0.0,4276714293.7678623,,218485622.9637291,,,,0.0,,0.0,,,,452833391.0645525,1012252030.556089,,43730726.77674934,140100905.7888701,13499889.329830846,,76763987.39831965,17153285.40690622,,,,
1580428800,2020-01-31,442466920.59014815,523633891.94506377,107294604.3455077,0.0,4277899662.966756,,227412473.2111063,,,,0.0,,0.0,,,,473028980.94679004,1056105950.9917876,,47421676.72873795,135166745.75659946,13557850.66132473,,80728001.41597144,17087539.857139,,,,
1580515200,2020-02-01,440802894.1427316,500685196.0347533,107092084.61306506,0.0,4277278307.8863506,,226247373.46557915,,,,0.0,,0.0,,,,472944596.7545656,1031143795.5343443,,45898827.53726381,135676761.068488,13463941.621007496,,81118558.44931477,17530511.20522818,,,,
1580601600,2020-02-02,438558615.1972161,510209088.4764948,107414287.24037214,0.0,4279297792.444087,,225781577.72404188,,,,0.0,,0.0,,,,479006349.4651579,1028514307.8978875,,46751819.92503717,136783356.4225923,13519413.735873232,,85822326.69368364,17419409.560240038,,,,
1580688000,2020-02-03,438330505.30361515,517393706.27808285,106714941.97582336,0.0,4285631681.8754773,,226474556.94627896,,,,0.0,,0.0,,,,480355108.1979954,1030250570.9954115,,49048838.80978084,136070504.06608585,13504002.084716044,,90394567.45096146,17713415.7119405,,,,
