,day,symbol,deposit,borrow
0,2022-07-27T00:00:00+00:00,DAI,276854862.91367495,58105298.59716147
1,2022-07-26T00:00:00+00:00,DAI,277063960.95897317,58401100.60858541
2,2022-07-25T00:00:00+00:00,DAI,277342548.16580874,57695846.897147566
3,2022-07-24T00:00:00+00:00,DAI,277118490.63383156,54872023.7514615
4,2022-07-23T00:00:00+00:00,DAI,277102400.7112685,54863009.751782335
5,2022-07-22T00:00:00+00:00,DAI,276425215.94975275,54573239.51258739
6,2022-07-21T00:00:00+00:00,DAI,285519337.29493535,54847125.52052696
7,2022-07-20T00:00:00+00:00,DAI,285560454.85900736,54883058.72225119
8,2022-07-19T00:00:00+00:00,DAI,281653131.36312,53461788.50307094
9,2022-07-18T00:00:00+00:00,DAI,271117215.68369836,53226921.31414922
10,2022-07-17T00:00:00+00:00,DAI,280866453.6858116,52879213.66906517
11,2022-07-16T00:00:00+00:00,DAI,271203910.34972495,52784601.90491564
12,2022-07-15T00:00:00+00:00,DAI,274850603.7250164,53987432.51562785
13,2022-07-14T00:00:00+00:00,DAI,273954118.92776597,54236225.87928443
14,2022-07-13T00:00:00+00:00,DAI,273722641.60482466,54296900.28163741
15,2022-07-12T00:00:00+00:00,DAI,274058639.60112,54892993.325944535
16,2022-07-11T00:00:00+00:00,DAI,272581380.104916,55950141.73470938
17,2022-07-10T00:00:00+00:00,DAI,273623467.93760055,55664118.451589
18,2022-07-09T00:00:00+00:00,DAI,274139517.71272177,54459917.0432786
19,2022-07-08T00:00:00+00:00,DAI,271659955.6510475,54041740.211896665
20,2022-07-07T00:00:00+00:00,DAI,269567330.41502327,70260150.6425004
21,2022-07-06T00:00:00+00:00,DAI,273381787.22929734,78917435.35989536
22,2022-07-05T00:00:00+00:00,DAI,273866380.5115618,79049641.03131539
23,2022-07-04T00:00:00+00:00,DAI,276341897.9293831,79108569.96179438
24,2022-07-03T00:00:00+00:00,DAI,267248900.2431558,78706608.78182971
