node,date,betweenness_centrality_count,betweenness_centrality_volume
WETH,2020/5/18,0,0
DAI,2020/5/18,0,0
WBTC,2020/5/18,0,0
MKR,2020/5/18,0,0
LINK,2020/5/18,0,0
USDC,2020/5/18,0,0
RPL,2020/5/18,0,0
WETH,2020/5/19,0.033259424,0.034489025
WBTC,2020/5/19,0,0
USDC,2020/5/19,0,0
DAI,2020/5/19,0,0
RPL,2020/5/19,0,0
REP,2020/5/19,0,0
LINK,2020/5/19,0,0
MKR,2020/5/19,0,0
WETH,2020/5/20,0.059340659,0.04464724
DAI,2020/5/20,0,0
USDC,2020/5/20,0,0
WBTC,2020/5/20,0,0
RPL,2020/5/20,0,0
LINK,2020/5/20,0,0
MKR,2020/5/20,0,0
REP,2020/5/20,0,0
WETH,2020/5/21,0.075098814,0.05252672
WBTC,2020/5/21,0,0
DAI,2020/5/21,0,0
REP,2020/5/21,0,0
USDC,2020/5/21,0,0
RPL,2020/5/21,0,0
LINK,2020/5/21,0,0
MKR,2020/5/21,0,0
WETH,2020/5/22,0.053781513,0.068853816
USDC,2020/5/22,0,0
MKR,2020/5/22,0,0
WBTC,2020/5/22,0,0
DAI,2020/5/22,0,0
LINK,2020/5/22,0,0
RPL,2020/5/22,0,0
REP,2020/5/22,0,0
WETH,2020/5/23,0.029106029,0.01311485
USDC,2020/5/23,0,0
DAI,2020/5/23,0,0
REP,2020/5/23,0,0
LINK,2020/5/23,0,0
RPL,2020/5/23,0,0
WBTC,2020/5/23,0,0
MKR,2020/5/23,0,0
WETH,2020/5/24,0.043181818,0.012880698
REP,2020/5/24,0,0
WBTC,2020/5/24,0,0
USDC,2020/5/24,0,0
RPL,2020/5/24,0,0
DAI,2020/5/24,0,0
LINK,2020/5/24,0,0
MKR,2020/5/24,0,0
WETH,2020/5/25,0.050531915,0.022971796
DAI,2020/5/25,0,0
USDC,2020/5/25,0,0
LINK,2020/5/25,0,0
WBTC,2020/5/25,0,0
RPL,2020/5/25,0,0
MKR,2020/5/25,0,0
REP,2020/5/25,0,0
WETH,2020/5/26,0.055825243,0.017914632
RPL,2020/5/26,0,0
LINK,2020/5/26,0,0
USDC,2020/5/26,0,0
WBTC,2020/5/26,0,0
DAI,2020/5/26,0,0
MKR,2020/5/26,0,0
REP,2020/5/26,0,0
WETH,2020/5/27,0.047029703,0.02037206
USDC,2020/5/27,0,0
DAI,2020/5/27,0,0
REP,2020/5/27,0,0
LINK,2020/5/27,0,0
RPL,2020/5/27,0,0
WBTC,2020/5/27,0,0
MKR,2020/5/27,0,0
WETH,2020/5/28,0.046210721,0.027874409
USDC,2020/5/28,0,0
DAI,2020/5/28,0,0
REP,2020/5/28,0,0
RPL,2020/5/28,0,0
WBTC,2020/5/28,0,0
MKR,2020/5/28,0,0
LINK,2020/5/28,0,0
WETH,2020/5/29,0.05743509,0.028328647
USDC,2020/5/29,0.002360346,0.000602808
DAI,2020/5/29,0,0
WBTC,2020/5/29,0,0
REP,2020/5/29,0,0
RPL,2020/5/29,0,0
LINK,2020/5/29,0,0
MKR,2020/5/29,0,0
sXAU,2020/5/29,0,0
WETH,2020/5/30,0.066666667,0.047075655
USDC,2020/5/30,0.001932367,0.000208697
WBTC,2020/5/30,0,0
REP,2020/5/30,0,0
LINK,2020/5/30,0,0
RPL,2020/5/30,0,0
DAI,2020/5/30,0,0
MKR,2020/5/30,0,0
sXAU,2020/5/30,0,0
WETH,2020/5/31,0.062730627,0.084180684
USDC,2020/5/31,0.002460025,0.000507657
DAI,2020/5/31,0,0
RPL,2020/5/31,0,0
MKR,2020/5/31,0,0
LINK,2020/5/31,0,0
WBTC,2020/5/31,0,0
REP,2020/5/31,0,0
sXAU,2020/5/31,0,0
WETH,2020/6/1,0.077046549,0.034035605
USDC,2020/6/1,0.026484751,0.005136282
DZAR,2020/6/1,0.000802568,0.000122819
USDT,2020/6/1,0,0
REN,2020/6/1,0,0
ANT,2020/6/1,0,0
UMA,2020/6/1,0,0
REP,2020/6/1,0,0
LEND,2020/6/1,0,0
sXAU,2020/6/1,0,0
WBTC,2020/6/1,0,0
LINK,2020/6/1,0,0
BAT,2020/6/1,0,0
UBT,2020/6/1,0,0
MKR,2020/6/1,0,0
RPL,2020/6/1,0,0
DAI,2020/6/1,0,0
KNC,2020/6/1,0,0
LRC,2020/6/1,0,0
WETH,2020/6/2,0.081740277,0.066126677
USDC,2020/6/2,0.02966381,0.006258435
WBTC,2020/6/2,0,0
REP,2020/6/2,0,0
USDT,2020/6/2,0,0
sXAU,2020/6/2,0,0
DZAR,2020/6/2,0,0
ANT,2020/6/2,0,0
LRC,2020/6/2,0,0
LINK,2020/6/2,0,0
LEND,2020/6/2,0,0
REN,2020/6/2,0,0
BAT,2020/6/2,0,0
AMPL,2020/6/2,0,0
DAI,2020/6/2,0,0
RPL,2020/6/2,0,0
MKR,2020/6/2,0,0
UBT,2020/6/2,0,0
KNC,2020/6/2,0,0
WETH,2020/6/3,0.06554473,0.029781003
USDC,2020/6/3,0.020372011,0.007652936
DZAR,2020/6/3,0.00088574,0.00032736
DAI,2020/6/3,0,0
LEND,2020/6/3,0,0
ANT,2020/6/3,0,0
sXAU,2020/6/3,0,0
LRC,2020/6/3,0,0
USDT,2020/6/3,0,0
UMA,2020/6/3,0,0
KNC,2020/6/3,0,0
BAT,2020/6/3,0,0
REP,2020/6/3,0,0
WBTC,2020/6/3,0,0
LINK,2020/6/3,0,0
MKR,2020/6/3,0,0
REN,2020/6/3,0,0
UBT,2020/6/3,0,0
RPL,2020/6/3,0,0
AMPL,2020/6/3,0,0
WETH,2020/6/4,0.058669002,0.027830832
USDC,2020/6/4,0.022767075,0.005361705
DAI,2020/6/4,0,0
WBTC,2020/6/4,0,0
ANT,2020/6/4,0,0
LEND,2020/6/4,0,0
AMPL,2020/6/4,0,0
sXAU,2020/6/4,0,0
DZAR,2020/6/4,0,0
USDT,2020/6/4,0,0
BAT,2020/6/4,0,0
REP,2020/6/4,0,0
REN,2020/6/4,0,0
UBT,2020/6/4,0,0
KNC,2020/6/4,0,0
RPL,2020/6/4,0,0
MKR,2020/6/4,0,0
LRC,2020/6/4,0,0
LINK,2020/6/4,0,0
UMA,2020/6/4,0,0
WETH,2020/6/5,0.048343778,0.027091997
USDC,2020/6/5,0.025067144,0.004914003
DAI,2020/6/5,0,0
KNC,2020/6/5,0,0
ANT,2020/6/5,0,0
LEND,2020/6/5,0,0
DZAR,2020/6/5,0,0
LRC,2020/6/5,0,0
WBTC,2020/6/5,0,0
sXAU,2020/6/5,0,0
LINK,2020/6/5,0,0
RPL,2020/6/5,0,0
USDT,2020/6/5,0,0
REN,2020/6/5,0,0
UMA,2020/6/5,0,0
REP,2020/6/5,0,0
BAT,2020/6/5,0,0
MKR,2020/6/5,0,0
UBT,2020/6/5,0,0
AMPL,2020/6/5,0,0
