,ctoken_symbol,date,total_supply,total_borrow
0,ETH,2021-01-01,709378721.3079324,17515116.031424765
1,ETH,2021-01-02,716470149.34769,16072650.429401562
2,ETH,2021-01-03,748152093.6058446,15523055.874019943
3,ETH,2021-01-04,741876117.3470756,15305769.153131217
4,ETH,2021-01-05,722532583.238917,14956317.660077058
5,ETH,2021-01-06,695660595.5218744,16703338.376346495
6,ETH,2021-01-07,710407922.4857647,19559352.567850623
7,ETH,2021-01-08,675615360.7109892,17621118.510307122
8,ETH,2021-01-09,692813611.2768703,18660137.48901322
9,ETH,2021-01-10,708572566.3913984,19031400.122951902
10,ETH,2021-01-11,731294129.5078065,20439592.07272018
11,ETH,2021-01-12,799930360.1546807,19160020.816589434
12,ETH,2021-01-13,820269247.1995848,19987080.127237283
13,ETH,2021-01-14,806175988.7198361,28974169.743692465
14,ETH,2021-01-15,841821205.2602112,28585250.62075285
15,ETH,2021-01-16,808016591.1906681,28585101.756594002
16,ETH,2021-01-17,824705503.4796687,27877819.048578203
17,ETH,2021-01-18,895916653.2398204,30731751.911877323
18,ETH,2021-01-19,1130900543.6518483,36573789.29446599
19,ETH,2021-01-20,1064100703.0470393,37505188.461928055
20,ETH,2021-01-21,1134832724.9971013,40514672.14151301
21,ETH,2021-01-22,1217764311.212822,39307749.03973662
22,ETH,2021-01-23,1203415022.7136126,52149593.594743945
23,ETH,2021-01-24,1207186930.0328045,55608646.82736785
24,ETH,2021-01-25,1232230536.725612,59881100.2512601
25,ETH,2021-01-26,1052281559.006466,45112792.63485242
26,ETH,2021-01-27,1066038295.4433198,62053214.57986945
27,ETH,2021-01-28,1056727916.9882323,62529325.0493913
28,ETH,2021-01-29,1172134980.2596595,96242120.38748492
29,ETH,2021-01-30,1296033103.8817098,138291348.02546355
30,ETH,2021-01-31,1351912306.8213682,144158894.21234727
31,ETH,2021-02-01,1395440026.5994782,155304762.73779115
32,ETH,2021-02-02,1387635242.2392318,142147723.938267
33,ETH,2021-02-03,1542889396.626018,124668373.14457613
34,ETH,2021-02-04,1511977590.244141,108289368.21691759
35,ETH,2021-02-05,1449801439.7938852,87663270.8654108
36,ETH,2021-02-06,1287688117.9412096,76444888.77204534
37,ETH,2021-02-07,1387166309.5224657,83864933.7095874
38,ETH,2021-02-08,1443679912.7031565,88065977.47297812
39,ETH,2021-02-09,1559176632.8176403,95808520.5283642
40,ETH,2021-02-10,1494730925.1846833,97770150.04606824
41,ETH,2021-02-11,1523164400.8076904,99440798.68053894
42,ETH,2021-02-12,1535250386.7227182,75685695.97440994
43,ETH,2021-02-13,1615419618.011692,92008861.36223195
44,ETH,2021-02-14,1644560024.1540859,86787899.60546693
45,ETH,2021-02-15,1648335183.644861,88091209.27284908
46,ETH,2021-02-16,1619148458.0893924,85092354.08827454
47,ETH,2021-02-17,1767671512.0743172,86480447.86958323
48,ETH,2021-02-18,1959845948.9097872,92620244.3588929
49,ETH,2021-02-19,2122237625.2763557,103453375.53035714
50,ETH,2021-02-20,2262378006.9916067,120194479.98745969
51,ETH,2021-02-21,2315640857.2515926,127035217.08292337
