,ctoken_symbol,date,total_supply,total_borrow
0,USDC,2021-01-01,0.0,0.0
1,USDC,2021-01-02,809726353.5141195,655746542.9124653
2,USDC,2021-01-03,841484247.3657637,688505231.0017892
3,USDC,2021-01-04,858755767.4553063,705494533.497074
4,USDC,2021-01-05,853522127.7759358,709249199.460967
5,USDC,2021-01-06,864229858.2125385,710558573.0242122
6,USDC,2021-01-07,892782359.7439139,734452561.5207758
7,USDC,2021-01-08,886638281.03095,734126201.0734584
8,USDC,2021-01-09,878170607.3030304,724939611.667693
9,USDC,2021-01-10,888903028.8242335,730299392.2098864
10,USDC,2021-01-11,886836746.8350338,735139456.8981049
11,USDC,2021-01-12,900426210.2136353,747415536.4934031
12,USDC,2021-01-13,917061078.7424555,764916545.5379599
13,USDC,2021-01-14,861630573.5222424,718196023.7522984
14,USDC,2021-01-15,747906105.8754004,654891118.9358144
15,USDC,2021-01-16,725372715.532193,618271032.812761
16,USDC,2021-01-17,776577560.6066576,645113224.9170544
17,USDC,2021-01-18,1281757539.7852154,1095933403.5140626
18,USDC,2021-01-19,993353772.0086849,836797525.9866656
19,USDC,2021-01-20,784293508.7406977,659665528.5193969
20,USDC,2021-01-21,804864109.0465274,673628764.8533752
21,USDC,2021-01-22,815492664.7818614,684738502.1752006
22,USDC,2021-01-23,814755388.6654404,691716763.4424045
23,USDC,2021-01-24,837936812.2243993,699898292.4615244
24,USDC,2021-01-25,863694060.1850433,713093858.1008072
25,USDC,2021-01-26,872209264.8085878,734848989.1524563
26,USDC,2021-01-27,861551777.4284539,744924409.2010514
27,USDC,2021-01-28,882827608.1130654,751527640.6770161
28,USDC,2021-01-29,896076820.578842,758071568.8408968
29,USDC,2021-01-30,918314508.2087133,792173277.4856073
30,USDC,2021-01-31,1260538654.4548435,1095619351.819496
31,USDC,2021-02-01,1393222979.3862026,1199322100.1464093
32,USDC,2021-02-02,1400052306.5254464,1193405980.186265
33,USDC,2021-02-03,1331827339.612444,1147864411.7659004
34,USDC,2021-02-04,1382355368.6437128,1195626449.2553482
35,USDC,2021-02-05,1463606592.1363342,1256846270.9147956
36,USDC,2021-02-06,1137916084.2975357,975385378.3244817
37,USDC,2021-02-07,985344554.3100516,833544832.0551404
38,USDC,2021-02-08,1017814304.1519891,850269200.438257
39,USDC,2021-02-09,1036834815.3392553,874368259.8913357
40,USDC,2021-02-10,1049572640.8132877,875783875.0736271
41,USDC,2021-02-11,1106215646.3621905,914578994.1936605
42,USDC,2021-02-12,1112773816.11521,915599550.1203936
43,USDC,2021-02-13,1124262313.6819015,937922222.1201557
44,USDC,2021-02-14,1131134462.3106778,972282565.6213819
45,USDC,2021-02-15,1114712749.967209,958982707.4890913
46,USDC,2021-02-16,1152345722.5293906,972316514.688784
47,USDC,2021-02-17,1216236479.8380485,1027372783.7854123
48,USDC,2021-02-18,1234009137.8585713,1069895316.1866232
49,USDC,2021-02-19,1245055376.93271,1099223038.2462945
50,USDC,2021-02-20,1243047932.5989213,1101339529.5336175
51,USDC,2021-02-21,1276462607.2367783,1119433132.0574005
52,USDC,2021-02-22,1282194590.9495993,1116106358.2180476
53,USDC,2021-02-23,1300990158.6830528,1131765650.665557
54,USDC,2021-02-24,1345282621.1470094,1186735258.062229
55,USDC,2021-02-25,1379635129.7335327,1208897663.2111518
56,USDC,2021-02-26,1426311305.1732624,1253648174.0610368
57,USDC,2021-02-27,1443514635.1013224,1268356704.4156308
58,USDC,2021-02-28,1477059745.520934,1297523915.8487976
59,USDC,2021-03-01,1529862605.7874103,1333190493.6241238
60,USDC,2021-03-02,1553896998.0195875,1361893242.1638944
61,USDC,2021-03-03,1598875556.777122,1379187559.8721325
62,USDC,2021-03-04,1650565534.4569845,1479242712.3872771
63,USDC,2021-03-05,1700818225.4602818,1519524040.9077365
64,USDC,2021-03-06,1766156401.7397728,1562167066.5492067
65,USDC,2021-03-07,1812804253.4947221,1578735730.094511
66,USDC,2021-03-08,1862058136.0623739,1610004703.3724601
67,USDC,2021-03-09,1832850146.3905015,1579155597.0478568
68,USDC,2021-03-10,1770229518.9950638,1464899648.1483781
69,USDC,2021-03-11,1772439258.0366979,1454371086.3490908
70,USDC,2021-03-12,1778155699.861337,1481280121.1923332
71,USDC,2021-03-13,1806778262.704451,1453000271.6635878
