,ctoken_symbol,date,total_supply,total_borrow
0,USDT,2021-01-01,0.0,0.0
1,USDT,2021-01-02,72748427.96320528,61256274.477564916
2,USDT,2021-01-03,75516835.30766746,62470304.82942329
3,USDT,2021-01-04,77289001.58843501,63691352.25133678
4,USDT,2021-01-05,81328353.82123819,65878693.59488777
5,USDT,2021-01-06,79877336.44114648,62728426.07125803
6,USDT,2021-01-07,78361951.35574725,64252587.50659593
7,USDT,2021-01-08,83644823.09190051,64179242.004114956
8,USDT,2021-01-09,82440385.81071818,63864781.90898688
9,USDT,2021-01-10,105907330.31467041,68225916.41005664
10,USDT,2021-01-11,100078653.80496433,75385041.8641423
11,USDT,2021-01-12,89208591.3227159,73680931.79878724
12,USDT,2021-01-13,92616243.0709529,77692255.82424004
13,USDT,2021-01-14,89394539.5252481,77651899.87616731
14,USDT,2021-01-15,88685875.91460842,75857687.21429639
15,USDT,2021-01-16,91005165.83772787,80792774.64972922
16,USDT,2021-01-17,94417467.12644474,83948981.40920751
17,USDT,2021-01-18,97089805.30010462,87244845.11804785
18,USDT,2021-01-19,103910250.04936956,98097016.19138634
19,USDT,2021-01-20,118594703.16201954,109108176.36120304
20,USDT,2021-01-21,126928450.40494868,111692546.89421792
21,USDT,2021-01-22,137668097.60827196,122046099.45283242
22,USDT,2021-01-23,145213128.04749212,128951888.47709844
23,USDT,2021-01-24,150474944.0471236,126864672.18488482
24,USDT,2021-01-25,147591699.46704128,123783310.69400594
25,USDT,2021-01-26,147607482.9464068,126476280.40411413
26,USDT,2021-01-27,138126670.7161551,122153806.22702178
27,USDT,2021-01-28,144354898.95909014,124348980.14551029
28,USDT,2021-01-29,150477050.28863668,128283891.78458998
29,USDT,2021-01-30,156546636.97783598,137490761.88518986
30,USDT,2021-01-31,160927138.6007487,141274434.04342407
31,USDT,2021-02-01,160603189.1975811,144637950.62166873
32,USDT,2021-02-02,157385321.71945634,142743045.6484639
33,USDT,2021-02-03,157334007.19664165,144324129.4202449
34,USDT,2021-02-04,153516408.79467463,133680356.87535754
35,USDT,2021-02-05,163099559.0455431,138346527.74001572
36,USDT,2021-02-06,162697979.6887216,142123598.26502728
37,USDT,2021-02-07,170408940.3355351,146748025.44470617
38,USDT,2021-02-08,176069837.09247884,149609334.09508675
39,USDT,2021-02-09,178869118.89625067,153396971.53602383
40,USDT,2021-02-10,179519253.41631526,150348633.82225204
41,USDT,2021-02-11,176833873.41644344,153635816.62016013
42,USDT,2021-02-12,176555338.2094297,159911879.93907085
43,USDT,2021-02-13,188337542.85038075,172415944.83416122
44,USDT,2021-02-14,201177395.94948256,178646185.25974852
45,USDT,2021-02-15,219965179.49458763,189126083.46593273
46,USDT,2021-02-16,214580701.3212826,189360622.86502555
47,USDT,2021-02-17,212826811.8399852,189417694.0611654
48,USDT,2021-02-18,211185459.43220535,182448820.7935309
49,USDT,2021-02-19,213178202.47743043,194616667.94933105
50,USDT,2021-02-20,217352456.97870526,197636607.34596327
51,USDT,2021-02-21,236489361.45176968,205471755.601023
52,USDT,2021-02-22,250615339.06065926,217908593.78084782
53,USDT,2021-02-23,268163222.9496853,233091853.8662926
54,USDT,2021-02-24,277309834.3003228,256714945.737569
55,USDT,2021-02-25,283493972.06184053,262045302.98530197
56,USDT,2021-02-26,296330892.4690997,265919172.15945733
57,USDT,2021-02-27,309520691.39311427,272978535.031727
58,USDT,2021-02-28,313052963.59108454,284598803.85071033
59,USDT,2021-03-01,321687174.36840737,286426402.3391176
