,token,total_tvl,eigenvector_centrality,weighted_degree,weighted_in_degree,weighted_out_degree
0,USDC,1919478746.097311,0.6721723211465329,653867318.1816543,333928472.83805573,319938845.3435986
1,WBTC,555068454.6444278,0.22059223795449123,159673157.94201922,93531345.05270836,66141812.88931087
2,WETH,1436449883.5620773,0.6960953105279991,821602959.1515126,399059405.98348904,422543553.16802365
3,DAI,813238352.475939,0.03244362826262846,39642372.102413535,18060640.611274872,21581731.491138663
4,APE,27431768.89596342,0.009727663661488346,9082158.873013696,4052201.950933848,5029956.922079848
5,FRAX,243347501.6793256,0.008561154439790379,10395555.145888446,4125832.4448339166,6269722.701054529
6,FEI,20261658.384999298,0.005761854438556825,9364599.723257843,2484839.894875049,6879759.828382795
7,HEX,37452164.83042077,0.024543836511205702,20324433.51074354,10447282.272595882,9877151.238147657
8,LINK,13145068.437471148,0.004859533738996559,3983194.9403172126,2023683.764146909,1959511.1761703035
9,agEUR,26671330.55822183,0.006285517168132691,4810980.962594852,2693624.876568927,2117356.0860259254
10,MKR,13120218.51855005,0.0012826166463235553,1200476.6080817229,534127.4744036559,666349.133678067
11,RAI,16833726.256302115,0.00014691646425293658,5360007.211112983,1312676.7857311177,4047330.425381865
12,PAX,58901784.03077938,0.0015113362649122422,2373959.74036833,904549.9791434113,1469409.7612249185
13,1INCH,,0.00016230733292151746,103244.08352533815,69996.16883327196,33247.91469206618
14,BUSD,23956341.0957002,0.0002441570755316567,549775.3308079999,105294.440942,444480.889866
15,NEXO,5043948.393465036,0.0005923983070189029,608030.4070644194,246695.8560657789,361334.5509986404
16,MATIC,11126022.780514052,0.0008920254247463677,686656.1504461602,371471.3110806008,315184.8393655595
17,TUSD,10061091.38343492,0.0003717232901483715,333115.0789985525,160308.26031180035,172806.81868675217
18,ETH2x-FLI,11468075.477119008,0.0014875439508060433,1122137.8713211778,619466.5380227847,502671.3332983931
19,MIM,885900.4948408228,0.00016916268686520408,117993.938487,72952.588013,45041.350474
20,sILV2,2698971.983776702,0.0017609722957386276,1327184.1194292014,733331.8864320574,593852.232997144
21,LUSD,1408617.0904424272,9.023609037506208e-05,68121.143307,38914.943047,29206.20026
22,FUN,4894846.936608032,0.0009959465542482143,804005.594007439,414747.7885823472,389257.8054250917
23,USDT,,0.1129088045630391,102713419.5860592,48843988.66034163,53869430.92571757
24,LOOKS,15572819.36681028,0.01093855874839994,9343064.8603087,4555207.337005681,4787857.523303018
25,renBTC,13998176.48597188,1.4555936583268703e-05,124262.07705990068,19127.873094845632,105134.20396505504
26,ENS,4647139.524549333,0.0010897652144830072,976027.8784118486,453817.2363294907,522210.6420823579
27,LUNA,5582817.610212857,0.0027166349742058227,2099073.799567009,1131304.0274413167,967769.7721256922
28,EURS,8693166.405840958,0.012908876503594985,10263597.855413001,5567042.985241,4696554.870172001
29,CRV,7364158.52052443,0.0007753119515247486,849555.0795698194,322867.64383566723,526687.4357341522
