,token,total_tvl,eigenvector_centrality,weighted_degree,weighted_in_degree,weighted_out_degree
0,{'symbol': 'USDC'},205466942.79613468,0.4972694131684384,7647005.192282703,3600063.767621138,4046941.424661565
1,{'symbol': 'WETH'},499639040.93139446,0.7015119707066837,26255464.65481909,12619159.279472709,13636305.375346381
2,{'symbol': 'APE'},884592.7095302218,0.007119415573194753,84900.63523885174,44903.39288590279,39997.24235294896
3,{'symbol': 'ELON'},16505142.025813088,0.0998679778926429,1047880.4869081005,629884.7148238133,417995.77208428725
4,{'symbol': 'QOM'},3382079.8206402366,0.03914360720391991,569298.7256918551,246885.5421036101,322413.183588245
5,{'symbol': 'SAITAMA'},6668676.346871548,0.04285685072771494,483026.3845494035,270305.6151581711,212720.7693912324
6,{'symbol': 'XMON'},6562638.183581482,0.028700315241651897,355479.638065952,181017.8824365006,174461.75562945136
7,{'symbol': 'DAI'},18120598.91284689,0.03255141623765074,431782.9942333487,205307.4465571442,226475.5476762045
8,{'symbol': 'STRONG'},879146.6246383331,0.0017269281229421803,19557.357414626364,10892.036178103222,8665.321236523143
9,{'symbol': 'SHIB'},1897968.7569756447,0.025842746335164885,324922.0963738599,162994.69809119502,161927.3982826649
10,{'symbol': 'X2Y2'},5774598.15191381,0.07606060633323737,849582.7253991221,479727.479623546,369855.2457755761
11,{'symbol': 'UNI'},21127519.573527817,0.08335854305100072,960328.3843565942,525756.8364331144,434571.54792347975
12,{'symbol': 'STARL'},4970421.57003909,0.12183464745664532,1414431.2704790088,768432.3222343152,645998.9482446936
13,{'symbol': 'PAXG'},23004045.322703056,0.039076311361722335,523970.3455186304,246461.0955165667,277509.2500020637
14,{'symbol': 'HEX'},1459127.1533738845,0.0370355902562584,461642.5267402229,233589.9123938653,228052.6143463576
15,{'symbol': 'MOOV'},337889.72732505534,0.0012347602524657637,19640.42335319992,7787.847775753484,11852.575577446436
16,{'symbol': 'ALI'},2648253.531696904,0.015787806331064864,195659.09132543494,140475.29181329912,55183.79951213582
17,{'symbol': 'AUDIO'},3236255.979926199,0.025304713188027846,248535.63707082308,159601.22940782525,88934.40766299784
18,{'symbol': 'MC'},30521053.176492773,0.05964346699662431,455124.63149201684,376181.7250436171,78942.90644839975
19,{'symbol': 'BOND'},7746456.325284746,0.023464100303188153,423616.6556550306,208776.71464345683,214839.94101157383
20,{'symbol': 'KUMA'},1415233.9402918515,0.003175081853531243,70104.13734517687,20025.79375346634,50078.34359171053
21,{'symbol': 'SAND'},4039862.481559848,0.02231828308596709,247241.82538265316,140765.29507860538,106476.53030404776
22,{'symbol': 'MPL'},1966065.3209118969,0.009471565926239019,165024.48858272302,84275.22858570472,80749.2599970183
23,{'symbol': 'TOKE'},4488975.204326504,0.010860379215073589,145315.07293173578,68498.30154885947,76816.77138287632
24,{'symbol': 'WOO'},4141267.94642326,0.02708167003927486,313285.65529968793,170808.80548096006,142476.84981872787
25,{'symbol': 'KIBA'},976057.7441210448,0.0023659022004180056,23570.35591871039,14922.156874081638,8648.199044628751
26,{'symbol': 'UFO'},6058953.359517589,0.015810051234495796,145086.32066177382,99716.74427908746,45369.57638268636
27,{'symbol': 'VADER'},2224638.159948438,0.0035513047676596814,39715.338699763146,22398.697140282944,17316.6415594802
28,{'symbol': 'HIGH'},5617441.626016088,0.01993867932400734,200885.26997985534,125756.72007164036,75128.54990821498
29,{'symbol': '10SET'},6735004.328713978,0.008495527291888539,124893.32013677908,53582.76895604735,71310.55118073172
30,{'symbol': 'RAD'},3834663.74614439,0.008739419760694051,91029.106093003,77760.80573947685,13268.300353526149
31,{'symbol': 'MRI'},622721.5829670628,0.005697698423822832,80148.68827637032,35936.37542856588,44212.312847804445
