,Source,Target,Volume
0,USDC,WETH,242310059.53346932
1,WETH,USDC,244581233.61717224
2,WBTC,WETH,58107567.70917595
3,WETH,WBTC,74908934.96599372
4,USDC,WETH,31251357.24067189
5,WETH,USDC,30160524.045562956
6,USDC,USDT,12689580.628312666
7,USDT,USDC,16266412.16357148
8,WETH,USDT,22530414.85531508
9,USDT,WETH,22667242.185826425
10,WETH,USDT,11810167.79579911
11,USDT,WETH,13057111.501806322
12,DAI,USDC,12303941.891296208
13,USDC,DAI,5672633.261676304
14,APE,WETH,4986405.932140849
15,WETH,APE,4015694.562832848
16,WBTC,WETH,2679939.843066182
17,WETH,WBTC,10495970.295983434
18,WBTC,USDC,4431230.652715633
19,USDC,WBTC,6557430.697571032
20,WETH,LOOKS,4555207.337005681
21,LOOKS,WETH,4787857.523303018
22,DAI,WETH,4922758.380782638
23,WETH,DAI,5217477.332954024
24,DAI,WETH,2587774.748970876
25,WETH,DAI,2570701.5702466983
26,USDC,USDT,258122.33588848988
27,USDT,USDC,652497.2328309687
28,FRAX,USDC,1827577.122682
29,USDC,FRAX,385659.713413
30,WBTC,renBTC,19127.873094845632
31,renBTC,WBTC,105134.20396505504
32,FRAX,USDC,3308172.4178220006
33,USDC,FRAX,3226333.2042149995
34,FEI,USDC,6752759.593899864
35,USDC,FEI,2233829.4717532774
36,HEX,USDC,2914590.964556
37,USDC,HEX,3304943.222374
38,LINK,WETH,1959511.1761703035
39,WETH,LINK,2023683.7641469091
40,HEX,WETH,3880460.306726656
41,WETH,HEX,3861089.2236938816
42,HEX,USDC,3082099.966865
43,USDC,HEX,3281249.8265280006
44,agEUR,USDC,1663008.0586050004
45,USDC,agEUR,2214615.244138
46,MKR,WETH,666349.133678067
47,WETH,MKR,534127.4744036559
48,WETH,ENS,453817.2363294907
49,ENS,WETH,522210.6420823579
50,DAI,FRAX,52193.842454057056
51,FRAX,DAI,93131.3543315276
52,WBTC,USDT,514861.2388072838
53,USDT,WBTC,764522.1569305235
54,RAI,DAI,4047330.425381865
55,DAI,RAI,1312676.7857311177
56,FRAX,USDT,1040841.806219
57,USDT,FRAX,461645.6847518601
58,DAI,USDC,392535.841903764
59,USDC,DAI,251003.765976846
60,WBTC,PAX,389085.5724509762
61,PAX,WBTC,699352.7322646048
62,WETH,LUNA,1131304.0274413167
63,LUNA,WETH,967769.7721256922
64,FEI,USDC,127000.23448293068
65,USDC,FEI,251010.42312177163
66,PAX,WETH,561694.1282527029
67,WETH,PAX,505614.4066924351
68,APE,USDC,43550.98993899999
69,USDC,APE,36507.388101
70,agEUR,WETH,454348.027420925
71,WETH,agEUR,479009.6324309268
72,1INCH,USDC,33247.91469206618
73,USDC,1INCH,69996.16883327196
74,BUSD,USDC,444480.889866
75,USDC,BUSD,105294.440942
76,NEXO,WETH,361334.5509986404
77,WETH,NEXO,246695.8560657789
78,1INCH,USDT,0.0
79,USDT,1INCH,0.0
80,MATIC,WETH,315184.8393655595
81,WETH,MATIC,371471.3110806008
82,USDC,EURS,5567042.985241
83,EURS,USDC,4696554.870172001
84,TUSD,USDC,172806.81868675217
85,USDC,TUSD,160308.26031180035
86,ETH2x-FLI,WETH,502671.3332983931
87,WETH,ETH2x-FLI,619466.5380227847
88,MIM,USDC,45041.350474
89,USDC,MIM,72952.588013
90,sILV2,WETH,593852.232997144
91,WETH,sILV2,733331.8864320574
92,WETH,CRV,322867.64383566723
93,CRV,WETH,526687.4357341522
94,DAI,PAX,9850.0
95,PAX,DAI,208362.90070761097
96,LUSD,USDC,29206.20026
97,USDC,LUSD,38914.943047
98,FUN,WETH,389257.8054250917
99,WETH,FUN,414747.7885823472
