,Source,Target,Volume
0,{'symbol': 'USDC'},{'symbol': 'WETH'},5634034.176260943
1,{'symbol': 'WETH'},{'symbol': 'USDC'},7591376.265337862
2,{'symbol': 'WETH'},{'symbol': 'CULT'},6057557.766735623
3,{'symbol': 'CULT'},{'symbol': 'WETH'},5283130.216079682
4,{'symbol': 'WETH'},{'symbol': 'USDT'},4575610.443433118
5,{'symbol': 'USDT'},{'symbol': 'WETH'},3686730.957092043
6,{'symbol': 'APE'},{'symbol': 'WETH'},1100092.950123926
7,{'symbol': 'WETH'},{'symbol': 'APE'},1042007.4905014774
8,{'symbol': 'ELON'},{'symbol': 'WETH'},547896.3826626687
9,{'symbol': 'WETH'},{'symbol': 'ELON'},599612.4319924952
10,{'symbol': 'QOM'},{'symbol': 'WETH'},378292.6214520157
11,{'symbol': 'WETH'},{'symbol': 'QOM'},363731.8641971338
12,{'symbol': 'SAITAMA'},{'symbol': 'WETH'},853192.659407406
13,{'symbol': 'WETH'},{'symbol': 'SAITAMA'},1010991.4383264302
14,{'symbol': 'XMON'},{'symbol': 'WETH'},985707.577824523
15,{'symbol': 'WETH'},{'symbol': 'XMON'},1238322.2970025726
16,{'symbol': 'DAI'},{'symbol': 'WETH'},264064.5940674666
17,{'symbol': 'WETH'},{'symbol': 'DAI'},408764.8132420592
18,{'symbol': 'WETH'},{'symbol': 'FOX'},114159.42363375702
19,{'symbol': 'FOX'},{'symbol': 'WETH'},83612.81169979261
20,{'symbol': 'WETH'},{'symbol': 'LOOKS'},335479.4171443844
21,{'symbol': 'LOOKS'},{'symbol': 'WETH'},351849.50474048423
22,{'symbol': 'STRONG'},{'symbol': 'WETH'},94662.0438120622
23,{'symbol': 'WETH'},{'symbol': 'STRONG'},111595.67443714636
24,{'symbol': 'SHIB'},{'symbol': 'WETH'},343013.86455956433
25,{'symbol': 'WETH'},{'symbol': 'SHIB'},355080.31021377404
26,{'symbol': 'USDC'},{'symbol': 'USDT'},313153.4004801293
27,{'symbol': 'USDT'},{'symbol': 'USDC'},295650.3050374265
28,{'symbol': 'X2Y2'},{'symbol': 'WETH'},815203.2559616663
29,{'symbol': 'WETH'},{'symbol': 'X2Y2'},857887.2919564309
30,{'symbol': 'WETH'},{'symbol': 'VEMP'},2467.795491663906
31,{'symbol': 'VEMP'},{'symbol': 'WETH'},25780.24346465024
32,{'symbol': 'UNI'},{'symbol': 'WETH'},320556.6633294789
33,{'symbol': 'WETH'},{'symbol': 'UNI'},421401.3892818792
34,{'symbol': 'STARL'},{'symbol': 'WETH'},701577.476689301
35,{'symbol': 'WETH'},{'symbol': 'STARL'},616721.6108785169
36,{'symbol': 'PAXG'},{'symbol': 'WETH'},128142.62298118851
37,{'symbol': 'WETH'},{'symbol': 'PAXG'},303463.3060326237
38,{'symbol': 'HEX'},{'symbol': 'WETH'},1011059.1149201696
39,{'symbol': 'WETH'},{'symbol': 'HEX'},1045304.0529044667
40,{'symbol': 'WETH'},{'symbol': 'SUPER'},248652.44584718315
41,{'symbol': 'SUPER'},{'symbol': 'WETH'},235189.6949120829
42,{'symbol': 'MOOV'},{'symbol': 'WETH'},141236.6551523575
43,{'symbol': 'WETH'},{'symbol': 'MOOV'},125135.7379666622
44,{'symbol': 'ALI'},{'symbol': 'USDC'},286069.05710491084
45,{'symbol': 'USDC'},{'symbol': 'ALI'},388733.9617220563
46,{'symbol': 'AUDIO'},{'symbol': 'WETH'},114807.05235369524
47,{'symbol': 'WETH'},{'symbol': 'AUDIO'},122636.08026783372
48,{'symbol': 'MC'},{'symbol': 'WETH'},260807.20126199696
49,{'symbol': 'WETH'},{'symbol': 'MC'},131588.6461167638
50,{'symbol': 'BOND'},{'symbol': 'USDC'},181081.587451524
51,{'symbol': 'USDC'},{'symbol': 'BOND'},146233.74498982658
52,{'symbol': 'KUMA'},{'symbol': 'WETH'},609772.897256064
53,{'symbol': 'WETH'},{'symbol': 'KUMA'},776080.9465556423
54,{'symbol': 'WETH'},{'symbol': 'WRLD'},917598.0140269178
55,{'symbol': 'WRLD'},{'symbol': 'WETH'},215779.913703104
56,{'symbol': 'SAND'},{'symbol': 'WETH'},402457.41643599217
57,{'symbol': 'WETH'},{'symbol': 'SAND'},454420.52846998273
58,{'symbol': 'MPL'},{'symbol': 'USDC'},117421.34152466129
59,{'symbol': 'USDC'},{'symbol': 'MPL'},100101.62540389605
60,{'symbol': 'TOKE'},{'symbol': 'WETH'},158976.15148941797
61,{'symbol': 'WETH'},{'symbol': 'TOKE'},51000.7299358201
62,{'symbol': 'WOO'},{'symbol': 'WETH'},145723.2331604825
63,{'symbol': 'WETH'},{'symbol': 'WOO'},211560.64099877392
64,{'symbol': 'KIBA'},{'symbol': 'WETH'},80422.05789108647
65,{'symbol': 'WETH'},{'symbol': 'KIBA'},86270.3503759853
66,{'symbol': 'UFO'},{'symbol': 'WETH'},81726.66858255153
67,{'symbol': 'WETH'},{'symbol': 'UFO'},44216.188473554175
68,{'symbol': 'VADER'},{'symbol': 'WETH'},254612.73441236865
69,{'symbol': 'WETH'},{'symbol': 'VADER'},449645.4205262966
70,{'symbol': 'WETH'},{'symbol': 'FLOKI'},181239.5797002813
71,{'symbol': 'FLOKI'},{'symbol': 'WETH'},254166.67496229635
72,{'symbol': 'HIGH'},{'symbol': 'WETH'},219134.6709488592
73,{'symbol': 'WETH'},{'symbol': 'HIGH'},241532.97765461783
74,{'symbol': '10SET'},{'symbol': 'WETH'},21798.753219480717
75,{'symbol': 'WETH'},{'symbol': '10SET'},37521.377409901805
76,{'symbol': 'RAD'},{'symbol': 'USDC'},181274.57168513795
77,{'symbol': 'USDC'},{'symbol': 'RAD'},138658.5194601154
78,{'symbol': 'MRI'},{'symbol': 'WETH'},432657.4655570705
79,{'symbol': 'WETH'},{'symbol': 'MRI'},544486.060979843
80,{'symbol': 'WILD'},{'symbol': 'WETH'},123579.07901856014
81,{'symbol': 'WETH'},{'symbol': 'WILD'},130933.8634944532
82,{'symbol': 'DEFIT'},{'symbol': 'WETH'},81105.13987602749
83,{'symbol': 'WETH'},{'symbol': 'DEFIT'},47873.85882799948
84,{'symbol': 'FXS'},{'symbol': 'WETH'},216519.98248874536
85,{'symbol': 'WETH'},{'symbol': 'FXS'},255689.8711775077
86,{'symbol': 'RBN'},{'symbol': 'WETH'},171671.87077992724
87,{'symbol': 'WETH'},{'symbol': 'RBN'},222323.1982495942
88,{'symbol': 'KYL'},{'symbol': 'WETH'},23.182062394182097
89,{'symbol': 'WETH'},{'symbol': 'KYL'},0.0
90,{'symbol': 'F9'},{'symbol': 'WETH'},7690.222276567608
91,{'symbol': 'WETH'},{'symbol': 'F9'},18809.094227382848
92,{'symbol': 'WBTC'},{'symbol': 'WETH'},20102.617336968004
93,{'symbol': 'WETH'},{'symbol': 'WBTC'},34272.809164636215
94,{'symbol': '$AKC'},{'symbol': 'WETH'},80863.9765409489
95,{'symbol': 'WETH'},{'symbol': '$AKC'},55059.6867310122
96,{'symbol': 'WETH'},{'symbol': 'ARC'},28978.05416393092
97,{'symbol': 'ARC'},{'symbol': 'WETH'},32967.065474611954
98,{'symbol': 'DOP'},{'symbol': 'WETH'},204134.7559002644
99,{'symbol': 'WETH'},{'symbol': 'DOP'},259629.8450651664
