,token,total_tvl
0,USDC,1605814725.3348095
1,WBTC,565050157.8293124
2,WETH,1428578196.1110373
3,DAI,543816848.9619522
4,APE,26787648.880224228
5,FRAX,262017831.6468705
6,FEI,17309225.118515532
7,HEX,45675490.103411175
8,LINK,15528229.486689692
9,agEUR,25576072.995033875
10,MKR,13485635.666009596
11,RAI,11212523.827570679
12,PAX,60030534.74744591
13,1INCH,24850540.646763984
14,BUSD,23958889.81615256
15,NEXO,5543143.10167816
16,MATIC,12181887.528306453
17,TUSD,10060536.779409697
18,ETH2x-FLI,12540011.729549931
19,MIM,921319.4732305834
20,sILV2,3041696.024601303
21,LUSD,1528144.2625635753
22,FUN,4986146.29510086
23,USDT,378315777.3766277
24,LOOKS,17275517.36602942
25,renBTC,10386759.92567846
26,ENS,4666657.25592514
27,LUNA,5746963.644358485
28,EURS,8533388.393130546
29,CRV,7735224.196155438
