,token,total_tvl
0,{'symbol': 'USDC'},239974634.8464102
1,{'symbol': 'WETH'},521084106.70670563
2,{'symbol': 'APE'},865272.6046826147
3,{'symbol': 'ELON'},15583517.724866351
4,{'symbol': 'QOM'},3507976.6772745224
5,{'symbol': 'SAITAMA'},5967812.974980153
6,{'symbol': 'XMON'},5963746.981618513
7,{'symbol': 'DAI'},17841191.862375222
8,{'symbol': 'STRONG'},887857.8716693723
9,{'symbol': 'SHIB'},1891625.8551994213
10,{'symbol': 'X2Y2'},5398033.442423637
11,{'symbol': 'UNI'},20179707.26572305
12,{'symbol': 'STARL'},4541947.9224401
13,{'symbol': 'PAXG'},22401992.041132122
14,{'symbol': 'HEX'},1420864.9547357347
15,{'symbol': 'MOOV'},321348.33360180113
16,{'symbol': 'ALI'},2340070.6380334315
17,{'symbol': 'AUDIO'},3035223.8597134543
18,{'symbol': 'MC'},29075612.117975377
19,{'symbol': 'BOND'},7802931.618138507
20,{'symbol': 'KUMA'},1508130.23386112
21,{'symbol': 'SAND'},3761552.2468164423
22,{'symbol': 'MPL'},1920026.548521468
23,{'symbol': 'TOKE'},5789913.49845928
24,{'symbol': 'WOO'},3875491.097041249
25,{'symbol': 'KIBA'},1000928.0123612732
26,{'symbol': 'UFO'},5754362.231964177
27,{'symbol': 'VADER'},2221861.659089185
28,{'symbol': 'HIGH'},5163984.507209381
29,{'symbol': '10SET'},7006342.550389559
30,{'symbol': 'RAD'},3778945.2305766977
31,{'symbol': 'MRI'},699769.7505126668
32,{'symbol': 'WILD'},3239541.7624361734
33,{'symbol': 'DEFIT'},533128.6539697569
34,{'symbol': 'FXS'},320540.18395736546
35,{'symbol': 'RBN'},1730377.868351421
36,{'symbol': 'KYL'},2077.173230426353
37,{'symbol': 'F9'},725989.6098593064
38,{'symbol': 'WBTC'},19910983.14239339
39,{'symbol': '$AKC'},807425.7765443308
40,{'symbol': 'DOP'},687314.2927337177
41,{'symbol': 'CULT'},5019919.965768117
42,{'symbol': 'USDT'},121801031.86662808
43,{'symbol': 'FOX'},14160326.7498198
44,{'symbol': 'LOOKS'},378359.35772199946
45,{'symbol': 'VEMP'},2844278.2861966686
46,{'symbol': 'SUPER'},7596381.405564621
47,{'symbol': 'WRLD'},44381.32295533133
48,{'symbol': 'FLOKI'},2597411.5593551514
49,{'symbol': 'ARC'},868298.1100376267
