,token,total_tvl,stable,eigenvector_centrality,weighted_degree,weighted_in_degree,weighted_out_degree
0,USDC,507095940.27757967,1.0,0.4964217050525539,169921349.13178426,87823041.34580804,82098307.78597622
1,USDT,263756544.1797174,1.0,0.30475491972724406,100245113.63852555,52275879.56584992,47969234.072675616
2,FRAX,141365919.45729902,1.0,0.03565211709552752,12043371.090796905,6421995.934219724,5621375.156577181
3,DAI,297164138.3017263,1.0,0.2678996183218193,82330593.75590691,43455899.36923224,38874694.38667468
4,DPI,45542506.16359113,0.0,0.021861858735130496,6014942.592629466,3398911.7431588816,2616030.8494705847
5,CRV,5081525.856248057,0.0,0.008418858664612084,2725635.140551579,1308898.658884968,1416736.481666611
6,BOND,22496072.13602408,0.0,0.018051103740968452,5857329.321858056,3807863.001964328,2049466.3198937275
7,PERP,8874866.681751497,0.0,0.006618250387645299,1999457.754791663,1028954.0900557482,970503.6647359148
8,STAKE,6526649.074234063,0.0,0.005644755585367206,1875957.9666362451,877602.6905496236,998355.2760866216
9,WBTC,212975107.8546792,0.0,0.16033725888963649,50058488.193756506,25504663.205384728,24553824.98837178
10,HEX,1643891.0991238365,0.0,0.0019009338705510694,559253.5849834739,295542.4117347303,263711.17324874364
11,ALBT,2929085.8867225028,0.0,0.00899171252743866,2853379.554972975,1397961.5215200786,1455418.0334528964
12,POLS,8586311.864555089,0.0,0.009274362604438669,2768097.193781382,1441905.756891809,1326191.436889573
13,MKR,20618517.76632689,0.0,0.00453870929863595,1457717.6496976302,705643.217295546,752074.4324020842
14,AAVE,47365873.834397465,0.0,0.03589707322026814,9843766.80853447,5580997.718064123,4262769.090470346
15,YFI,11543354.566911928,0.0,0.009367134098616453,2904084.8624733826,1456329.147181335,1447755.7152920477
16,WISE,188186317.07420552,0.0,0.0032209731874954088,1079115.1394069553,500771.8567765542,578343.2826304011
17,LINK,85468078.82270737,0.0,0.02884488067260128,9152508.11169941,4484577.676397461,4667930.435301948
18,TEND,35721.36435144487,0.0,0.23696250307882863,55293692.66542468,36841086.76032688,18452605.905097805
19,WETH,1713151668.7453494,0.0,0.6735587942028225,571321213.0871269,263125147.3274366,308196065.7596903
20,UNI,179011898.62171203,0.0,0.21565639590731972,60262120.792073786,33528578.94735335,26733541.844720434
21,AMPL,26092788.884613007,0.0,0.00739313543963187,2204728.46077944,1149427.1904771249,1055301.2703023152
22,BAC,38618454.36341485,,0.0010912157803362734,818811.6490395411,426546.9665786241,392264.682460917
23,LRC,24860235.89673716,,0.007881234586134094,2471957.055770445,1225313.04908467,1246644.0066857752
24,SNX,14815267.557705764,,0.016884825062665646,5236815.2575309435,2625121.261736807,2611693.9957941365
25,ESD,2069615.640446436,,0.0014734864044049088,723011.9808014224,310830.5422064943,412181.43859492807
26,CEL,13291635.73235938,,0.009927650220438046,2909890.6742835185,1543473.8338144002,1366416.8404691184
27,BAO,4528325.844464721,,0.019635700801033718,6013079.996945491,3052806.0237870403,2960273.973158451
28,API3,4549389.56975987,,0.011334872186675206,3612750.41876934,1762257.7590160028,1850492.659753337
29,LON,17447567.9493353,,0.013056336810094982,3831279.683813815,2029897.688212488,1801381.9956013267
30,MPH,5302630.067148889,,0.00986465529719285,3105387.594123749,1533679.8731557264,1571707.7209680227
31,PRQ,3198501.5613939306,,0.009821702647943444,3110924.7031532666,1527001.9293586025,1583922.7737946643
32,REN,3943466.3480146746,,0.0025474376363813986,844026.750051959,396055.7884013767,447970.9616505823
33,RSR,4528760.345493192,,0.006701313215825927,2132101.4290206237,1041868.0524751174,1090233.3765455063
34,UST,26491059.89113189,,0.01159093921210961,7973143.303417381,3982870.792719448,3990272.510697933
35,RAMP,6161414.144242205,,0.008247405048660256,2773720.3164765253,1282242.384332732,1491477.9321437932
36,RBC,2815217.8759240774,,0.007430323645551171,2182743.1472503105,1155208.9234641297,1027534.223786181
37,SPI,1597953.855357286,,0.0032829449683472317,1059639.8979635963,510406.7472144495,549233.1507491468
38,1INCH,1242384.6739588224,,0.004215220443972545,1306189.1485271505,655349.6864380918,650839.4620890588
39,BAS,6630753.835263142,,0.0025605275692472673,1768209.1180109335,1000888.4467990532,767320.6712118803
40,DSD,2379788.3272349047,,0.004527456534300138,2028920.3917667381,955062.60876645,1073857.7830002883
41,ROOK,6937337.769026873,,0.014961317845857303,4776835.005598178,2326069.321713297,2450765.6838848805
42,renBTC,19353634.059855264,,0.009360907940056208,2812536.2783213435,1455361.1524787075,1357175.1258426358
43,GRT,7167158.001253581,,0.004315725880283373,1658912.9940066386,771451.0102719179,887461.9837347207
44,ZERO,3438384.396157752,,0.012781375111777987,4014380.228652495,1987148.78215416,2027231.4464983349
