,token,total_tvl,stable,eigenvector_centrality,betweenness_centrality,degree,in_degree,out_degree,weighted_degree,weighted_in_degree,weighted_out_degree
0,USDC,338301204.55096304,1.0,0.6622749008737249,0.24283071230342276,20,10,10,22256042.022835854,10949726.849415876,11306315.173419978
1,USDT,45029644.11440323,1.0,0.19495500785020406,0.0,4,2,2,4666410.526297412,2347084.3076975546,2319326.2185998573
2,DAI,192089130.80524805,1.0,0.04619534499736822,0.0,4,2,2,1104371.1397321792,553320.4612180694,551050.6785141099
3,CRV,738678.4269570849,0.0,0.003900736955420195,0.0,2,1,1,96689.35231217352,47404.87971650612,49284.4725956674
4,STARL,4659059.9281893885,0.0,0.007383459989662642,0.0,2,1,1,165561.883924198,89729.71946114887,75832.16446304912
5,PERP,1846168.679095826,0.0,0.007478676535284689,0.0,2,1,1,171416.52297053847,90886.8671857508,80529.65578478768
6,Metis,819353.5046987216,0.0,0.007803560265858697,0.0,2,1,1,191543.2270158018,94835.11449022689,96708.1125255749
7,WILD,3802197.1479193415,0.0,0.01895007514320245,0.0,2,1,1,347024.76309461426,230296.4909064188,116728.27218819548
8,AUDIO,2643996.0412738333,0.0,0.0040977085860614436,0.0,2,1,1,100249.60218008672,49798.63673340425,50450.96544668247
9,DAO,1593898.200779286,0.0,0.00040250257186869894,0.0,2,1,1,14839.074148935248,4286.389259851032,10552.684889084216
10,QOM,2697258.8142907647,0.0,0.0031306999204844897,0.0,2,1,1,124291.88181374452,38046.772918850365,86245.10889489415
11,CVP,1322926.4726215675,0.0,0.0049041524762156105,0.0,2,1,1,100333.37043157301,59599.18879517479,40734.18163639822
12,AMPL,3651170.3449959615,0.0,0.03472565468842286,0.0,2,1,1,1033340.6190530746,422013.9687435741,611326.6503095005
13,WBTC,15676936.420309171,0.0,0.007263150607538051,0.0,2,1,1,200154.22288605734,88267.6234896539,111886.59939640346
14,stETH,5520754.251655409,0.0,0.002290050497570268,0.0,2,1,1,54443.94438916595,27830.527826593563,26613.416562572387
