,Source,Target,Volume
0,{'symbol': 'WETH'},{'symbol': 'USDT'},9088559.97670702
1,{'symbol': 'USDT'},{'symbol': 'WETH'},9128469.1252166
2,{'symbol': 'USDC'},{'symbol': 'WETH'},5628991.764189731
3,{'symbol': 'WETH'},{'symbol': 'USDC'},5615544.01127231
4,{'symbol': 'WETH'},{'symbol': 'AMPL'},1786378.498427654
5,{'symbol': 'AMPL'},{'symbol': 'WETH'},2135818.055407611
6,{'symbol': 'YFI'},{'symbol': 'WETH'},3070767.8290551626
7,{'symbol': 'WETH'},{'symbol': 'YFI'},3348747.0951599786
8,{'symbol': 'DAI'},{'symbol': 'WETH'},4315849.635444114
9,{'symbol': 'WETH'},{'symbol': 'DAI'},4298792.985578684
10,{'symbol': 'LINK'},{'symbol': 'WETH'},2285328.363434962
11,{'symbol': 'WETH'},{'symbol': 'LINK'},2387557.393331724
12,{'symbol': 'DIA'},{'symbol': 'WETH'},1199002.052960062
13,{'symbol': 'WETH'},{'symbol': 'DIA'},1197261.541735544
14,{'symbol': 'WETH'},{'symbol': 'SWAP'},2562709.5916809062
15,{'symbol': 'SWAP'},{'symbol': 'WETH'},2691487.486279751
16,{'symbol': 'SNX'},{'symbol': 'WETH'},927796.182856558
17,{'symbol': 'WETH'},{'symbol': 'SNX'},986896.6906960836
18,{'symbol': 'BZRX'},{'symbol': 'WETH'},2286492.211514832
19,{'symbol': 'WETH'},{'symbol': 'BZRX'},2368563.624915542
20,{'symbol': 'LEND'},{'symbol': 'WETH'},1997380.0426262785
21,{'symbol': 'WETH'},{'symbol': 'LEND'},2066834.389954244
22,{'symbol': 'COMP'},{'symbol': 'WETH'},242883.46383923147
23,{'symbol': 'WETH'},{'symbol': 'COMP'},285697.3765457173
24,{'symbol': 'TRADE'},{'symbol': 'WETH'},740810.2380518073
25,{'symbol': 'WETH'},{'symbol': 'TRADE'},733805.2013971313
26,{'symbol': 'MTA'},{'symbol': 'WETH'},568576.2735251831
27,{'symbol': 'WETH'},{'symbol': 'MTA'},519248.9021755806
28,{'symbol': 'WETH'},{'symbol': 'RMPL'},27854.21996323597
29,{'symbol': 'RMPL'},{'symbol': 'WETH'},25597.344627147257
30,{'symbol': 'wNXM'},{'symbol': 'WETH'},1825859.388715416
31,{'symbol': 'WETH'},{'symbol': 'wNXM'},1861006.852195965
32,{'symbol': 'WETH'},{'symbol': 'XAMP'},554167.5499387913
33,{'symbol': 'XAMP'},{'symbol': 'WETH'},576539.9874256215
34,{'symbol': 'UMA'},{'symbol': 'WETH'},230227.44040325575
35,{'symbol': 'WETH'},{'symbol': 'UMA'},270264.6454483516
36,{'symbol': 'USDC'},{'symbol': 'USDT'},763241.4301101799
37,{'symbol': 'USDT'},{'symbol': 'USDC'},769383.8092629315
38,{'symbol': 'REN'},{'symbol': 'WETH'},836780.7118954359
39,{'symbol': 'WETH'},{'symbol': 'REN'},894080.8405174838
40,{'symbol': 'ANT'},{'symbol': 'WETH'},1824572.487276653
41,{'symbol': 'WETH'},{'symbol': 'ANT'},2126098.457174103
42,{'symbol': 'YFII'},{'symbol': 'WETH'},843178.5984605686
43,{'symbol': 'WETH'},{'symbol': 'YFII'},868608.5317667311
44,{'symbol': 'STAKE'},{'symbol': 'WETH'},1198528.588906841
45,{'symbol': 'WETH'},{'symbol': 'STAKE'},1229796.4085582355
46,{'symbol': 'WETH'},{'symbol': 'DMG'},682547.8669640335
47,{'symbol': 'DMG'},{'symbol': 'WETH'},698529.6647715401
48,{'symbol': 'XRT'},{'symbol': 'WETH'},940811.1578872248
49,{'symbol': 'WETH'},{'symbol': 'XRT'},998777.6831728952
50,{'symbol': 'BAND'},{'symbol': 'WETH'},255278.0389090291
51,{'symbol': 'WETH'},{'symbol': 'BAND'},273547.4173006036
52,{'symbol': 'sUSD'},{'symbol': 'WETH'},511979.15714079584
53,{'symbol': 'WETH'},{'symbol': 'sUSD'},514397.7016360226
54,{'symbol': 'RSR'},{'symbol': 'WETH'},569029.8749461175
55,{'symbol': 'WETH'},{'symbol': 'RSR'},549426.0335851405
56,{'symbol': 'WBTC'},{'symbol': 'WETH'},561740.9020011016
57,{'symbol': 'WETH'},{'symbol': 'WBTC'},568203.4929179477
58,{'symbol': 'XOR'},{'symbol': 'WETH'},271579.90322747646
59,{'symbol': 'WETH'},{'symbol': 'XOR'},258570.08175075828
60,{'symbol': 'TRB'},{'symbol': 'WETH'},279977.2073698858
61,{'symbol': 'WETH'},{'symbol': 'TRB'},297920.7997087932
62,{'symbol': 'WETH'},{'symbol': 'HEX2T'},699753.4136612802
63,{'symbol': 'HEX2T'},{'symbol': 'WETH'},731572.7130253299
64,{'symbol': 'LID'},{'symbol': 'WETH'},183271.75295669225
65,{'symbol': 'WETH'},{'symbol': 'LID'},232933.33514205163
66,{'symbol': 'AKRO'},{'symbol': 'WETH'},664677.9998938418
67,{'symbol': 'WETH'},{'symbol': 'AKRO'},665881.6541774231
68,{'symbol': 'TEND'},{'symbol': 'WETH'},143539.2360023706
69,{'symbol': 'WETH'},{'symbol': 'TEND'},134497.37756938778
70,{'symbol': 'STA'},{'symbol': 'WETH'},143452.0415443552
71,{'symbol': 'WETH'},{'symbol': 'STA'},159110.41574751024
72,{'symbol': 'RING'},{'symbol': 'WETH'},794951.8401568275
73,{'symbol': 'WETH'},{'symbol': 'RING'},843869.469405974
74,{'symbol': 'DEXT'},{'symbol': 'WETH'},110993.1346362298
75,{'symbol': 'WETH'},{'symbol': 'DEXT'},107069.28351372213
76,{'symbol': 'DEC'},{'symbol': 'WETH'},260639.1586026893
77,{'symbol': 'WETH'},{'symbol': 'DEC'},294378.022501197
78,{'symbol': 'MKR'},{'symbol': 'WETH'},112689.25759587895
79,{'symbol': 'WETH'},{'symbol': 'MKR'},112092.8974918029
80,{'symbol': 'DOS'},{'symbol': 'WETH'},174247.60199447663
81,{'symbol': 'WETH'},{'symbol': 'DOS'},161840.378029341
82,{'symbol': 'WETH'},{'symbol': 'KNC'},351373.7416293747
83,{'symbol': 'KNC'},{'symbol': 'WETH'},344559.5132712953
84,{'symbol': 'LRC'},{'symbol': 'WETH'},218610.91862734716
85,{'symbol': 'WETH'},{'symbol': 'LRC'},201189.77555047095
86,{'symbol': 'ALEPH'},{'symbol': 'WETH'},111670.94857492729
87,{'symbol': 'WETH'},{'symbol': 'ALEPH'},130717.27433160064
88,{'symbol': 'UBT'},{'symbol': 'WETH'},207542.39501061596
89,{'symbol': 'WETH'},{'symbol': 'UBT'},216474.97943700425
90,{'symbol': 'MINI'},{'symbol': 'WETH'},60369.37398390621
91,{'symbol': 'WETH'},{'symbol': 'MINI'},73413.22353079123
92,{'symbol': 'DF'},{'symbol': 'WETH'},198604.70636108587
93,{'symbol': 'WETH'},{'symbol': 'DF'},186281.1947775864
94,{'symbol': 'KTON'},{'symbol': 'WETH'},918692.5126623636
95,{'symbol': 'WETH'},{'symbol': 'KTON'},950438.3249008388
96,{'symbol': 'HEX'},{'symbol': 'WETH'},106200.17602036775
97,{'symbol': 'WETH'},{'symbol': 'HEX'},64307.13896986989
98,{'symbol': 'BAT'},{'symbol': 'WETH'},84186.42487215348
99,{'symbol': 'WETH'},{'symbol': 'BAT'},86179.24521036932
