,token,total_tvl,stable,eigenvector_centrality,weighted_degree,weighted_in_degree,weighted_out_degree
0,USDC,278268545.9808444,1,0.31185883693548055,28560496.868705325,13395868.193183886,15164628.67552144
1,USDT,215086827.7288187,1,0.2614592438037355,19414098.140856043,8949120.770373985,10464977.37048206
2,DAI,27659230.632431954,1,0.04625756710607419,3330605.5710707963,1521941.961731299,1808663.6093394973
3,10SET,12484062.659745172,0,0.014161340240669892,893377.9675783685,465928.9127161941,427449.0548621744
4,HIGH,10088443.950720651,0,0.010229324997705668,773718.0335246287,336559.83070823626,437158.2028163925
5,RAD,6410291.543496935,0,0.001660105112335721,243767.1233565514,124686.1809786526,119080.9423778988
6,MRI,2785785.368864536,0,0.016126350914538533,896670.7021708842,530580.6526780624,366090.04949282185
7,WILD,10434621.825128265,0,0.031784316844531674,2074536.3612160874,1045750.7507848076,1028785.6104312796
8,DEFIT,730507.0163694482,0,0.006655595725740511,400298.85252448486,218978.8838677133,181319.96865677155
9,FXS,371550.9164351817,0,0.013853667289015001,1186774.6607912336,455806.0202921391,730968.6404990945
10,RBN,3920619.087684031,0,0.006270943860265565,462323.2747806184,206323.2720111236,256000.00276949475
11,F9,1742073.6815209985,0,0.004750203367154935,213369.62500852742,156288.6741244349,57080.95088409251
12,DOP,2640546.7815031097,0,0.016386780998649188,1048940.6587941921,539149.1853074662,509791.4734867258
13,$AKC,3190660.2613176587,0,0.01717126367766138,1333754.0876181638,564959.8187266894,768794.2688914743
14,VADER,5491065.631991867,0,0.013714164703048785,747307.2570715518,451216.1801290111,296091.07694254065
15,WBTC,35805826.711048335,0,0.0025464454571055913,237375.16353725488,83781.79910633806,153593.36443091682
16,SHINJA,20242960.21327363,0,0.008794924339596886,329404.25059068017,289365.9403225891,40038.310268091074
17,CULT,11046484.030491274,0,0.5194746296372179,33766774.30985242,17091479.00248932,16675295.3073631
18,FOX,28975378.23766385,0,0.006057134483871831,451832.27139295154,199288.6292034073,252543.64218954425
19,LOOKS,2243907.682752612,0,0.026130979020621104,1636926.1410322054,859747.6253216364,777178.5157105689
20,VEMP,7304571.653721809,0,0.03425481547945259,2289379.603227763,1127033.7877907106,1162345.8154370524
21,SUPER,23117838.11737676,0,0.012156221306227365,585266.9673604615,399957.5520176908,185309.41534277072
22,WRLD,70553.14771717538,0,0.0009146501851550495,63819.16473655173,30093.33573252112,33725.82900403061
23,FLOKI,6676957.972774516,0,0.017087206189848148,1261848.1942494866,562194.2038034641,699653.9904460224
24,UFO,16037928.274928143,0,0.027042251289210287,1984965.5021992752,889729.8226332159,1095235.6795660593
25,KIBA,3890647.3507788633,0,0.020125329971544967,1361145.0859720116,662152.9426125144,698992.1433594973
26,TOKE,134254587.70718968,0,0.0017830618096057016,412042.9627151188,58665.35484187065,353377.6078732481
27,APE,4865217.016856684,0,0.040481789823498315,2663740.6504232483,1331910.3980779585,1331830.2523452898
28,ELON,29765610.616308425,0,0.020376353109162314,1381510.0059764944,670411.9728729953,711098.033103499
29,QOM,8086416.833487642,0,0.03867976194246828,2222946.712427855,1272621.031603923,950325.6808239318
30,SAITAMA,14641354.102573272,0,0.05351499565587236,3517004.6836949605,1760722.0302739474,1756282.6534210134
31,XMON,12554254.790102271,0,0.021608877966903608,1654759.8875713167,710963.8526459166,943796.0349254
32,STRONG,5104876.567214984,0,0.19185758024052627,12197419.653439712,6312396.442612393,5885023.210827319
33,SHIB,5531853.082505486,0,0.01764635674044593,1224625.8113814394,580591.0789337214,644034.732447718
34,X2Y2,7250668.265899437,0,0.023674216543686497,1380639.408425075,778916.5281072154,601722.8803178595
35,UNI,41438378.4262829,0,0.013116086346175613,827686.2376076289,431538.5229439436,396147.7146636853
36,STARL,12313673.38742236,0,0.008737435720450375,422577.6371632477,287474.4802377903,135103.15692545736
37,PAXG,30930747.203190167,0,0.005450401677496104,512602.92057853186,179326.2279066716,333276.6926718603
38,WETH,1034784767.0887916,0,0.7119106457184494,134391654.95591557,68197407.20870896,66194247.74720662
39,HEX,2512306.4516039817,0,0.011591644748398404,773533.3265174351,381382.15327267424,392151.1732447609
40,ALI,4381860.494567402,0,0.010164978450759529,1354886.3468108606,763465.1163577623,591421.2304530984
41,MOOV,517044.0068462252,0,0.006609874282280799,392170.55650279706,217474.5811621106,174695.97534068642
42,AUDIO,7685723.703174157,0,0.034912139345011715,2084835.2310931787,1148660.7093092531,936174.5217839256
43,MC,64635054.06502088,0,0.007447801040617971,314420.7048430731,245043.60336006776,69377.10148300533
44,BOND,13616922.069244348,0,0.022854120751314717,3547392.850518615,1716513.6200906625,1830879.2304279527
45,KUMA,7790042.703492613,0,0.03347196318374414,1880668.86970496,1101276.7963790302,779392.0733259296
46,SAND,10520853.247437874,0,0.033658382835602275,2198732.7446801607,1107410.2769834814,1091322.4676966793
47,MPL,3429895.00339065,0,0.00291508694789078,490048.6987607537,218944.60540623555,271104.0933545181
48,WOO,8979367.780884095,0,0.013036991864304612,740715.2390107098,428936.1982124071,311779.0407983027
49,ARC,2767480.8042163267,0,0.006178359925380905,391235.7518037545,203277.1244443925,187958.627359362
