,token,total_tvl
0,{'symbol': 'WETH'},1984141275.2483013
1,{'symbol': 'USDC'},368456947.569504
2,{'symbol': 'FEI'},586959525.9911385
3,{'symbol': 'FNK'},13190533.115319936
4,{'symbol': 'DAI'},85734731.85206103
5,{'symbol': 'eMax'},4280439.655344995
6,{'symbol': 'SHIB'},5671412.942959708
7,{'symbol': 'JEJUDOGE'},1822561.926602217
8,{'symbol': 'LEASH'},8198146.244283824
9,{'symbol': 'WBTC'},155209787.0703774
10,{'symbol': 'TEND'},15065.372632866012
11,{'symbol': 'WOO'},12008025.306386014
12,{'symbol': 'HEX'},13508853.974559095
13,{'symbol': 'KISHU'},2957979.727075169
14,{'symbol': 'CARDS'},20695072.313955605
15,{'symbol': 'LINK'},58323559.44902293
16,{'symbol': 'UNI'},117838666.03234634
17,{'symbol': 'BOND'},23543725.791365594
18,{'symbol': 'KEEP'},6950859.604805024
19,{'symbol': 'FOXX'},1086122.7385028
20,{'symbol': 'KOKO'},2643460.2367792055
21,{'symbol': 'TORN'},19933524.464822944
22,{'symbol': 'ERN'},6172024.389791565
23,{'symbol': 'WDOGE'},51819064.74210778
24,{'symbol': 'MATIC'},9333578.868507663
25,{'symbol': 'DPI'},46241062.90503419
26,{'symbol': 'FEG'},6975738.474971604
27,{'symbol': 'ETH2x-FLI'},8211962.845872323
28,{'symbol': 'FRAX'},32428620.775198568
29,{'symbol': 'AAVE'},33816542.77544587
30,{'symbol': '10SET'},10475628.58622947
31,{'symbol': 'AKITA'},3925010.0158112566
32,{'symbol': 'eRSDL'},8792484.43270791
33,{'symbol': 'MKR'},42702764.32090037
34,{'symbol': 'SAND'},15293502.28813634
35,{'symbol': '⚗️'},30553470.6126712
36,{'symbol': 'RAI'},34286168.406069085
37,{'symbol': 'PAID'},2727309.394554439
38,{'symbol': 'xFUND'},2485000.6407554117
39,{'symbol': 'ELON'},7026890.650604205
40,{'symbol': 'CELL'},3548756.0726685817
41,{'symbol': 'USDT'},313679557.8120229
42,{'symbol': 'AMP'},4968118.104744436
43,{'symbol': 'TRU'},3056823.125325045
44,{'symbol': 'RLY'},15733053.898034789
45,{'symbol': 'CRV'},4950315.4922574945
46,{'symbol': 'GTC'},1276632.664059274
47,{'symbol': 'SUPER'},9034499.290241744
48,{'symbol': 'VISR'},4969282.014032306
