,token,total_tvl,stable,eigenvector_centrality,betweenness_centrality,weighted_degree,weighted_in_degree,weighted_out_degree
0,USDC,2225065063.518341,1.0,0.6908371416989612,0.3620580808080808,999583632.6441526,505397117.4443479,494186515.19980466
1,agEUR,21677796.95510596,1.0,0.003953121610281081,0.0,5286816.427896153,2406793.53929102,2880022.8886051327
2,TUSD,10105031.775057051,1.0,0.0005367697459573263,0.0,1015160.8116796138,327480.6316426894,687680.1800369244
3,USDT,305867887.3540158,1.0,0.13014608563163188,0.0,154330436.93411934,79816921.92578283,74513515.00833651
4,FEI,1837545.3602326869,1.0,0.00010079944482094238,0.0,172300.26456372452,61497.254843073824,110803.0097206507
5,PAX,13840476.725437095,1.0,0.0021745583600994733,0.0,2582682.3552708076,1321329.0888567895,1261353.266414018
6,BUSD,23974036.05879804,1.0,0.0011323803277469016,0.0,1829930.22529,690859.77327,1139070.45202
7,DAI,1303944978.084252,1.0,0.03668069915607706,0.06060606060606061,46291112.12507535,23992315.50539774,22298796.619677607
8,FRAX,138556876.06034973,1.0,0.020446713427569707,0.0,26920938.277143,12474441.189555002,14446497.087587997
9,UNI,13335252.57797417,0.0,0.00234646134624271,0.0,3112308.0362050934,1428331.9594534293,1683976.076751664
10,renBTC,6593734.984352313,0.0,0.0014596674524872272,0.0,6492712.946842148,4076000.339729016,2416712.607113132
11,oSQTH,1607439.6621998332,0.0,0.0005987217099927758,0.0,751939.7914744166,363801.87630710367,388137.915167313
12,ENS,3390459.313845785,0.0,0.0002237950714672786,0.0,334028.012834266,135984.82491821473,198043.18791605128
13,LOOKS,10826920.512708103,0.0,0.0024668017447611024,0.0,3039663.497429722,1498905.231334607,1540758.266095115
14,WBTC,338749668.922222,0.0,0.15093605028470472,0.11931818181818182,213363867.66701195,94416915.38070112,118946952.28631082
15,QNT,1491540.6506934853,0.0,0.0004549322064619599,0.0,554373.442841069,276430.9153001965,277942.52754087246
16,Metis,2594021.892093381,0.0,0.00010896837391718013,0.0,135322.57086585218,66212.5629111916,69110.00795466056
17,SHIB,2756067.190110521,0.0,0.00017640849763759421,0.0,237513.28654493517,107191.2732843021,130322.01326063307
18,MATIC,7104133.832551295,0.0,0.0013078800583641952,0.0,1673775.0527768447,794708.4785405644,879066.5742362803
19,APE,13319662.090485848,0.0,0.002355646037714386,0.0,2988347.8505111076,1431363.5769884917,1556984.2735226157
20,AAVE,2314289.133552701,0.0,4.5916493794864704e-05,0.0,57858.43895063386,27900.28542014709,29958.153530486776
21,HEX,13677587.398668924,0.0,0.0077941495856814124,0.0,8889771.196845995,4755173.048890996,4134598.147954999
22,RAI,3854650.502497052,0.0,4.3960874877668784e-05,0.0,1761067.190578657,505128.63676662097,1255938.553812036
23,MKR,9966572.77371246,0.0,0.0013053590904868106,0.0,1700479.8206325732,793176.6602874267,907303.1603451464
24,WETH,1116794597.7826922,0.0,0.6936387388953101,0.7995580808080809,1081724651.1310189,545492327.7793275,536232323.3516913
25,LINK,8881373.664328996,0.0,0.0012116964804751898,0.0,1741111.0479575107,736264.3541302773,1004846.6938272334
26,CRV,3490211.986468694,0.0,0.003082550267235331,0.0,3551241.4993680515,1873053.126877209,1678188.3724908426
27,LDO,1942722.326184393,,6.78262465785854e-05,0.0,88517.0524133752,41213.330594721,47303.72181865421
28,FUN,15062198.35694096,,0.0026366147112483543,0.0012626262626262625,4884151.724222536,2396901.287879224,2487250.4363433123
29,USDD,10858941.04428995,,5.8801223154221496e-05,0.0,256787.422662,35874.342481,220913.080181
30,BIT,28696830.51050144,,0.0008667333461430351,0.0,1066306.9997388874,526654.0570051892,539652.9427336981
31,SHIT,1322244.1402348832,,0.0009120877239624214,0.0,1055554.032659586,554212.7833283759,501341.2493312103
32,BTT,18462532.49489012,,0.0007422406560426471,0.0,1153643.3789600139,451008.43819910206,702634.9407609117
33,BADGER,5359528.981595228,,9.878491331621651e-05,0.0,470676.01106389123,275848.68015715526,194827.330906736
