,pairAddress,token0,token1,dailyVolumeUSD,dailyTxns,dailySwapVolumeToken0,dailySwapVolumeToken1,reserveUSD,mintsCount,burnsCount,swapsCount,token0To1Txs,token0To1VolumeUSD,token1To0Txs,token1To0VolumeUSD,GrossVolumeUSD
0,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,{'symbol': 'USDC'},{'symbol': 'WETH'},14259588.674481528,3075,23540165.015569,12264.226290013825113945,168530569.1958727812847372044134907,6.0,2.0,3063.0,1383.0,13736996.638059752,1679.0,9785240.581589157,23522237.21964891
1,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,{'symbol': 'WETH'},{'symbol': 'USDT'},8915421.736887913,1628,8049.893155050871567938,15517845.958734,92468529.31323307061541911509467112,0.0,0.0,1628.0,785.0,6702344.727548347,843.0,8778315.950130088,15480660.677678436
2,0x7a809081f991ecfe0ab2727c7e90d2ad7c2e411e,{'symbol': 'USDC'},{'symbol': 'CAW'},3751112.345892721,612,3931862.253912,59475289546302.102381718137982563,10293530.90097443635462744336795592,0.0,0.0,612.0,420.0,2297840.6533139027,192.0,1633833.528166707,3931674.18148061
3,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,{'symbol': 'DAI'},{'symbol': 'WETH'},1119701.4280241912,740,2566843.521543743998795465,1342.95162469392614361,18045412.93595067947796962501124979,1.0,1.0,738.0,286.0,1490356.1705110867,452.0,1076235.0789684707,2566591.2494795574
4,0x5281e311734869c64ca60ef047fd87759397efe6,{'symbol': 'WETH'},{'symbol': 'CULT'},1441067.6041500384,750,1497.193062316185555824,183145635897.693653669630634879,6407455.421937068057862401298377699,1.0,0.0,749.0,492.0,1573513.7184563794,257.0,1326778.879492396,2900292.5979487756
5,0xd3d2e2692501a5c9ca623199d38826e513033a17,{'symbol': 'UNI'},{'symbol': 'WETH'},1378299.8000773394,121,213562.993830103509070538,601.810530627387550451,23073388.92734233544828420026647502,0.0,1.0,120.0,63.0,473481.4834456357,57.0,673405.9447264647,1146887.4281721003
6,0x9cbfb60a09a9a33a10312da0f39977cbdb7fde23,{'symbol': 'SAITAMA'},{'symbol': 'WETH'},707432.4023273125,1337,655660545949133.915942712,1557.201173926118362421,7794206.698931806014690259063351386,0.0,0.0,1337.0,454.0,1654635.152070692,883.0,1330705.1597816579,2985340.31185235
7,0x6033368e4a402605294c91cf5c03d72bd96e7d8d,{'symbol': 'X2Y2'},{'symbol': 'WETH'},2929790.0114714336,259,8126262.948336705980052862,869.345119039071021871,6006778.021016575034512769796690679,0.0,0.0,259.0,130.0,855320.2481134672,129.0,806533.2172196837,1661853.465333151
8,0x7b73644935b8e68019ac6356c40661e1bc315860,{'symbol': 'ELON'},{'symbol': 'WETH'},1145358.7492023672,183,2064294744561.577491025089973773,512.815826768319624344,16486896.39325670558659763966743728,0.0,0.0,183.0,79.0,465131.9353753878,104.0,517122.36377004907,982254.2991454368
9,0x55d5c232d921b9eaa6b37b5845e439acd04b4dba,{'symbol': 'HEX'},{'symbol': 'WETH'},1257768.3709635965,720,32436950.21500495,1537.195964932241608113,1284599.164585407424466422383109327,0.0,1.0,719.0,258.0,1453162.0495891694,461.0,1477090.264805668,2930252.3143948372
