,pairAddress,token0,token1,dailyVolumeUSD,pastValidDays,pastTotalVolumeUSD,avgDailyVolumeUSD
0,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,{'symbol': 'USDC'},{'symbol': 'WETH'},46352996.11551678651075792950583641,31,1207903651.3040185,38964633.91303285
1,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,{'symbol': 'WETH'},{'symbol': 'USDT'},38774502.59090240669024981350368747,31,1186590569.274537,38277115.13788829
2,0x94b0a3d511b6ecdb17ebf877278ab030acb0a878,{'symbol': 'FEI'},{'symbol': 'WETH'},15952025.57413235793270542077760913,31,607654570.9437177,19601760.353023153
3,0xa5e9c917b4b821e4e0a5bbefce078ab6540d6b5e,{'symbol': 'STARL'},{'symbol': 'WETH'},6015112.16760995079423599103975154,31,280506566.26313066,9048598.911713893
4,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,{'symbol': 'DAI'},{'symbol': 'WETH'},6939604.905864913488238626540805793,31,273664173.08027315,8827876.550976554
5,0x21b8065d10f73ee2e260e5b47d3344d3ced7596e,{'symbol': 'WISE'},{'symbol': 'WETH'},131733.0918110349992087908457172062,31,151699693.57875532,4893538.502540494
6,0x79fd3e7fe3e832c66a0c005fbc99319b5e851f04,{'symbol': 'KOKO'},{'symbol': 'WETH'},1793826.907707655103124484979321645,31,150912088.4868603,4868131.886672913
7,0x3dd49f67e9d5bc4c5e6634b3f70bfd9dc1b6bd74,{'symbol': 'SAND'},{'symbol': 'WETH'},6410115.233999010095872902150657344,31,142753328.17688793,4604946.0702221915
8,0x97e1fcb93ae7267dbafad23f7b9afaa08264cfd8,{'symbol': 'UFO'},{'symbol': 'WETH'},5691225.459125239420472760253635177,31,141671076.60567996,4570034.729215482
9,0xf6dcdce0ac3001b2f67f750bc64ea5beb37b5824,{'symbol': 'HEX'},{'symbol': 'USDC'},12086369.95079382213514285732293998,31,140830477.64303574,4542918.633646314
10,0xd3d2e2692501a5c9ca623199d38826e513033a17,{'symbol': 'UNI'},{'symbol': 'WETH'},6139229.532812033335109844127262859,31,139152988.76604295,4488806.089227192
11,0xc730ef0f4973da9cc0ab8ab291890d3e77f58f79,{'symbol': 'AUDIO'},{'symbol': 'WETH'},1386325.752467446822656304032490962,31,124641582.0538919,4020696.1952868355
12,0xbb2b8038a1640196fbe3e38816f3e67cba72d940,{'symbol': 'WBTC'},{'symbol': 'WETH'},4390262.115330200796579187540273073,31,115308190.66747828,3719619.0537896217
13,0x01688e1a356c38a8ed7c565bf6c6bfd59543a560,{'symbol': 'BFC'},{'symbol': 'WETH'},1519774.202372143252168371417362626,31,110008543.95155463,3548662.7081146655
14,0xc0bf97bffa94a50502265c579a3b7086d081664b,{'symbol': 'STRONG'},{'symbol': 'WETH'},5972720.810879823943052887067358409,31,106415683.61882523,3432763.9877040396
15,0x811beed0119b4afce20d2583eb608c6f7af1954f,{'symbol': 'SHIB'},{'symbol': 'WETH'},2897655.443006946680409989804801733,31,104322755.6362243,3365250.181813687
16,0xa2107fa5b38d9bbd2c461d6edf11b11a50f6b974,{'symbol': 'LINK'},{'symbol': 'WETH'},3727620.873071302652187655280447828,31,100893158.42804986,3254618.01380806
17,0x25647e01bd0967c1b9599fa3521939871d1d0888,{'symbol': 'WETH'},{'symbol': 'SUPER'},1892834.305142659587304719387121837,31,96514000.14754461,3113354.843469181
18,0x6591c4bcd6d7a1eb4e537da8b78676c1576ba244,{'symbol': 'BOND'},{'symbol': 'USDC'},1132351.783774957410797267469293199,31,94831942.88925298,3059094.931911386
19,0x0c722a487876989af8a05fffb6e32e45cc23fb3a,{'symbol': 'TORN'},{'symbol': 'WETH'},4705926.827642989685392413595631564,31,85614758.94349866,2761766.417532215
20,0x08650bb9dc722c9c8c62e79c2bafa2d3fc5b3293,{'symbol': 'WETH'},{'symbol': 'AMP'},1877468.95997980980741570468186905,31,79601648.618981,2567795.116741323
21,0x570febdf89c07f256c75686caca215289bb11cfc,{'symbol': 'ERN'},{'symbol': 'WETH'},966046.9449631386121843828970630902,31,78285164.71619539,2525327.894070819
22,0x55d5c232d921b9eaa6b37b5845e439acd04b4dba,{'symbol': 'HEX'},{'symbol': 'WETH'},6668274.44205918448696931859896735,31,77516910.70972466,2500545.5067653116
23,0x94ae6d2390680ac6e6ee6069be42067d6ad72e2a,{'symbol': 'CARDS'},{'symbol': 'WETH'},1569620.026694808282978830437770726,31,74945452.51886465,2417595.242544021
24,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,{'symbol': 'USDC'},{'symbol': 'USDT'},4460529.292823482577403963961412626,31,70942782.55680369,2288476.8566710865
25,0xe5c5227d8105d8d5f26ff3634eb52e2d7cc15b50,{'symbol': 'ALBT'},{'symbol': 'WETH'},2111808.060565406400241482529239452,31,68458504.80696787,2208338.864740899
26,0x4a7d4be868e0b811ea804faf0d3a325c3a29a9ad,{'symbol': 'REQ'},{'symbol': 'WETH'},364801.3270812862066444020525864573,31,62783450.26416359,2025272.5891665674
27,0xcaa004418eb42cdf00cb057b7c9e28f0ffd840a5,{'symbol': 'WILD'},{'symbol': 'WETH'},4921610.139311413473019399209237637,31,62333656.39379433,2010763.1094772364
28,0x60a39010e4892b862d1bb6bdde908215ac5af6f3,{'symbol': 'WETH'},{'symbol': 'LUNA'},2497200.034333785633295993735749376,31,62087504.01239221,2002822.710077168
29,0x9cbfb60a09a9a33a10312da0f39977cbdb7fde23,{'symbol': 'SAITAMA'},{'symbol': 'WETH'},369989.990138152908634236620001194,31,57185580.84982724,1844696.15644604
30,0x73a86455888902108bc88f5831919e23098b9b04,{'symbol': 'PAID'},{'symbol': 'WETH'},1793205.225140637287378004213105967,31,57140250.29193524,1843233.880385008
31,0xc8ca3c0f011fe42c48258ecbbf5d94c51f141c17,{'symbol': 'CGG'},{'symbol': 'WETH'},2427036.677329122154560110818588885,31,53560438.47910297,1727756.0799710634
32,0x5b6be21c4d1f2c1c5a3d6af3599f3bb0a785ae2f,{'symbol': 'GERO'},{'symbol': 'WETH'},918536.922309142389739135298366827,31,51889305.00654782,1673848.548598317
33,0x56feaccb7f750b997b36a68625c7c596f0b41a58,{'symbol': 'FARM'},{'symbol': 'WETH'},882183.8103700493913998247639269538,31,51573082.371169396,1663647.8184248193
34,0x8ae720a71622e824f576b4a8c03031066548a3b1,{'symbol': 'RAI'},{'symbol': 'WETH'},1631661.559832318023461912510923132,31,51166983.1170135,1650547.8424843063
35,0x8c1c499b1796d7f3c2521ac37186b52de024e58c,{'symbol': 'RAD'},{'symbol': 'USDC'},12102365.25873231424386454187003983,31,49788563.6705903,1606082.6990512998
36,0xa29fe6ef9592b5d408cca961d0fb9b1faf497d6d,{'symbol': 'WETH'},{'symbol': 'DEXT'},821031.4107457941741405903210133598,31,48906086.45692964,1577615.6921590206
37,0xaf31fd9c3b0350424bf96e551d2d1264d8466205,{'symbol': 'WETH'},{'symbol': 'PUSH'},1320875.180694555228131201030409809,31,47831262.629955925,1542943.95580503
38,0xfd0a40bc83c5fae4203dec7e5929b446b07d1c76,{'symbol': 'FRAX'},{'symbol': 'WETH'},1873111.452950206123700666893488429,31,46144122.6793037,1488520.0864291515
39,0xc5be99a02c6857f9eac67bbce58df5572498f40c,{'symbol': 'WETH'},{'symbol': 'AMPL'},307655.7203862258012516074767059409,31,45820056.979098886,1478066.3541644802
40,0x6ada49aeccf6e556bb7a35ef0119cc8ca795294a,{'symbol': 'WOO'},{'symbol': 'WETH'},1623442.686642710487147252662986357,31,45636975.04910592,1472160.4854550296
41,0x27fd0857f0ef224097001e87e61026e39e1b04d1,{'symbol': 'WETH'},{'symbol': 'RLY'},3072305.900536780437102360837219416,31,45079567.01940559,1454179.581271148
42,0xf64af01a14c31164ff7381cf966df6f2b4cb349f,{'symbol': 'WETH'},{'symbol': 'DPX'},1121808.387670475056040385861262819,31,44951093.13240048,1450035.2623354995
43,0x4d5ef58aac27d99935e5b6b4a6778ff292059991,{'symbol': 'DPI'},{'symbol': 'WETH'},545896.2910777233697477253883027609,31,44222179.18827947,1426521.9092993378
44,0xf91c12dae1313d0be5d7a27aa559b1171cc1eac5,{'symbol': 'ETH2x-FLI'},{'symbol': 'WETH'},2914031.695955576150534426559960692,31,43060596.83953784,1389051.5109528333
45,0x7ba9b94127d434182287de708643932ec036d365,{'symbol': 'eRSDL'},{'symbol': 'WETH'},1301936.748118069334653382655147906,31,42492465.3546578,1370724.688859929
