,pairAddress,token0,token1,dailyVolumeUSD,pastValidDays,pastTotalVolumeUSD,avgDailyVolumeUSD
0,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,{'symbol': 'WETH'},{'symbol': 'USDT'},53623604.40373830663394510019700148,31,1053856835.8133003,33995381.80042904
1,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,{'symbol': 'USDC'},{'symbol': 'WETH'},39718268.58071824372804758257994127,31,1032545720.2232299,33307926.45881387
2,0x811beed0119b4afce20d2583eb608c6f7af1954f,{'symbol': 'SHIB'},{'symbol': 'WETH'},31523605.4228363190362712644080752,31,832023330.9092262,26839462.287394393
3,0x7b73644935b8e68019ac6356c40661e1bc315860,{'symbol': 'ELON'},{'symbol': 'WETH'},50889169.64658881489074791220291367,31,637349895.5210977,20559674.049067665
4,0x9cbfb60a09a9a33a10312da0f39977cbdb7fde23,{'symbol': 'SAITAMA'},{'symbol': 'WETH'},22386721.79692980037894911885467438,31,610098752.029063,19680604.904163323
5,0x94b0a3d511b6ecdb17ebf877278ab030acb0a878,{'symbol': 'FEI'},{'symbol': 'WETH'},7225168.596095108804599418432526842,31,306623579.26005006,9891083.201937098
6,0x21c5918ccb42d20a2368bdca8feda0399ebfd2f6,{'symbol': 'GRO'},{'symbol': 'USDC'},3811315.217842838570745962566553845,31,293824696.0855648,9478216.002760155
7,0xdf60e6416fcf8c955fddf01148753a911f7a5905,{'symbol': 'KUMA'},{'symbol': 'WETH'},8895104.629249591813858509768997296,31,263067873.35836318,8486060.430914942
8,0x10e4a463f2ace6e3836fe547e885993844299be6,{'symbol': 'FLOKI'},{'symbol': 'WETH'},22382306.15785037932803497412240088,31,262869401.40742925,8479658.109917073
9,0xf6dcdce0ac3001b2f67f750bc64ea5beb37b5824,{'symbol': 'HEX'},{'symbol': 'USDC'},7485871.263067754443686967090305772,31,230515130.29870826,7435971.945119621
10,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,{'symbol': 'DAI'},{'symbol': 'WETH'},5752933.920655078577799332591962237,31,229099104.86006823,7390293.705163491
11,0xa5e9c917b4b821e4e0a5bbefce078ab6540d6b5e,{'symbol': 'STARL'},{'symbol': 'WETH'},27767837.0477333469835565774328147,31,228857728.3589818,7382507.366418768
12,0x3dd49f67e9d5bc4c5e6634b3f70bfd9dc1b6bd74,{'symbol': 'SAND'},{'symbol': 'WETH'},61151247.22188301099389103271450376,31,223249471.39658833,7201595.851502849
13,0x79fd3e7fe3e832c66a0c005fbc99319b5e851f04,{'symbol': 'KOKO'},{'symbol': 'WETH'},4693296.750369213472017613123841302,31,214944590.95889807,6933696.482545099
14,0xf82d8ec196fb0d56c6b82a8b1870f09502a49f88,{'symbol': 'KISHU'},{'symbol': 'WETH'},14414521.46899848227522836346289069,31,193694079.07947645,6248196.099337949
15,0xc0bf97bffa94a50502265c579a3b7086d081664b,{'symbol': 'STRONG'},{'symbol': 'WETH'},7143270.402328729364838045183548947,31,169324211.08152562,5462071.325210504
16,0xda3a20aad0c34fa742bd9813d45bbf67c787ae0b,{'symbol': 'AKITA'},{'symbol': 'WETH'},6195975.170557222500975227700751011,31,162142214.53772023,5230394.017345814
17,0xbb2b8038a1640196fbe3e38816f3e67cba72d940,{'symbol': 'WBTC'},{'symbol': 'WETH'},3507827.64203780083388414267419123,31,161682809.56888092,5215574.502221965
18,0x97e1fcb93ae7267dbafad23f7b9afaa08264cfd8,{'symbol': 'UFO'},{'symbol': 'WETH'},36341410.10986341281819311662804547,31,158240950.47741383,5104546.789593995
19,0x5013b8c94ff2e95e8b36e3c064274b20987403f8,{'symbol': 'Mononoke-Inu'},{'symbol': 'WETH'},13615832.62879867564064020230158654,31,144136214.169154,4649555.295779161
20,0x55d5c232d921b9eaa6b37b5845e439acd04b4dba,{'symbol': 'HEX'},{'symbol': 'WETH'},5068686.232904546612848160792442199,31,128122263.37668042,4132976.237957433
21,0x6591c4bcd6d7a1eb4e537da8b78676c1576ba244,{'symbol': 'BOND'},{'symbol': 'USDC'},3696618.27103095635123326698053219,31,122846015.09480157,3962774.68047747
22,0x25647e01bd0967c1b9599fa3521939871d1d0888,{'symbol': 'WETH'},{'symbol': 'SUPER'},15673472.06574141582586049437530935,31,110177842.48324779,3554123.9510725094
23,0xd3d2e2692501a5c9ca623199d38826e513033a17,{'symbol': 'UNI'},{'symbol': 'WETH'},1179478.216725944933382471564615989,31,109747791.05948159,3540251.3244994064
24,0x874376be8231dad99aabf9ef0767b3cc054c60ee,{'symbol': 'LEASH'},{'symbol': 'WETH'},2543882.011411027110624544670221674,31,109674251.89913595,3537879.093520514
25,0x6ada49aeccf6e556bb7a35ef0119cc8ca795294a,{'symbol': 'WOO'},{'symbol': 'WETH'},1917802.132142849086333138442320711,31,104599081.73181328,3374163.9268326866
26,0x5fa464cefe8901d66c09b85d5fcdc55b3738c688,{'symbol': 'TOKE'},{'symbol': 'WETH'},2752588.203593601646239845428919593,31,101129665.9080496,3262247.2873564386
27,0xcd6bcca48069f8588780dfa274960f15685aee0e,{'symbol': '⚗️'},{'symbol': 'WETH'},896458.5804678339516064718143914222,31,97556764.0836494,3146992.3897951418
28,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,{'symbol': 'USDC'},{'symbol': 'USDT'},3606988.165751652228146749048039895,31,93448409.46736132,3014464.821527784
29,0x11b1f53204d03e5529f09eb3091939e4fd8c9cf3,{'symbol': 'MANA'},{'symbol': 'WETH'},34279531.73534662415514927438562328,31,90917245.36344436,2932814.3665627213
30,0xe6f19dab7d43317344282f803f8e8d240708174a,{'symbol': 'KEEP'},{'symbol': 'WETH'},553061.8802655058893219767115011114,31,85936802.84181903,2772154.930381259
31,0x0efea698136d636e2babad10821e9064fe08f418,{'symbol': 'WETH'},{'symbol': 'ICE'},5029809.704380717094250285157968565,31,78163556.09499906,2521405.03532255
32,0xc5be99a02c6857f9eac67bbce58df5572498f40c,{'symbol': 'WETH'},{'symbol': 'AMPL'},5271045.776312245055138168449186532,31,76841695.24125248,2478764.362621048
33,0xa2107fa5b38d9bbd2c461d6edf11b11a50f6b974,{'symbol': 'LINK'},{'symbol': 'WETH'},2997529.07144144570790039318562899,31,73465563.98670857,2369856.9027970503
34,0x8044e86ca1963e099a7e70594d72bc96a088fed2,{'symbol': 'KLEE'},{'symbol': 'WETH'},2415360.561678503124318832731019025,31,67869501.89578526,2189338.7708317824
35,0xf64af01a14c31164ff7381cf966df6f2b4cb349f,{'symbol': 'WETH'},{'symbol': 'DPX'},604455.045825929391111906412752628,31,66918042.869212896,2158646.544168158
36,0xcaa004418eb42cdf00cb057b7c9e28f0ffd840a5,{'symbol': 'WILD'},{'symbol': 'WETH'},5630299.299765569549252578370734422,31,58770882.028635085,1895834.9041495188
