,pairAddress,token0,token1,dailyVolumeUSD,pastValidDays,pastTotalVolumeUSD,avgDailyVolumeUSD
0,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,{'symbol': 'USDC'},{'symbol': 'WETH'},27129338.5026344297858005673977935,30,1195683341.8129954,39856111.393766515
1,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,{'symbol': 'WETH'},{'symbol': 'USDT'},26103636.35100676686584067000759853,30,1091716078.549741,36390535.95165803
2,0x94b0a3d511b6ecdb17ebf877278ab030acb0a878,{'symbol': 'FEI'},{'symbol': 'WETH'},13961023.17471659467658589699543266,30,551512718.6612122,18383757.288707074
3,0xf6dcdce0ac3001b2f67f750bc64ea5beb37b5824,{'symbol': 'HEX'},{'symbol': 'USDC'},6247832.270470791217709772386608364,30,391651643.4054148,13055054.780180493
4,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,{'symbol': 'DAI'},{'symbol': 'WETH'},7896246.236483908065083059364407258,30,276366562.19902164,9212218.739967387
5,0x79fd3e7fe3e832c66a0c005fbc99319b5e851f04,{'symbol': 'KOKO'},{'symbol': 'WETH'},61533.03810935010876446533145505888,30,234759982.21040526,7825332.740346842
6,0x55d5c232d921b9eaa6b37b5845e439acd04b4dba,{'symbol': 'HEX'},{'symbol': 'WETH'},3219152.009933882414829030504871658,30,220738008.29652596,7357933.609884199
7,0xc0bf97bffa94a50502265c579a3b7086d081664b,{'symbol': 'STRONG'},{'symbol': 'WETH'},7535653.804789319886649264326945578,30,194341650.6128052,6478055.02042684
8,0xd3d2e2692501a5c9ca623199d38826e513033a17,{'symbol': 'UNI'},{'symbol': 'WETH'},2313764.981186136994744697444033213,30,192242934.0085747,6408097.800285823
9,0x9cbfb60a09a9a33a10312da0f39977cbdb7fde23,{'symbol': 'SAITAMA'},{'symbol': 'WETH'},12115604.86066487884201883826263855,30,165872615.56737736,5529087.185579245
10,0xa2107fa5b38d9bbd2c461d6edf11b11a50f6b974,{'symbol': 'LINK'},{'symbol': 'WETH'},1313959.613510744644289308560366857,30,133433918.29007232,4447797.276335744
11,0xbb2b8038a1640196fbe3e38816f3e67cba72d940,{'symbol': 'WBTC'},{'symbol': 'WETH'},2215389.235472110288151025759455816,30,130666929.44791228,4355564.314930409
12,0xc88ac988a655b91b70def427c8778b4d43f2048d,{'symbol': 'DERC'},{'symbol': 'USDC'},1279337.055697547454173361284238007,30,117878962.89215897,3929298.763071966
13,0xa5e9c917b4b821e4e0a5bbefce078ab6540d6b5e,{'symbol': 'STARL'},{'symbol': 'WETH'},3196230.383408245448620328904078938,30,112059565.64833973,3735318.854944658
14,0x811beed0119b4afce20d2583eb608c6f7af1954f,{'symbol': 'SHIB'},{'symbol': 'WETH'},1287316.917612742215802783921658061,30,109422907.67035988,3647430.2556786626
15,0x6591c4bcd6d7a1eb4e537da8b78676c1576ba244,{'symbol': 'BOND'},{'symbol': 'USDC'},1165891.811013136539079822404197159,30,105753043.21156636,3525101.440385545
16,0x3dd49f67e9d5bc4c5e6634b3f70bfd9dc1b6bd74,{'symbol': 'SAND'},{'symbol': 'WETH'},4369114.363450308208621099778902036,30,104915852.00744419,3497195.066914806
17,0x10e4a463f2ace6e3836fe547e885993844299be6,{'symbol': 'FLOKI'},{'symbol': 'WETH'},902432.3250845017026179629352961864,30,103219281.28802183,3440642.7096007275
18,0x05be6820730b30086d6355c44c424230aaff41fb,{'symbol': 'WETH'},{'symbol': 'VEMP'},285006.4537384194631360136172877582,30,98600409.44975865,3286680.314991955
19,0x12d4444f96c644385d8ab355f6ddf801315b6254,{'symbol': 'CVP'},{'symbol': 'WETH'},573542.7969057783300339890028066775,30,95990176.98868644,3199672.5662895483
20,0x94ae6d2390680ac6e6ee6069be42067d6ad72e2a,{'symbol': 'CARDS'},{'symbol': 'WETH'},547051.0503672508080344070043866099,30,91791467.38574861,3059715.579524954
21,0x25647e01bd0967c1b9599fa3521939871d1d0888,{'symbol': 'WETH'},{'symbol': 'SUPER'},3359935.390905664455857732464350415,30,85891049.55752303,2863034.985250768
22,0xcd6bcca48069f8588780dfa274960f15685aee0e,{'symbol': '⚗️'},{'symbol': 'WETH'},783128.8574265305036140488967747601,30,78916366.70187621,2630545.556729207
23,0xf64af01a14c31164ff7381cf966df6f2b4cb349f,{'symbol': 'WETH'},{'symbol': 'DPX'},5601108.780056681049839998497792841,30,78253197.90244046,2608439.9300813484
24,0x97e1fcb93ae7267dbafad23f7b9afaa08264cfd8,{'symbol': 'UFO'},{'symbol': 'WETH'},599632.6768144945950696828403265839,30,78197193.64762104,2606573.1215873677
25,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,{'symbol': 'USDC'},{'symbol': 'USDT'},1564223.02627626852657922510960473,30,77059539.77963606,2568651.3259878685
26,0x6ada49aeccf6e556bb7a35ef0119cc8ca795294a,{'symbol': 'WOO'},{'symbol': 'WETH'},7315024.886322360889444413411795794,30,71603085.97099854,2386769.532366618
27,0x5fa464cefe8901d66c09b85d5fcdc55b3738c688,{'symbol': 'TOKE'},{'symbol': 'WETH'},4630094.877337050500378419191347495,30,71471860.81058243,2382395.3603527476
28,0x27fd0857f0ef224097001e87e61026e39e1b04d1,{'symbol': 'WETH'},{'symbol': 'RLY'},764239.6455906763770605095701248286,30,68606617.42728591,2286887.247576197
29,0xc2adda861f89bbb333c90c492cb837741916a225,{'symbol': 'MKR'},{'symbol': 'WETH'},773355.2510804116011379726932740002,30,64987482.61326998,2166249.4204423325
30,0x9c4cc862f51b1ba90485de3502aa058ca4331f32,{'symbol': 'CELL'},{'symbol': 'WETH'},1658689.42042639452895402887857085,30,64849429.97480209,2161647.6658267365
31,0xe5c5227d8105d8d5f26ff3634eb52e2d7cc15b50,{'symbol': 'ALBT'},{'symbol': 'WETH'},577244.4951727012623474547480022224,30,62270334.01437074,2075677.8004790246
32,0xa2b04f8133fc25887a436812eae384e32a8a84f2,{'symbol': 'WETH'},{'symbol': 'COTI'},860840.3760130188356932345231938582,30,59369550.12533695,1978985.0041778984
33,0xc730ef0f4973da9cc0ab8ab291890d3e77f58f79,{'symbol': 'AUDIO'},{'symbol': 'WETH'},594493.3914536692473240458080767927,30,58830295.121323705,1961009.8373774567
34,0x60a39010e4892b862d1bb6bdde908215ac5af6f3,{'symbol': 'WETH'},{'symbol': 'LUNA'},1055028.974988147259272712247385372,30,58608502.99592961,1953616.766530987
35,0x131caa9c69394acb7c20c1a0af0ca9ebd1cdbb86,{'symbol': 'DBUY'},{'symbol': 'WETH'},281888.8336487473994774375749713764,30,55313732.76921839,1843791.0923072798
36,0x87898263b6c5babe34b4ec53f22d98430b91e371,{'symbol': 'WETH'},{'symbol': 'BEAN'},331925.6003186165337849432486422982,30,53154169.28754009,1771805.642918003
