,pairAddress,token0,token1,dailyVolumeUSD,pastValidDays,pastTotalVolumeUSD,avgDailyVolumeUSD
0,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,{'symbol': 'USDC'},{'symbol': 'WETH'},52076164.87765859415236160211358702,30,750732951.5789642,25024431.719298806
1,0x5281e311734869c64ca60ef047fd87759397efe6,{'symbol': 'WETH'},{'symbol': 'CULT'},2541800.345128306174615446512455468,30,568064619.9231274,18935487.330770914
2,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,{'symbol': 'WETH'},{'symbol': 'USDT'},11843222.68249883636429246048803137,30,427967540.3760749,14265584.679202497
3,0xb011eeaab8bf0c6de75510128da95498e4b7e67f,{'symbol': 'APE'},{'symbol': 'WETH'},40625378.11811343826565122762590633,30,253986402.4689443,8466213.415631477
4,0x7b73644935b8e68019ac6356c40661e1bc315860,{'symbol': 'ELON'},{'symbol': 'WETH'},2265139.706854190369097770920532626,30,112971051.91581921,3765701.730527307
5,0x8ef79d6c328c25da633559c20c75f638a4863462,{'symbol': 'QOM'},{'symbol': 'WETH'},2167853.607676414472154219961443714,30,98063291.54383296,3268776.3847944317
6,0x9cbfb60a09a9a33a10312da0f39977cbdb7fde23,{'symbol': 'SAITAMA'},{'symbol': 'WETH'},779613.7768173559113744995892453386,30,76264994.68194583,2542166.4893981945
7,0x4bacaaabe3e96959ddf3269d3092d5cea88fefe9,{'symbol': 'XMON'},{'symbol': 'WETH'},1288357.542127046723807527881416484,30,64951011.59924969,2165033.7199749895
8,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,{'symbol': 'DAI'},{'symbol': 'WETH'},1295773.44656965227013352971079823,30,54852275.0590603,1828409.1686353432
9,0x470e8de2ebaef52014a47cb5e6af86884947f08c,{'symbol': 'WETH'},{'symbol': 'FOX'},537548.9562130480708655720241920705,30,54579062.30750305,1819302.0769167684
